sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	7.62939E-06	-4
103_2	2	1000	2.00E+05	0.015625	7.62939E-05	-4
103_3	2	1000	2.00E+05	0.03125	0.000152588	-4
103_4	2	1000	2.00E+05	0.0625	0.000305176	-4
103_5	2	1000	2.00E+05	0.125	0.000610352	-4
103_6	2	1000	2.00E+05	0.25	0.001220703	-4
103_7	2	1000	2.00E+05	0.5	0.002441406	-4
103_8	2	1000	2.00E+05	1	0.004882813	-4
103_9	2	1000	2.00E+05	2	0.009765625	-4
103_10	2	1000	2.00E+05	4	0.01953125	-4
103_11	2	1000	2.00E+05	8	0.0390625	-4
103_12	2	1000	2.00E+05	16	0.078125	-4
103_1	3	1000	3.00E+05	0.0015625	7.62939E-06	0
103_2	5	1000	5.00E+05	0.015625	7.62939E-05	0
103_3	4	1000	4.00E+05	0.03125	0.000152588	0
103_4	3	1000	3.00E+05	0.0625	0.000305176	0
103_5	3	1000	3.00E+05	0.125	0.000610352	0
103_6	4	1000	4.00E+05	0.25	0.001220703	0
103_7	3	1000	3.00E+05	0.5	0.002441406	0
103_8	4	1000	4.00E+05	1	0.004882813	0
103_9	4	1000	4.00E+05	2	0.009765625	0
103_10	3	1000	3.00E+05	4	0.01953125	0
103_11	2	1000	2.00E+05	8	0.0390625	0
103_12	3	1000	3.00E+05	16	0.078125	0
103_1	5	1000	5.00E+05	0.0015625	7.62939E-06	1
103_2	4	1000	4.00E+05	0.015625	7.62939E-05	1
103_3	4	1000	4.00E+05	0.03125	0.000152588	1
103_4	7	1000	7.00E+05	0.0625	0.000305176	1
103_5	5	1000	5.00E+05	0.125	0.000610352	1
103_6	3	1000	3.00E+05	0.25	0.001220703	1
103_7	5	1000	5.00E+05	0.5	0.002441406	1
103_8	6	1000	6.00E+05	1	0.004882813	1
103_9	5	1000	5.00E+05	2	0.009765625	1
103_10	4	1000	4.00E+05	4	0.01953125	1
103_11	6	1000	6.00E+05	8	0.0390625	1
103_12	4	1000	4.00E+05	16	0.078125	1
103_1	23	1000	2.30E+06	0.0015625	7.62939E-06	2
103_2	14	1000	1.40E+06	0.015625	7.62939E-05	2
103_3	14	1000	1.40E+06	0.03125	0.000152588	2
103_4	5	1000	5.00E+05	0.0625	0.000305176	2
103_5	4	1000	4.00E+05	0.125	0.000610352	2
103_6	8	1000	8.00E+05	0.25	0.001220703	2
103_7	7	1000	7.00E+05	0.5	0.002441406	2
103_8	7	1000	7.00E+05	1	0.004882813	2
103_9	4	1000	4.00E+05	2	0.009765625	2
103_10	5	1000	5.00E+05	4	0.01953125	2
103_11	3	1000	3.00E+05	8	0.0390625	2
103_12	3	1000	3.00E+05	16	0.078125	2
103_1	25	1000	2.50E+06	0.0015625	7.62939E-06	3
103_2	16	1000	1.60E+06	0.015625	7.62939E-05	3
103_3	3	1000	3.00E+05	0.03125	0.000152588	3
103_4	24	100	2.40E+05	0.0625	0.000305176	3
103_5	18	100	1.80E+05	0.125	0.000610352	3
103_6	18	100	1.80E+05	0.25	0.001220703	3
103_7	17	100	1.70E+05	0.5	0.002441406	3
103_8	19	100	1.90E+05	1	0.004882813	3
103_9	15	100	1.50E+05	2	0.009765625	3
103_10	12	100	1.20E+05	4	0.01953125	3
103_11	11	100	1.10E+05	8	0.0390625	3
103_12	9	100	9.00E+04	16	0.078125	3
103_1	3	10000	3.00E+06	0.0015625	7.62939E-06	4
103_2	17	1000	1.70E+06	0.015625	7.62939E-05	4
103_3	5	1000	5.00E+05	0.03125	0.000152588	4
103_4	11	100	1.10E+05	0.0625	0.000305176	4
103_5	5	100	5.00E+04	0.125	0.000610352	4
103_6	5	100	5.00E+04	0.25	0.001220703	4
103_7	3	100	3.00E+04	0.5	0.002441406	4
103_8	5	100	5.00E+04	1	0.004882813	4
103_9	3	100	3.00E+04	2	0.009765625	4
103_10	13	10	1.30E+04	4	0.01953125	4
103_11	13	10	1.30E+04	8	0.0390625	4
103_12	10	10	1.00E+04	16	0.078125	4
103_1	9	10000	9.00E+06	0.0015625	7.62939E-06	5
103_2	4	10000	4.00E+06	0.015625	7.62939E-05	5
103_3	7	1000	7.00E+05	0.03125	0.000152588	5
103_4	18	100	1.80E+05	0.0625	0.000305176	5
103_5	33	10	3.30E+04	0.125	0.000610352	5
103_6	9	10	9.00E+03	0.25	0.001220703	5
103_7	9	10	9.00E+03	0.5	0.002441406	5
103_8	5	10	5.00E+03	1	0.004882813	5
103_9	4	10	4.00E+03	2	0.009765625	5
103_10	4	10	4.00E+03	4	0.01953125	5
103_11	3	10	3.00E+03	8	0.0390625	5
103_12	0	1	0.00E+00	16	0.078125	5
103_1	26	10000	2.60E+07	0.0015625	7.62939E-06	6
103_2	13	10000	1.30E+07	0.015625	7.62939E-05	6
103_3	24	1000	2.40E+06	0.03125	0.000152588	6
103_4	14	100	1.40E+05	0.0625	0.000305176	6
103_5	8	100	8.00E+04	0.125	0.000610352	6
103_6	15	10	1.50E+04	0.25	0.001220703	6
103_7	18	10	1.80E+04	0.5	0.002441406	6
103_8	21	10	2.10E+04	1	0.004882813	6
103_9	19	10	1.90E+04	2	0.009765625	6
103_10	11	10	1.10E+04	4	0.01953125	6
103_11	0	1	0.00E+00	8	0.0390625	6
103_12	0	1	0.00E+00	16	0.078125	6
