sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	0.00012207	-4
103_2	2	1000	2.00E+05	0.015625	0.001220703	-4
103_3	2	1000	2.00E+05	0.03125	0.002441406	-4
103_4	2	1000	2.00E+05	0.0625	0.004882813	-4
103_5	2	1000	2.00E+05	0.125	0.009765625	-4
103_6	2	1000	2.00E+05	0.25	0.01953125	-4
103_7	2	1000	2.00E+05	0.5	0.0390625	-4
103_8	2	1000	2.00E+05	1	0.078125	-4
103_9	2	1000	2.00E+05	2	0.15625	-4
103_10	2	1000	2.00E+05	4	0.3125	-4
103_11	2	1000	2.00E+05	8	0.625	-4
103_12	2	1000	2.00E+05	16	1.25	-4
103_1	5	1000	5.00E+05	0.0015625	0.00012207	0
103_2	4	1000	4.00E+05	0.015625	0.001220703	0
103_3	4	1000	4.00E+05	0.03125	0.002441406	0
103_4	4	1000	4.00E+05	0.0625	0.004882813	0
103_5	3	1000	3.00E+05	0.125	0.009765625	0
103_6	4	1000	4.00E+05	0.25	0.01953125	0
103_7	3	1000	3.00E+05	0.5	0.0390625	0
103_8	3	1000	3.00E+05	1	0.078125	0
103_9	4	1000	4.00E+05	2	0.15625	0
103_10	3	1000	3.00E+05	4	0.3125	0
103_11	4	1000	4.00E+05	8	0.625	0
103_12	2	1000	2.00E+05	16	1.25	0
103_1	10	1000	1.00E+06	0.0015625	0.00012207	1
103_2	7	1000	7.00E+05	0.015625	0.001220703	1
103_3	9	1000	9.00E+05	0.03125	0.002441406	1
103_4	5	1000	5.00E+05	0.0625	0.004882813	1
103_5	4	1000	4.00E+05	0.125	0.009765625	1
103_6	3	1000	3.00E+05	0.25	0.01953125	1
103_7	3	1000	3.00E+05	0.5	0.0390625	1
103_8	3	1000	3.00E+05	1	0.078125	1
103_9	3	1000	3.00E+05	2	0.15625	1
103_10	3	1000	3.00E+05	4	0.3125	1
103_11	2	1000	2.00E+05	8	0.625	1
103_12	3	1000	3.00E+05	16	1.25	1
103_1	5	1000	5.00E+05	0.0015625	0.00012207	2
103_2	6	1000	6.00E+05	0.015625	0.001220703	2
103_3	5	1000	5.00E+05	0.03125	0.002441406	2
103_4	5	1000	5.00E+05	0.0625	0.004882813	2
103_5	12	100	1.20E+05	0.125	0.009765625	2
103_6	13	100	1.30E+05	0.25	0.01953125	2
103_7	5	100	5.00E+04	0.5	0.0390625	2
103_8	17	100	1.70E+05	1	0.078125	2
103_9	7	100	7.00E+04	2	0.15625	2
103_10	4	100	4.00E+04	4	0.3125	2
103_11	0	1	0.00E+00	8	0.625	2
103_12	0	1	0.00E+00	16	1.25	2
103_1	19	1000	1.90E+06	0.0015625	0.00012207	3
103_2	2	1000	2.00E+05	0.015625	0.001220703	3
103_3	7	1000	7.00E+05	0.03125	0.002441406	3
103_4	6	1000	6.00E+05	0.0625	0.004882813	3
103_5	3	1000	3.00E+05	0.125	0.009765625	3
103_6	3	100	3.00E+04	0.25	0.01953125	3
103_7	8	10	8.00E+03	0.5	0.0390625	3
103_8	4	10	4.00E+03	1	0.078125	3
103_9	9	10	9.00E+03	2	0.15625	3
103_10	3	1	3.00E+02	4	0.3125	3
103_11	0	1	0.00E+00	8	0.625	3
103_12	0	1	0.00E+00	16	1.25	3
103_1	5	10000	5.00E+06	0.0015625	0.00012207	4
103_2	5	10000	5.00E+06	0.015625	0.001220703	4
103_3	14	1000	1.40E+06	0.03125	0.002441406	4
103_4	7	1000	7.00E+05	0.0625	0.004882813	4
103_5	19	100	1.90E+05	0.125	0.009765625	4
103_6	4	100	4.00E+04	0.25	0.01953125	4
103_7	6	10	6.00E+03	0.5	0.0390625	4
103_8	4	10	4.00E+03	1	0.078125	4
103_9	3	1	3.00E+02	2	0.15625	4
103_10	4	1	4.00E+02	4	0.3125	4
103_11	0	1	0.00E+00	8	0.625	4
103_12	0	1	0.00E+00	16	1.25	4
103_1	10	10000	1.00E+07	0.0015625	0.00012207	5
103_2	9	10000	9.00E+06	0.015625	0.001220703	5
103_3	24	1000	2.40E+06	0.03125	0.002441406	5
103_4	11	1000	6.00E+04	0.0625	0.004882813	5
103_5	6	100	3.00E+03	0.125	0.009765625	5
103_6	3	10	5.00E+02	0.25	0.01953125	5
103_7	5	1	2.00E+02	0.5	0.0390625	5
103_8	2	1	1.00E+02	1	0.078125	5
103_9	1	1	0.00E+00	2	0.15625	5
103_10	0	1	0.00E+00	4	0.3125	5
103_11	0	1	0.00E+00	8	0.625	5
103_12	0	1	0.00E+00	16	1.25	6
103_1	29	10000	2.90E+07	0.0015625	0.00012207	6
103_2	18	10000	1.80E+07	0.015625	0.001220703	6
103_3	22	1000	2.20E+06	0.03125	0.002441406	6
103_4	9	1000	3.00E+04	0.0625	0.004882813	6
103_5	3	100	1.00E+02	0.125	0.009765625	6
103_6	1	1	2.00E+02	0.25	0.01953125	6
103_7	2	1	1.00E+02	0.5	0.0390625	6
103_8	1	1	0.00E+00	1	0.078125	6
103_9	0	1	0.00E+00	2	0.15625	6
103_10	0	1	0.00E+00	4	0.3125	6
103_11	0	1	0.00E+00	8	0.625	6
103_12	0	1	0.00E+00	16	1.25	6
