sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	0.000488281	-4
103_2	2	1000	2.00E+05	0.015625	0.004882813	-4
103_3	2	1000	2.00E+05	0.03125	0.009765625	-4
103_4	2	1000	2.00E+05	0.0625	0.01953125	-4
103_5	2	1000	2.00E+05	0.125	0.0390625	-4
103_6	2	1000	2.00E+05	0.25	0.078125	-4
103_7	2	1000	2.00E+05	0.5	0.15625	-4
103_8	2	1000	2.00E+05	1	0.3125	-4
103_9	2	1000	2.00E+05	2	0.625	-4
103_10	2	1000	2.00E+05	4	1.25	-4
103_11	2	1000	2.00E+05	8	2.5	-4
103_1	3	1000	3.00E+05	0.0015625	0.000488281	0
103_2	3	1000	3.00E+05	0.015625	0.004882813	0
103_3	3	1000	3.00E+05	0.03125	0.009765625	0
103_4	4	1000	4.00E+05	0.0625	0.01953125	0
103_5	4	1000	4.00E+05	0.125	0.0390625	0
103_6	3	1000	3.00E+05	0.25	0.078125	0
103_7	2	1000	2.00E+05	0.5	0.15625	0
103_8	3	1000	3.00E+05	1	0.3125	0
103_9	5	1000	5.00E+05	2	0.625	0
103_10	4	1000	4.00E+05	4	1.25	0
103_11	3	1000	3.00E+05	8	2.5	0
103_1	6	1000	6.00E+05	0.0015625	0.000488281	1
103_2	7	1000	7.00E+05	0.015625	0.004882813	1
103_3	6	1000	6.00E+05	0.03125	0.009765625	1
103_4	5	1000	5.00E+05	0.0625	0.01953125	1
103_5	3	1000	3.00E+05	0.125	0.0390625	1
103_6	3	1000	3.00E+05	0.25	0.078125	1
103_7	4	1000	4.00E+05	0.5	0.15625	1
103_8	4	1000	4.00E+05	1	0.3125	1
103_9	3	1000	3.00E+05	2	0.625	1
103_10	11	100	1.10E+05	4	1.25	1
103_11	5	100	5.00E+04	8	2.5	1
103_1	9	1000	9.00E+05	0.0015625	0.000488281	2
103_2	6	1000	6.00E+05	0.015625	0.004882813	2
103_3	6	1000	6.00E+05	0.03125	0.009765625	2
103_4	5	1000	5.00E+05	0.0625	0.01953125	2
103_5	6	1000	6.00E+05	0.125	0.0390625	2
103_6	6	1000	6.00E+05	0.25	0.078125	2
103_7	4	1000	4.00E+05	0.5	0.15625	2
103_8	17	100	1.70E+05	1	0.3125	2
103_9	12	100	1.20E+05	2	0.625	2
103_10	11	100	1.10E+05	4	1.25	2
103_11	12	100	1.20E+05	8	2.5	2
103_1	22	1000	2.20E+06	0.0015625	0.000488281	3
103_2	21	1000	2.10E+06	0.015625	0.004882813	3
103_3	20	1000	2.00E+06	0.03125	0.009765625	3
103_4	16	1000	1.60E+06	0.0625	0.01953125	3
103_5	13	1000	1.30E+06	0.125	0.0390625	3
103_6	9	1000	9.00E+05	0.25	0.078125	3
103_7	5	1000	5.00E+05	0.5	0.15625	3
103_8	3	1000	3.00E+05	1	0.3125	3
103_9	3	1000	3.00E+05	2	0.625	3
103_10	20	100	2.00E+05	4	1.25	3
103_11	12	100	1.20E+05	8	2.5	3
103_1	6	10000	6.00E+06	0.0015625	0.000488281	4
103_2	4	10000	4.00E+06	0.015625	0.004882813	4
103_3	3	10000	3.00E+06	0.03125	0.009765625	4
103_4	21	1000	2.10E+06	0.0625	0.01953125	4
103_5	20	1000	2.00E+06	0.125	0.0390625	4
103_6	19	1000	1.90E+06	0.25	0.078125	4
103_7	9	1000	9.00E+05	0.5	0.15625	4
103_8	4	1000	4.00E+05	1	0.3125	4
103_9	21	100	2.10E+05	2	0.625	4
103_10	13	100	1.30E+05	4	1.25	4
103_11	3	100	3.00E+04	8	2.5	4
103_1	8	10000	8.00E+06	0.0015625	0.000488281	5
103_2	5	10000	5.00E+06	0.015625	0.004882813	5
103_3	6	10000	6.00E+06	0.03125	0.009765625	5
103_4	3	10000	3.00E+06	0.0625	0.01953125	5
103_5	23	1000	2.30E+06	0.125	0.0390625	5
103_6	8	1000	8.00E+05	0.25	0.078125	5
103_7	28	100	2.80E+05	0.5	0.15625	5
103_8	21	100	2.10E+05	1	0.3125	5
103_9	17	100	1.70E+05	2	0.625	5
103_10	16	100	1.60E+05	4	1.25	5
103_11	8	100	8.00E+04	8	2.5	5
103_1	12	100000	1.20E+08	0.0015625	0.000488281	6
103_2	8	100000	8.00E+07	0.015625	0.004882813	6
103_3	7	100000	7.00E+07	0.03125	0.009765625	6
103_4	11	100000	1.10E+08	0.0625	0.01953125	6
103_5	4	100000	4.00E+07	0.125	0.0390625	6
103_6	8	10000	8.00E+06	0.25	0.078125	6
103_7	18	1000	1.80E+06	0.5	0.15625	6
103_8	8	1000	8.00E+05	1	0.3125	6
103_9	18	100	1.80E+05	2	0.625	6
103_10	18	100	1.80E+05	4	1.25	6
103_11	8	100	8.00E+04	8	2.5	6
