sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	0.009765625	-4
103_2	2	1000	2.00E+05	0.015625	0.09765625	-4
103_3	2	1000	2.00E+05	0.03125	0.1953125	-4
103_4	2	1000	2.00E+05	0.0625	0.390625	-4
103_5	2	1000	2.00E+05	0.125	0.78125	-4
103_6	2	1000	2.00E+05	0.25	1.5625	-4
103_7	2	1000	2.00E+05	0.5	3.125	-4
103_8	2	1000	2.00E+05	1	6.25	-4
103_9	2	1000	2.00E+05	2	12.5	-4
103_10	2	1000	2.00E+05	4	25	-4
103_11	2	1000	2.00E+05	8	50	-4
103_12	2	1000	2.00E+05	16	100	-4
103_1	8	1000	8.00E+05	0.0015625	0.009765625	0
103_2	8	1000	8.00E+05	0.015625	0.09765625	0
103_3	6	1000	6.00E+05	0.03125	0.1953125	0
103_4	5	1000	5.00E+05	0.0625	0.390625	0
103_5	7	1000	7.00E+05	0.125	0.78125	0
103_6	8	1000	8.00E+05	0.25	1.5625	0
103_7	4	1000	4.00E+05	0.5	3.125	0
103_8	3	1000	3.00E+05	1	6.25	0
103_9	5	1000	5.00E+05	2	12.5	0
103_10	3	1000	3.00E+05	4	25	0
103_11	4	1000	4.00E+05	8	50	0
103_12	8	1000	8.00E+05	16	100	0
103_1	31	1000	3.10E+06	0.0015625	0.009765625	1
103_2	30	1000	3.00E+06	0.015625	0.09765625	1
103_3	16	1000	1.60E+06	0.03125	0.1953125	1
103_4	16	1000	1.60E+06	0.0625	0.390625	1
103_5	14	1000	1.40E+06	0.125	0.78125	1
103_6	14	1000	1.40E+06	0.25	1.5625	1
103_7	16	1000	1.60E+06	0.5	3.125	1
103_8	14	1000	1.40E+06	1	6.25	1
103_9	15	1000	1.50E+06	2	12.5	1
103_10	16	1000	1.60E+06	4	25	1
103_11	3	1	3.00E+02	8	50	1
103_12	2	1	2.00E+02	16	100	1
103_1	4	10000	4.00E+06	0.0015625	0.009765625	2
103_2	3	10000	3.00E+06	0.015625	0.09765625	2
103_3	4	10000	4.00E+06	0.03125	0.1953125	2
103_4	3	10000	3.00E+06	0.0625	0.390625	2
103_5	4	10000	4.00E+06	0.125	0.78125	2
103_6	3	10000	3.00E+06	0.25	1.5625	2
103_7	3	10000	3.00E+06	0.5	3.125	2
103_8	28	1000	2.80E+06	1	6.25	2
103_9	12	1000	1.20E+06	2	12.5	2
103_10	9	100	9.00E+04	4	25	2
103_11	0	1	0.00E+00	8	50	2
103_12	0	1	0.00E+00	16	100	2
103_1	8	10000	8.00E+06	0.0015625	0.009765625	3
103_2	9	10000	9.00E+06	0.015625	0.09765625	3
103_3	8	10000	8.00E+06	0.03125	0.1953125	3
103_4	7	10000	7.00E+06	0.0625	0.390625	3
103_5	6	10000	6.00E+06	0.125	0.78125	3
103_6	4	10000	4.00E+06	0.25	1.5625	3
103_7	5	10000	5.00E+06	0.5	3.125	3
103_8	6	10000	6.00E+06	1	6.25	3
103_9	3	1000	3.00E+05	2	12.5	3
103_10	0	1	0.00E+00	4	25	3
103_11	0	1	0.00E+00	8	50	3
103_12	0	1	0.00E+00	16	100	3
103_1	16	10000	1.60E+07	0.0015625	0.009765625	4
103_2	19	10000	1.90E+07	0.015625	0.09765625	4
103_3	17	10000	1.70E+07	0.03125	0.1953125	4
103_4	17	10000	1.70E+07	0.0625	0.390625	4
103_5	9	10000	9.00E+06	0.125	0.78125	4
103_6	8	10000	8.00E+06	0.25	1.5625	4
103_7	7	10000	7.00E+06	0.5	3.125	4
103_8	4	10000	4.00E+06	1	6.25	4
103_9	0	1	0.00E+00	2	12.5	4
103_10	0	1	0.00E+00	4	25	4
103_11	0	1	0.00E+00	8	50	4
103_12	0	1	0.00E+00	16	100	4
103_1	4	100000	4.00E+07	0.0015625	0.009765625	5
103_2	5	100000	5.00E+07	0.015625	0.09765625	5
103_3	4	100000	4.00E+07	0.03125	0.1953125	5
103_4	5	100000	5.00E+07	0.0625	0.390625	5
103_5	6	100000	6.00E+07	0.125	0.78125	5
103_6	3	100000	3.00E+07	0.25	1.5625	5
103_7	10	10000	1.00E+07	0.5	3.125	5
103_8	26	1000	2.60E+06	1	6.25	5
103_9	0	1	0.00E+00	2	12.5	5
103_10	0	1	0.00E+00	4	25	5
103_11	0	1	0.00E+00	8	50	5
103_12	0	1	0.00E+00	16	100	5
103_1	6	100000	6.00E+07	0.0015625	0.009765625	6
103_2	3	100000	3.00E+07	0.015625	0.09765625	6
103_3	18	10000	1.80E+07	0.03125	0.1953125	6
103_4	18	10000	1.80E+07	0.0625	0.390625	6
103_5	14	10000	1.40E+07	0.125	0.78125	6
103_6	7	10000	7.00E+06	0.25	1.5625	6
103_7	3	10000	3.00E+06	0.5	3.125	6
103_8	13	1000	1.30E+06	1	6.25	6
103_9	0	1	0.00E+00	2	12.5	6
103_10	0	1	0.00E+00	4	25	6
103_11	0	1	0.00E+00	8	50	6
103_12	0	1	0.00E+00	16	100	6
