sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOG_1	2	1000	2.00E+05	0.0015625	0.000195313	-4
WHOG_2	2	1000	2.00E+05	0.015625	0.001953125	-4
WHOG_3	2	1000	2.00E+05	0.03125	0.00390625	-4
WHOG_4	2	1000	2.00E+05	0.0625	0.0078125	-4
WHOG_5	2	1000	2.00E+05	0.125	0.015625	-4
WHOG_6	2	1000	2.00E+05	0.25	0.03125	-4
WHOG_7	2	1000	2.00E+05	0.5	0.0625	-4
WHOG_8	2	1000	2.00E+05	1	0.125	-4
WHOG_9	2	1000	2.00E+05	2	0.25	-4
WHOG_10	2	1000	2.00E+05	4	0.5	-4
WHOG_11	2	1000	2.00E+05	8	1	-4
WHOG_12	2	1000	2.00E+05	16	2	-4
WHOG_1	29	1000	2.90E+06	0.0015625	0.000195313	0
WHOG_2	25	1000	2.50E+06	0.015625	0.001953125	0
WHOG_3	22	1000	2.20E+06	0.03125	0.00390625	0
WHOG_4	25	1000	2.50E+06	0.0625	0.0078125	0
WHOG_5	25	1000	2.50E+06	0.125	0.015625	0
WHOG_6	25	1000	2.50E+06	0.25	0.03125	0
WHOG_7	24	1000	2.40E+06	0.5	0.0625	0
WHOG_8	9	1000	9.00E+05	1	0.125	0
WHOG_9	11	1000	1.10E+06	2	0.25	0
WHOG_10	10	1000	1.00E+06	4	0.5	0
WHOG_11	8	1000	8.00E+05	8	1	0
WHOG_12	12	10000	1.20E+07	16	2	0
WHOG_1	12	10000	1.20E+07	0.0015625	0.000195313	1
WHOG_2	7	10000	7.00E+06	0.015625	0.001953125	1
WHOG_3	9	10000	9.00E+06	0.03125	0.00390625	1
WHOG_4	8	10000	8.00E+06	0.0625	0.0078125	1
WHOG_5	22	1000	2.20E+06	0.125	0.015625	1
WHOG_6	17	100	1.70E+05	0.25	0.03125	1
WHOG_7	6	100	6.00E+04	0.5	0.0625	1
WHOG_8	3	100	3.00E+04	1	0.125	1
WHOG_9	5	100	5.00E+04	2	0.25	1
WHOG_10	3	100	3.00E+04	4	0.5	1
WHOG_11	4	100	4.00E+04	8	1	1
WHOG_12	4	100	4.00E+04	16	2	1
WHOG_1	21	10000	2.10E+07	0.0015625	0.000195313	2
WHOG_2	18	10000	1.80E+07	0.015625	0.001953125	2
WHOG_3	20	10000	2.00E+07	0.03125	0.00390625	2
WHOG_4	15	10000	1.50E+07	0.0625	0.0078125	2
WHOG_5	6	10000	6.00E+06	0.125	0.015625	2
WHOG_6	11	1000	1.10E+06	0.25	0.03125	2
WHOG_7	5	100	5.00E+04	0.5	0.0625	2
WHOG_8	4	100	4.00E+04	1	0.125	2
WHOG_9	10	10	1.00E+04	2	0.25	2
WHOG_10	4	10	4.00E+03	4	0.5	2
WHOG_11	4	10	4.00E+03	8	1	2
WHOG_12	24	1	2.40E+03	16	2	2
WHOG_1	7	100000	7.00E+07	0.0015625	0.000195313	3
WHOG_2	8	100000	8.00E+07	0.015625	0.001953125	3
WHOG_3	15	100000	1.50E+08	0.03125	0.00390625	3
WHOG_4	12	100000	1.20E+08	0.0625	0.0078125	3
WHOG_5	24	10000	2.40E+07	0.125	0.015625	3
WHOG_6	31	100	3.10E+05	0.25	0.03125	3
WHOG_7	3	100	3.00E+04	0.5	0.0625	3
WHOG_8	10	10	1.00E+04	1	0.125	3
WHOG_9	3	10	3.00E+03	2	0.25	3
WHOG_10	7	1	7.00E+02	4	0.5	3
WHOG_11	5	1	5.00E+02	8	1	3
WHOG_12	7	1	7.00E+02	16	2	3
WHOG_1	11	100000	1.10E+08	0.0015625	0.000195313	4
WHOG_2	5	100000	5.00E+07	0.015625	0.001953125	4
WHOG_3	9	100000	9.00E+07	0.03125	0.00390625	4
WHOG_4	7	100000	7.00E+07	0.0625	0.0078125	4
WHOG_5	3	100000	3.00E+07	0.125	0.015625	4
WHOG_6	7	1000	7.00E+05	0.25	0.03125	4
WHOG_7	3	100	3.00E+04	0.5	0.0625	4
WHOG_8	8	10	8.00E+03	1	0.125	4
WHOG_9	3	10	3.00E+03	2	0.25	4
WHOG_10	9	1	9.00E+02	4	0.5	4
WHOG_11	3	1	3.00E+02	8	1	4
WHOG_12	3	1	3.00E+02	16	2	4
WHOG_1	16	100000	1.60E+08	0.0015625	0.000195313	5
WHOG_2	10	100000	1.00E+08	0.015625	0.001953125	5
WHOG_3	9	100000	9.00E+07	0.03125	0.00390625	5
WHOG_4	6	100000	6.00E+07	0.0625	0.0078125	5
WHOG_5	12	10000	1.20E+07	0.125	0.015625	5
WHOG_6	4	1000	4.00E+05	0.25	0.03125	5
WHOG_7	9	10	9.00E+03	0.5	0.0625	5
WHOG_8	3	10	3.00E+03	1	0.125	5
WHOG_9	5	1	5.00E+02	2	0.25	5
WHOG_10	5	1	5.00E+02	4	0.5	5
