sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOK_1	2	1000	2.00E+05	0.0015625	0.05	-4
WHOK_2	2	1000	2.00E+05	0.015625	0.5	-4
WHOK_3	2	1000	2.00E+05	0.03125	1	-4
WHOK_4	2	1000	2.00E+05	0.0625	2	-4
WHOK_5	2	1000	2.00E+05	0.125	4	-4
WHOK_6	2	1000	2.00E+05	0.25	8	-4
WHOK_7	2	1000	2.00E+05	0.5	16	-4
WHOK_8	2	1000	2.00E+05	1	32	-4
WHOK_9	2	1000	2.00E+05	2	64	-4
WHOK_1	6	1000	6.00E+05	0.0015625	0.05	0
WHOK_2	5	1000	5.00E+05	0.015625	0.5	0
WHOK_3	3	1000	3.00E+05	0.03125	1	0
WHOK_4	3	1000	3.00E+05	0.0625	2	0
WHOK_5	11	1000	1.10E+06	0.125	4	0
WHOK_6	5	1000	5.00E+05	0.25	8	0
WHOK_7	4	1000	4.00E+05	0.5	16	0
WHOK_8	4	1000	4.00E+05	1	32	0
WHOK_9	7	1000	7.00E+05	2	64	0
WHOK_1	16	1000	1.60E+06	0.0015625	0.05	1
WHOK_2	12	1000	1.20E+06	0.015625	0.5	1
WHOK_3	15	1000	1.50E+06	0.03125	1	1
WHOK_4	12	1000	1.20E+06	0.0625	2	1
WHOK_5	11	1000	1.10E+06	0.125	4	1
WHOK_6	12	1000	1.20E+06	0.25	8	1
WHOK_7	13	1000	1.30E+06	0.5	16	1
WHOK_8	10	1000	1.00E+06	1	32	1
WHOK_9	9	1000	9.00E+05	2	64	1
WHOK_1	6	10000	6.00E+06	0.0015625	0.05	2
WHOK_2	4	10000	4.00E+06	0.015625	0.5	2
WHOK_3	3	10000	3.00E+06	0.03125	1	2
WHOK_4	4	10000	4.00E+06	0.0625	2	2
WHOK_5	3	10000	3.00E+06	0.125	4	2
WHOK_6	3	10000	3.00E+06	0.25	8	2
WHOK_7	4	10000	4.00E+06	0.5	16	2
WHOK_8	8	1000	8.00E+05	1	32	2
WHOK_9	4	1000	4.00E+05	2	64	2
WHOK_1	11	10000	1.10E+07	0.0015625	0.05	3
WHOK_2	13	10000	1.30E+07	0.015625	0.5	3
WHOK_3	5	10000	5.00E+06	0.03125	1	3
WHOK_4	8	10000	8.00E+06	0.0625	2	3
WHOK_5	7	10000	7.00E+06	0.125	4	3
WHOK_6	7	10000	7.00E+06	0.25	8	3
WHOK_7	9	10000	9.00E+06	0.5	16	3
WHOK_8	10	1000	1.00E+06	1	32	3
WHOK_9	5	1000	5.00E+05	2	64	3
WHOK_1	15	10000	1.50E+07	0.0015625	0.05	4
WHOK_2	12	10000	1.20E+07	0.015625	0.5	4
WHOK_3	12	10000	1.20E+07	0.03125	1	4
WHOK_4	8	10000	8.00E+06	0.0625	2	4
WHOK_5	9	10000	9.00E+06	0.125	4	4
WHOK_6	5	10000	5.00E+06	0.25	8	4
WHOK_7	12	1000	1.20E+06	0.5	16	4
WHOK_8	3	1000	3.00E+05	1	32	4
WHOK_9	12	100	1.20E+05	2	64	4
WHOK_1	15	10000	1.50E+07	0.0015625	0.05	5
WHOK_2	21	10000	2.10E+07	0.015625	0.5	5
WHOK_3	14	10000	1.40E+07	0.03125	1	5
WHOK_4	19	10000	1.90E+07	0.0625	2	5
WHOK_5	9	10000	9.00E+06	0.125	4	5
WHOK_6	29	1000	2.90E+06	0.25	8	5
WHOK_7	10	1000	1.00E+06	0.5	16	5
WHOK_8	3	1000	3.00E+05	1	32	5
WHOK_9	4	100	4.00E+04	2	64	5
WHOK_1	6	100000	6.00E+07	0.0015625	0.05	6
WHOK_2	7	100000	7.00E+07	0.015625	0.5	6
WHOK_3	5	100000	5.00E+07	0.03125	1	6
WHOK_4	4	100000	4.00E+07	0.0625	2	6
WHOK_5	3	100000	3.00E+07	0.125	4	6
WHOK_6	12	10000	1.20E+07	0.25	8	6
WHOK_7	9	1000	9.00E+05	0.5	16	6
WHOK_8	20	100	2.00E+05	1	32	6
WHOK_9	3	100	3.00E+04	2	64	6
