sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOL_1	2	1000	2.00E+05	0.0015625	0.05	-4
WHOL_2	2	1000	2.00E+05	0.015625	0.5	-4
WHOL_3	2	1000	2.00E+05	0.03125	1	-4
WHOL_4	2	1000	2.00E+05	0.0625	2	-4
WHOL_5	2	1000	2.00E+05	0.125	4	-4
WHOL_6	2	1000	2.00E+05	0.25	8	-4
WHOL_7	2	1000	2.00E+05	0.5	16	-4
WHOL_8	2	1000	2.00E+05	1	32	-4
WHOL_9	2	1000	2.00E+05	2	64	-4
WHOL_1	7	1000	7.00E+05	0.0015625	0.05	0
WHOL_2	7	1000	7.00E+05	0.015625	0.5	0
WHOL_3	4	1000	4.00E+05	0.03125	1	0
WHOL_4	5	1000	5.00E+05	0.0625	2	0
WHOL_5	5	1000	5.00E+05	0.125	4	0
WHOL_6	5	1000	5.00E+05	0.25	8	0
WHOL_7	8	1000	8.00E+05	0.5	16	0
WHOL_8	6	1000	6.00E+05	1	32	0
WHOL_9	6	1000	6.00E+05	2	64	0
WHOL_1	6	1000	6.00E+05	0.0015625	0.05	1
WHOL_2	10	1000	1.00E+06	0.015625	0.5	1
WHOL_3	11	1000	1.10E+06	0.03125	1	1
WHOL_4	8	1000	8.00E+05	0.0625	2	1
WHOL_5	11	1000	1.10E+06	0.125	4	1
WHOL_6	8	1000	8.00E+05	0.25	8	1
WHOL_7	8	1000	8.00E+05	0.5	16	1
WHOL_8	7	1000	7.00E+05	1	32	1
WHOL_9	9	1000	9.00E+05	2	64	1
WHOL_1	15	1000	1.50E+06	0.0015625	0.05	2
WHOL_2	18	1000	1.80E+06	0.015625	0.5	2
WHOL_3	19	1000	1.90E+06	0.03125	1	2
WHOL_4	9	1000	9.00E+05	0.0625	2	2
WHOL_5	13	1000	1.30E+06	0.125	4	2
WHOL_6	4	1000	4.00E+05	0.25	8	2
WHOL_7	5	1000	5.00E+05	0.5	16	2
WHOL_8	18	100	1.80E+05	1	32	2
WHOL_9	16	100	1.60E+05	2	64	2
WHOL_1	5	10000	5.00E+06	0.0015625	0.05	3
WHOL_2	5	10000	5.00E+06	0.015625	0.5	3
WHOL_3	13	1000	1.30E+06	0.03125	1	3
WHOL_4	12	1000	1.20E+06	0.0625	2	3
WHOL_5	11	1000	1.10E+06	0.125	4	3
WHOL_6	6	1000	6.00E+05	0.25	8	3
WHOL_7	19	100	1.90E+05	0.5	16	3
WHOL_8	11	100	1.10E+05	1	32	3
WHOL_9	10	100	1.00E+05	2	64	3
WHOL_1	7	10000	7.00E+06	0.0015625	0.05	4
WHOL_2	4	10000	4.00E+06	0.015625	0.5	4
WHOL_3	5	10000	5.00E+06	0.03125	1	4
WHOL_4	3	10000	3.00E+06	0.0625	2	4
WHOL_5	5	1000	5.00E+05	0.125	4	4
WHOL_6	3	1000	3.00E+05	0.25	8	4
WHOL_7	12	100	1.20E+05	0.5	16	4
WHOL_8	8	100	8.00E+04	1	32	4
WHOL_9	4	100	4.00E+04	2	64	4
WHOL_1	12	10000	1.20E+07	0.0015625	0.05	5
WHOL_2	3	10000	3.00E+06	0.015625	0.5	5
WHOL_3	4	10000	4.00E+06	0.03125	1	5
WHOL_4	6	10000	6.00E+06	0.0625	2	5
WHOL_5	8	1000	8.00E+05	0.125	4	5
WHOL_6	19	100	1.90E+05	0.25	8	5
WHOL_7	14	100	1.40E+05	0.5	16	5
WHOL_8	3	100	3.00E+04	1	32	5
WHOL_9	4	100	4.00E+04	2	64	5
WHOL_1	31	100000	3.10E+08	0.0015625	0.05	6
WHOL_2	27	100000	2.70E+08	0.015625	0.5	6
WHOL_3	22	100000	2.20E+08	0.03125	1	6
WHOL_4	14	100000	1.40E+08	0.0625	2	6
WHOL_5	11	10000	1.10E+07	0.125	4	6
WHOL_6	3	1000	3.00E+05	0.25	8	6
WHOL_7	13	10	1.30E+04	0.5	16	6
WHOL_8	22	1	2.20E+03	1	32	6
WHOL_9	8	1	8.00E+02	2	64	6
