sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHON_1	2	1000	2.00E+05	0.0015625	0.00625	-4
WHON_2	2	1000	2.00E+05	0.015625	0.0625	-4
WHON_3	2	1000	2.00E+05	0.03125	0.125	-4
WHON_4	2	1000	2.00E+05	0.0625	0.25	-4
WHON_5	2	1000	2.00E+05	0.125	0.5	-4
WHON_6	2	1000	2.00E+05	0.25	1	-4
WHON_7	2	1000	2.00E+05	0.5	2	-4
WHON_8	2	1000	2.00E+05	1	4	-4
WHON_9	2	1000	2.00E+05	2	8	-4
WHON_10	2	1000	2.00E+05	4	16	-4
WHON_11	2	1000	2.00E+05	8	32	-4
WHON_12	2	1000	2.00E+05	16	64	-4
WHON_1	12	1000	1.20E+06	0.0015625	0.00625	0
WHON_2	13	1000	1.30E+06	0.015625	0.0625	0
WHON_3	21	1000	2.10E+06	0.03125	0.125	0
WHON_4	15	1000	1.50E+06	0.0625	0.25	0
WHON_5	11	1000	1.10E+06	0.125	0.5	0
WHON_6	14	1000	1.40E+06	0.25	1	0
WHON_7	14	1000	1.40E+06	0.5	2	0
WHON_8	13	1000	1.30E+06	1	4	0
WHON_9	21	1000	2.10E+06	2	8	0
WHON_10	12	1000	1.20E+06	4	16	0
WHON_11	10	1000	1.00E+06	8	32	0
WHON_12	9	1000	9.00E+05	16	64	0
WHON_1	30	1000	3.00E+06	0.0015625	0.00625	1
WHON_2	32	1000	3.20E+06	0.015625	0.0625	1
WHON_3	30	1000	3.00E+06	0.03125	0.125	1
WHON_4	29	1000	2.90E+06	0.0625	0.25	1
WHON_5	11	1000	1.10E+06	0.125	0.5	1
WHON_6	13	1000	1.30E+06	0.25	1	1
WHON_7	12	1000	1.20E+06	0.5	2	1
WHON_8	8	1000	8.00E+05	1	4	1
WHON_9	7	1000	7.00E+05	2	8	1
WHON_10	6	1000	6.00E+05	4	16	1
WHON_11	8	1000	8.00E+05	8	32	1
WHON_12	7	1000	7.00E+05	16	64	1
WHON_1	12	10000	1.20E+07	0.0015625	0.00625	2
WHON_2	12	10000	1.20E+07	0.015625	0.0625	2
WHON_3	10	10000	1.00E+07	0.03125	0.125	2
WHON_4	8	10000	8.00E+06	0.0625	0.25	2
WHON_5	8	10000	8.00E+06	0.125	0.5	2
WHON_6	24	1000	2.40E+06	0.25	1	2
WHON_7	10	1000	1.00E+06	0.5	2	2
WHON_8	8	1000	8.00E+05	1	4	2
WHON_9	8	1000	8.00E+05	2	8	2
WHON_10	19	100	1.90E+05	4	16	2
WHON_11	12	100	1.20E+05	8	32	2
WHON_12	14	100	1.40E+05	16	64	2
WHON_1	15	10000	1.50E+07	0.0015625	0.00625	3
WHON_2	17	10000	1.70E+07	0.015625	0.0625	3
WHON_3	14	10000	1.40E+07	0.03125	0.125	3
WHON_4	12	10000	1.20E+07	0.0625	0.25	3
WHON_5	4	10000	4.00E+06	0.125	0.5	3
WHON_6	3	10000	3.00E+06	0.25	1	3
WHON_7	4	1000	4.00E+05	0.5	2	3
WHON_8	6	1000	6.00E+05	1	4	3
WHON_9	18	100	1.80E+05	2	8	3
WHON_10	14	100	1.40E+05	4	16	3
WHON_11	16	100	1.60E+05	8	32	3
WHON_12	16	100	1.60E+05	16	64	3
WHON_1	5	100000	5.00E+07	0.0015625	0.00625	4
WHON_2	7	100000	7.00E+07	0.015625	0.0625	4
WHON_3	5	100000	5.00E+07	0.03125	0.125	4
WHON_4	17	10000	1.70E+07	0.0625	0.25	4
WHON_5	15	10000	1.50E+07	0.125	0.5	4
WHON_6	4	10000	4.00E+06	0.25	1	4
WHON_7	3	1000	3.00E+05	0.5	2	4
WHON_8	13	100	1.30E+05	1	4	4
WHON_9	7	100	7.00E+04	2	8	4
WHON_10	8	100	8.00E+04	4	16	4
WHON_11	6	100	6.00E+04	8	32	4
WHON_12	8	100	8.00E+04	16	64	4
WHON_1	3	100000	3.00E+07	0.0015625	0.00625	5
WHON_2	4	100000	4.00E+07	0.015625	0.0625	5
WHON_3	4	100000	4.00E+07	0.03125	0.125	5
WHON_4	18	10000	1.80E+07	0.0625	0.25	5
WHON_5	11	10000	1.10E+07	0.125	0.5	5
WHON_6	3	10000	3.00E+06	0.25	1	5
WHON_7	24	100	2.40E+05	0.5	2	5
WHON_8	22	100	2.20E+05	1	4	5
WHON_9	9	100	9.00E+04	2	8	5
WHON_10	2	100	2.00E+04	4	16	5
WHON_11	4	100	4.00E+04	8	32	5
WHON_12	4	100	4.00E+04	16	64	5
WHON_1	25	100000	2.50E+08	0.0015625	0.00625	6
WHON_2	29	100000	2.90E+08	0.015625	0.0625	6
WHON_3	22	100000	2.20E+08	0.03125	0.125	6
WHON_4	20	100000	2.00E+08	0.0625	0.25	6
WHON_5	10	100000	1.00E+08	0.125	0.5	6
WHON_6	13	10000	1.30E+07	0.25	1	6
WHON_7	10	1000	1.00E+06	0.5	2	6
WHON_8	5	1000	5.00E+05	1	4	6
WHON_9	12	100	1.20E+05	2	8	6
WHON_10	8	100	8.00E+04	4	16	6
WHON_11	4	100	4.00E+04	8	32	6
WHON_12	3	100	3.00E+04	16	64	6
