time	Fluorescence	conc
20	1109.65	100
20	972.247	50
20	888.706	25
20	863.707	12.5
20	865.587	6.25
20	851.173	3.125
20	851.105	1.5625
20	835.83	0.78125
20	868.287	0.390625
20	872.186	0.1953125
20	870.199	0.09765625
20	831.619	0.009765625
40	1048.5	100
40	908.733	50
40	1018.75	25
40	932.774	12.5
40	995.235	6.25
40	1069.1	3.125
40	1219.16	1.5625
40	1173.73	0.78125
40	1274.99	0.390625
40	1260.58	0.1953125
40	1392.84	0.09765625
40	1065.25	0.009765625
60	816.761	100
60	743.422	50
60	731.813	25
60	843.855	12.5
60	985.103	6.25
60	1106.55	3.125
60	1269.58	1.5625
60	1144.13	0.78125
60	1301.76	0.390625
60	1202.25	0.1953125
60	1258.37	0.09765625
60	1168.44	0.009765625
80	575.81	100
80	612.235	50
80	547.623	25
80	555.912	12.5
80	643.134	6.25
80	1060.04	3.125
80	1021.33	1.5625
80	904.861	0.78125
80	1019.39	0.390625
80	918.262	0.1953125
80	1105.17	0.09765625
80	1193.79	0.009765625
100	461.332	100
100	438.041	50
100	406.966	25
100	446.481	12.5
100	556.388	6.25
100	788.028	3.125
100	894.25	1.5625
100	801.565	0.78125
100	880.078	0.390625
100	823.979	0.1953125
100	1034.88	0.09765625
100	1072.82	0.009765625
120	468.053	100
120	595.146	50
120	562.799	25
120	521.422	12.5
120	521.437	6.25
120	638.277	3.125
120	815.799	1.5625
120	729.96	0.78125
120	815.618	0.390625
120	785.673	0.1953125
120	961.563	0.09765625
120	1131.82	0.009765625
140	566.287	100
140	563.079	50
140	614.183	25
140	634.043	12.5
140	713.854	6.25
140	839.633	3.125
140	984.932	1.5625
140	820.668	0.78125
140	793.305	0.390625
140	882.023	0.1953125
140	939.661	0.09765625
140	1107.17	0.009765625
160	601.91	100
160	634.756	50
160	709.198	25
160	732.407	12.5
160	792.218	6.25
160	1075.39	3.125
160	1544.91	1.5625
160	1145	0.78125
160	1084.77	0.390625
160	1048.63	0.1953125
160	1129.77	0.09765625
160	1396.59	0.009765625
