time	Fluorescence	conc
20	1717.83	100
20	1661.89	50
20	1741.62	25
20	1605.44	12.5
20	1809.78	6.25
20	1675.5	3.125
20	1730.2	1.5625
20	1773.26	0.78125
20	1821.98	0.390625
20	1822.75	0.1953125
20	1933.2	0.09765625
20	1647.89	0.009765625
40	1791.31	100
40	2140.23	50
40	2195.34	25
40	2272.29	12.5
40	2568.04	6.25
40	2506.99	3.125
40	2607.53	1.5625
40	2608.04	0.78125
40	2710.2	0.390625
40	2648.65	0.1953125
40	2811.18	0.09765625
40	2481.34	0.009765625
60	1619.51	100
60	1929.74	50
60	2359.07	25
60	2944.1	12.5
60	3013.64	6.25
60	3142.85	3.125
60	3361.12	1.5625
60	3193.82	0.78125
60	3194.96	0.390625
60	3015.95	0.1953125
60	3071.7	0.09765625
60	2903.92	0.009765625
80	1152.24	100
80	2066.78	50
80	2525.55	25
80	3231.15	12.5
80	3020.01	6.25
80	3249.55	3.125
80	3070.18	1.5625
80	2966.02	0.78125
80	2844.78	0.390625
80	3188.85	0.1953125
80	3129.84	0.09765625
80	3285.94	0.009765625
100	1004.95	100
100	1481.47	50
100	2315.7	25
100	2870.24	12.5
100	2819.05	6.25
100	3106	3.125
100	3087.46	1.5625
100	3120.8	0.78125
100	3110.54	0.390625
100	3150.59	0.1953125
100	3563.05	0.09765625
100	3571.34	0.009765625
120	725.93	100
120	1274	50
120	2499.28	25
120	3451.27	12.5
120	3545.12	6.25
120	3419.71	3.125
120	3235.06	1.5625
120	3204.26	0.78125
120	3455.59	0.390625
120	3043.73	0.1953125
120	3693.5	0.09765625
120	3658.16	0.009765625
140	665.398	100
140	1261.5	50
140	2736.6	25
140	3473.89	12.5
140	3679.57	6.25
140	3723.4	3.125
140	3765.33	1.5625
140	3725.83	0.78125
140	3725.72	0.390625
140	3742.59	0.1953125
140	3758.12	0.09765625
140	3826.05	0.009765625
160	635.634	100
160	1299.94	50
160	2750.98	25
160	2869.26	12.5
160	3265.94	6.25
160	3721.09	3.125
160	3808.42	1.5625
160	3779.04	0.78125
160	3825	0.390625
160	3816	0.1953125
160	3864.17	0.09765625
160	3792.89	0.009765625
