conc	Fluorescence	time
100	993.968	20
50	1074.03	20
25	1016.45	20
12.5	1077.1	20
6.25	1037.18	20
3.125	1075.34	20
1.5625	1081.07	20
0.78125	1137.83	20
0.390625	1114.27	20
0.1953125	1138.41	20
0.09765625	1168.37	20
0.009765625	1268.07	20
100	910.875	40
50	978.675	40
25	1024.23	40
12.5	1035.86	40
6.25	1109.58	40
3.125	1311.68	40
1.5625	1652.18	40
0.78125	1808.71	40
0.390625	1986.81	40
0.1953125	2065.13	40
0.09765625	2119.66	40
0.009765625	1948.2	40
100	583.703	60
50	641.655	60
25	616.226	60
12.5	697.705	60
6.25	764.027	60
3.125	936.171	60
1.5625	1278.64	60
0.78125	1584.8	60
0.390625	2112.21	60
0.1953125	2371.24	60
0.09765625	2185.51	60
0.009765625	2068.01	60
100	475.708	80
50	500.241	80
25	479.887	80
12.5	539.752	80
6.25	548.005	80
3.125	619.326	80
1.5625	813.937	80
0.78125	1087.46	80
0.390625	1664.46	80
0.1953125	2055.58	80
0.09765625	2187.26	80
0.009765625	1894.79	80
100	359.372	100
50	403.874	100
25	392.884	100
12.5	379.108	100
6.25	452.097	100
3.125	480.037	100
1.5625	556.527	100
0.78125	755.521	100
0.390625	1349.48	100
0.1953125	2006.73	100
0.09765625	2319.71	100
0.009765625	1825.16	100
100	391.505	120
50	554.514	120
25	477.748	120
12.5	499.076	120
6.25	501.358	120
3.125	504.818	120
1.5625	535.203	120
0.78125	634.616	120
0.390625	1293.31	120
0.1953125	2039.92	120
0.09765625	2252.23	120
0.009765625	1778.9	120
100	459.274	140
50	575.934	140
25	524.532	140
12.5	577.826	140
6.25	559.495	140
3.125	564.729	140
1.5625	585.358	140
0.78125	640.941	140
0.390625	1203.44	140
0.1953125	2178.47	140
0.09765625	2254.44	140
0.009765625	2114.6	140
100	623.109	160
50	778.588	160
25	646.978	160
12.5	662.655	160
6.25	593.107	160
3.125	687.98	160
1.5625	755.683	160
0.78125	876.924	160
0.390625	1414.86	160
0.1953125	1802.58	160
0.09765625	2455.66	160
0.009765625	1943.79	160
