conc	Fluorescence	time
100	2196.1	20
50	2432.01	20
25	2125.59	20
12.5	2401.63	20
6.25	2529.9	20
3.125	2435.24	20
1.5625	2423.93	20
0.78125	2650.87	20
0.390625	2593.29	20
0.1953125	2636.88	20
0.09765625	2686.95	20
0.009765625	2677.78	20
100	2833.29	40
50	3192.26	40
25	3278.41	40
12.5	3376.14	40
6.25	3303.42	40
3.125	3380.41	40
1.5625	3435.64	40
0.78125	3437.14	40
0.390625	3503.52	40
0.1953125	3655.84	40
0.09765625	3601.48	40
0.009765625	3554.29	40
100	2736.12	60
50	3608.82	60
25	3648.94	60
12.5	3737.72	60
6.25	3756.64	60
3.125	3680.47	60
1.5625	3444.97	60
0.78125	3720.25	60
0.390625	3725.22	60
0.1953125	3703.81	60
0.09765625	3723.26	60
0.009765625	3778.34	60
100	2251.91	80
50	3710.8	80
25	3743.18	80
12.5	3785.86	80
6.25	3679.43	80
3.125	3195.48	80
1.5625	3167.45	80
0.78125	3420.68	80
0.390625	3301.46	80
0.1953125	3480.23	80
0.09765625	3706.22	80
0.009765625	3820.84	80
100	1676.14	100
50	3321.48	100
25	3217.67	100
12.5	3334.95	100
6.25	3318.71	100
3.125	3389.6	100
1.5625	3349.31	100
0.78125	3428.93	100
0.390625	3267.61	100
0.1953125	3683.01	100
0.09765625	3795.99	100
0.009765625	3845.96	100
100	1415.78	120
50	3516.9	120
25	3706.11	120
12.5	3833.94	120
6.25	3784.23	120
3.125	3776.33	120
1.5625	3435.22	120
0.78125	3312.57	120
0.390625	3627.19	120
0.1953125	3815.9	120
0.09765625	3776.69	120
0.009765625	3874.7	120
100	1644.91	140
50	3576.83	140
25	3574.81	140
12.5	3819.26	140
6.25	3850.09	140
3.125	3858.08	140
1.5625	3833.08	140
0.78125	3821.96	140
0.390625	3814.48	140
0.1953125	3842.87	140
0.09765625	3872.96	140
0.009765625	3895.4	140
100	1813.09	160
50	2795.27	160
25	3244.73	160
12.5	3668.8	160
6.25	3812.97	160
3.125	3855.3	160
1.5625	3835.83	160
0.78125	3866.09	160
0.390625	3307.29	160
0.1953125	3826.44	160
0.09765625	3468.39	160
0.009765625	3814.22	160
