conc	Fluorescence	time
100	723.567	1
50	750.458	1
25	749.221	1
12.5	714.939	1
6.25	755.183	1
3.125	750.886	1
1.5625	777.484	1
0.78125	817.666	1
0.390625	825.203	1
0.1953125	795.388	1
0.09765625	820.842	1
0.01	795.464	1
100	602.141	2
50	593.263	2
25	594.021	2
12.5	522.325	2
6.25	592.638	2
3.125	687.754	2
1.5625	745.224	2
0.78125	768.619	2
0.390625	750.66	2
0.1953125	987.121	2
0.09765625	920.973	2
0.01	1144.45	2
100	617.978	3
50	493.801	3
25	506.547	3
12.5	580.531	3
6.25	577.523	3
3.125	634.301	3
1.5625	865.306	3
0.78125	1114.36	3
0.390625	1312.43	3
0.1953125	1576.37	3
0.09765625	1632.28	3
0.01	2170.57	3
100	505.438	4
50	521.859	4
25	486.009	4
12.5	489.562	4
6.25	532.215	4
3.125	657.453	4
1.5625	842.918	4
0.78125	1230.72	4
0.390625	2043.52	4
0.1953125	2267.74	4
0.09765625	2486.73	4
0.01	3332.03	4
100	490.649	5
50	395.059	5
25	343.154	5
12.5	430.165	5
6.25	592.605	5
3.125	582.147	5
1.5625	905.978	5
0.78125	1439.43	5
0.390625	2636.63	5
0.1953125	2834.16	5
0.09765625	3137.76	5
0.01	3813.73	5
100	550.69	6
50	549.005	6
25	544.468	6
12.5	539.164	6
6.25	584.414	6
3.125	646.23	6
1.5625	955.073	6
0.78125	2434.69	6
0.390625	3034.21	6
0.1953125	3497.06	6
0.09765625	3644.74	6
0.01	3822.89	6
100	510.521	7
50	487.181	7
25	486.838	7
12.5	537.816	7
6.25	539.059	7
3.125	710.42	7
1.5625	1139.38	7
0.78125	3051.92	7
0.390625	3308.17	7
0.1953125	3685.56	7
0.09765625	3783.06	7
0.01	3728.48	7
100	436.547	8
50	424.814	8
25	445.488	8
12.5	469.538	8
6.25	494.292	8
3.125	598.713	8
1.5625	1615.19	8
0.78125	2970.04	8
0.390625	3232.85	8
0.1953125	3289.05	8
0.09765625	3463.68	8
0.01	3747.32	8
