time	Fluorescence	conc
1	133.864	100
1	260.385	50
1	304.109	25
1	253.346	12.5
1	296.404	6.25
1	323.203	3.125
1	345.088	1.5625
1	433.771	0.78125
1	471.536	0.390625
1	530.79	0.1953125
1	532.177	0.09765625
1	494.7	0.048828125
2	123.561	100
2	250.227	50
2	267.524	25
2	270.801	12.5
2	296.464	6.25
2	311.624	3.125
2	340.881	1.5625
2	425.256	0.78125
2	574.408	0.390625
2	619.495	0.1953125
2	630.95	0.09765625
2	590.146	0.048828125
3	126.833	100
3	199.938	50
3	216.842	25
3	218.478	12.5
3	236.637	6.25
3	254.421	3.125
3	309.402	1.5625
3	447.204	0.78125
3	700.763	0.390625
3	886.719	0.1953125
3	934.91	0.09765625
3	953.979	0.048828125
4	133.277	100
4	183.808	50
4	192.471	25
4	191.164	12.5
4	202.974	6.25
4	219.409	3.125
4	261.131	1.5625
4	394.357	0.78125
4	884.676	0.390625
4	1214.55	0.1953125
4	1341.23	0.09765625
4	1348.11	0.048828125
5	138.904	100
5	180.589	50
5	188.217	25
5	186.985	12.5
5	193.63	6.25
5	209.792	3.125
5	236.199	1.5625
5	351.172	0.78125
5	933.977	0.390625
5	1623.15	0.1953125
5	1911.07	0.09765625
5	1902.46	0.048828125
6	149.346	100
6	174.089	50
6	179.14	25
6	176.546	12.5
6	180.315	6.25
6	185.663	3.125
6	222.747	1.5625
6	324.123	0.78125
6	1127.34	0.390625
6	2218.7	0.1953125
6	2448.45	0.09765625
6	2339.96	0.048828125
