Fluorescence	time	conc
1109.1	0.5	100
1011.02	0.5	50
1035.26	0.5	25
1138.44	0.5	12.5
1152.36	0.5	6.25
1159.9	0.5	3.125
1311.81	0.5	1.5625
1338.99	0.5	0.78125
1298.88	0.5	0.390625
1227.02	0.5	0.1953125
1277.06	0.5	0.09765625
1067.771	1	100
1360.647	1	50
1520.717	1	25
1279.077	1	12.5
1550.357	1	6.25
1637.407	1	3.125
1769.927	1	1.5625
2004.637	1	0.78125
2240.147	1	0.390625
2438.277	1	0.1953125
2523.567	1	0.09765625
1060.772	1.5	100
1100.442	1.5	50
1153.742	1.5	25
1173.412	1.5	12.5
1426.382	1.5	6.25
1376.722	1.5	3.125
1654.602	1.5	1.5625
1744.682	1.5	0.78125
2142.202	1.5	0.390625
2399.862	1.5	0.1953125
2681.322	1.5	0.09765625
1051.744	2	100
997.194	2	50
1178.044	2	25
1318.314	2	12.5
1284.164	2	6.25
1427.794	2	3.125
1724.884	2	1.5625
1871.774	2	0.78125
2548.444	2	0.390625
3146.094	2	0.1953125
3412.614	2	0.09765625
874.278	2.5	100
1030.648	2.5	50
1062.438	2.5	25
1125.638	2.5	12.5
1202.108	2.5	6.25
1243.568	2.5	3.125
1467.738	2.5	1.5625
1747.388	2.5	0.78125
2080.458	2.5	0.390625
3051.018	2.5	0.1953125
3557.748	2.5	0.09765625
810.991	3	100
834.425	3	50
926.046	3	25
827.372	3	12.5
912.946	3	6.25
915.836	3	3.125
1182.706	3	1.5625
1359.866	3	0.78125
1866.036	3	0.390625
2498.446	3	0.1953125
3255.716	3	0.09765625
