time  Fluorescence	xMIC	MIC	conc
0	839.923	16	0.004	0.064
20	1617.95	16	0.004	0.064
40	1474.9	16	0.004	0.064
60	1225.98	16	0.004	0.064
80	995.312	16	0.004	0.064
100	837.711	16	0.004	0.064
120	740.05	16	0.004	0.064
140	710.333	16	0.004	0.064
0	955.202	8	0.004	0.032
20	2411.29	8	0.004	0.032
40	1920.61	8	0.004	0.032
60	1722.76	8	0.004	0.032
80	1563.19	8	0.004	0.032
100	1363.81	8	0.004	0.032
120	1090.75	8	0.004	0.032
140	955.861	8	0.004	0.032
0	903.168	4	0.004	0.016
20	2549.93	4	0.004	0.016
40	2275.19	4	0.004	0.016
60	2284.6	4	0.004	0.016
80	1984.87	4	0.004	0.016
100	2038.02	4	0.004	0.016
120	1904.98	4	0.004	0.016
140	1337.67	4	0.004	0.016
0	2121.22	2	0.004	0.008
20	2517.7	2	0.004	0.008
40	2463.78	2	0.004	0.008
60	2116.06	2	0.004	0.008
80	2112.5	2	0.004	0.008
100	2148.97	2	0.004	0.008
120	2529.07	2	0.004	0.008
140	1659.69	2	0.004	0.008
0	2263.07	1	0.004	0.004
20	2437.59	1	0.004	0.004
40	2511.7	1	0.004	0.004
60	2116.61	1	0.004	0.004
80	2142.89	1	0.004	0.004
100	2378.93	1	0.004	0.004
120	2958.89	1	0.004	0.004
140	2227.69	1	0.004	0.004
0	2310.87	0.5	0.004	0.002
20	2179.72	0.5	0.004	0.002
40	2419.17	0.5	0.004	0.002
60	2332.45	0.5	0.004	0.002
80	2301.14	0.5	0.004	0.002
100	2384.15	0.5	0.004	0.002
120	3035.46	0.5	0.004	0.002
140	2784.38	0.5	0.004	0.002
0	1842.74	0.25	0.004	0.001
20	2495.12	0.25	0.004	0.001
40	2574.47	0.25	0.004	0.001
60	2291.15	0.25	0.004	0.001
80	2451.67	0.25	0.004	0.001
100	2532.12	0.25	0.004	0.001
120	3017	0.25	0.004	0.001
140	3549.64	0.25	0.004	0.001
0	1912.45	0.125	0.004	0.0005
20	2361.4	0.125	0.004	0.0005
40	2358.25	0.125	0.004	0.0005
60	2423.8	0.125	0.004	0.0005
80	2460.95	0.125	0.004	0.0005
100	2448.88	0.125	0.004	0.0005
120	2941.08	0.125	0.004	0.0005
140	3360.41	0.125	0.004	0.0005
0	2001.87	0.0625	0.004	0.00025
20	2361.55	0.0625	0.004	0.00025
40	2312.37	0.0625	0.004	0.00025
60	2278.55	0.0625	0.004	0.00025
80	2494.83	0.0625	0.004	0.00025
100	2496.45	0.0625	0.004	0.00025
120	3079.86	0.0625	0.004	0.00025
140	3458.49	0.0625	0.004	0.00025
0	2313.3	0.03125	0.004	0.000125
20	2469	0.03125	0.004	0.000125
40	2383.27	0.03125	0.004	0.000125
60	2331.98	0.03125	0.004	0.000125
80	2405.1	0.03125	0.004	0.000125
100	3050.6	0.03125	0.004	0.000125
120	3448.99	0.03125	0.004	0.000125
140	3743.24	0.03125	0.004	0.000125
0	2493	0.03125	0.004	0.000125
20	2402.72	0.015625	0.004	0.0000625
40	2304.72	0.015625	0.004	0.0000625
60	2313.92	0.015625	0.004	0.0000625
80	2845.55	0.015625	0.004	0.0000625
100	3081.14	0.015625	0.004	0.0000625
120	3391.19	0.015625	0.004	0.0000625
140	3618.94	0.015625	0.004	0.0000625
0	2524.35	0.0078125	0.004	0.00003125
20	2246.41	0.0078125	0.004	0.00003125
40	2291.15	0.0078125	0.004	0.00003125
60	2685.53	0.0078125	0.004	0.00003125
80	2932.39	0.0078125	0.004	0.00003125
100	3079.54	0.0078125	0.004	0.00003125
120	3281.45	0.0078125	0.004	0.00003125
140	3559.81	0.0078125	0.004	0.00003125
