conc	Fluorescence	time	abs.conc
100	825.484	20	0.64
50	941.617	20	0.32
25	969.426	20	0.16
12.5	1029.37	20	0.08
6.25	1022.75	20	0.04
3.125	1055.54	20	0.02
1.5625	1088.29	20	0.01
0.78125	1163.52	20	0.005
0.390625	1088.06	20	0.0025
0.1953125	1146.44	20	0.00125
0.09765625	1061.93	20	0.000625
0.048828125	1129.37	20	0.0003125
100	1087.3	40	0.64
50	1092.09	40	0.32
25	1173.04	40	0.16
12.5	1326.09	40	0.08
6.25	1247.57	40	0.04
3.125	1327.53	40	0.02
1.5625	1256.71	40	0.01
0.78125	1358.45	40	0.005
0.390625	1318.62	40	0.0025
0.1953125	1413.04	40	0.00125
0.09765625	1286.39	40	0.000625
0.048828125	1524.27	40	0.0003125
100	1070.72	60	0.64
50	1029.45	60	0.32
25	996.457	60	0.16
12.5	1106.48	60	0.08
6.25	965.17	60	0.04
3.125	1075.96	60	0.02
1.5625	1073.11	60	0.01
0.78125	1210.41	60	0.005
0.390625	1179.7	60	0.0025
0.1953125	1305.45	60	0.00125
0.09765625	1149.53	60	0.000625
0.048828125	1707.21	60	0.0003125
100	646.698	80	0.64
50	782.722	80	0.32
25	858.747	80	0.16
12.5	924.479	80	0.08
6.25	912.527	80	0.04
3.125	1047.31	80	0.02
1.5625	929.37	80	0.01
0.78125	1025.98	80	0.005
0.390625	1065.3	80	0.0025
0.1953125	1238.07	80	0.00125
0.09765625	975.945	80	0.000625
0.048828125	1813.4	80	0.0003125
100	553.844	100	0.64
50	665.051	100	0.32
25	627.37	100	0.16
12.5	737.228	100	0.08
6.25	658.454	100	0.04
3.125	827.644	100	0.02
1.5625	836.263	100	0.01
0.78125	925.845	100	0.005
0.390625	992.974	100	0.0025
0.1953125	1067.58	100	0.00125
0.09765625	815.626	100	0.000625
0.048828125	2067.42	100	0.0003125
100	593.952	120	0.64
50	537.14	120	0.32
25	620.724	120	0.16
12.5	566.047	120	0.08
6.25	624.321	120	0.04
3.125	612.733	120	0.02
1.5625	730.92	120	0.01
0.78125	745.389	120	0.005
0.390625	880.938	120	0.0025
0.1953125	932.051	120	0.00125
0.09765625	809.713	120	0.000625
0.048828125	2278.84	120	0.0003125
