conc	time	Fluorescence
100	20	1418.57
50	20	1489.53
25	20	1528.41
12.5	20	1518.5
6.25	20	1529.46
3.125	20	1568.58
1.5625	20	1466.35
0.78125	20	1536.15
0.390625	20	1490.85
0.1953125	20	1542.61
0.09765625	20	1539.91
0.01	20	1614.69
100	40	1117.08
50	40	1252.37
25	40	1346.14
12.5	40	1496.26
6.25	40	1602.45
3.125	40	1634.67
1.5625	40	1507.84
0.78125	40	1958.03
0.390625	40	1657.6
0.1953125	40	2060.43
0.09765625	40	1841.52
0.01	40	1906.95
100	60	946.846
50	60	1028.03
25	60	1127.84
12.5	60	1230.08
6.25	60	1482.9
3.125	60	1604.71
1.5625	60	1705.19
0.78125	60	2392.9
0.390625	60	2364.7
0.1953125	60	2574.18
0.09765625	60	2522.27
0.01	80	2753.98
100	80	884.486
50	80	876.87
25	80	1025.87
12.5	80	1081.77
6.25	80	1306.11
3.125	80	1479.01
1.5625	80	1646.71
0.78125	80	2649.78
0.390625	80	2857.24
0.1953125	80	2998.39
0.09765625	80	3082.33
0.01	100	3563.95
100	100	821.1
50	100	875.28
25	100	906.583
12.5	100	1035.77
6.25	100	1240.63
3.125	100	1260.2
1.5625	100	1226.21
0.78125	100	2869.37
0.390625	100	2724.37
0.1953125	100	3048.31
0.09765625	100	2945.99
0.01	100	3623.35
100	120	836.76
50	120	857.95
25	120	907.94
12.5	120	1050.62
6.25	120	1295.33
3.125	120	1222.05
1.5625	120	1430
0.78125	120	3415.1
0.390625	120	3476.97
0.1953125	120	3522.32
0.09765625	120	3809.15
0.01	120	3818.26
