conc	time	Fluorescence
100	20	834.764
50	20	840.255
25	20	703.451
12.5	20	759.033
6.25	20	674.727
3.125	20	731.409
1.5625	20	667.142
0.78125	20	710.871
0.390625	20	649.255
0.1953125	20	727.579
0.09765625	20	670.398
0.009765625	20	767.257
100	40	1205.05
50	40	847.715
25	40	709.899
12.5	40	764.395
6.25	40	705.208
3.125	40	725.683
1.5625	40	651.521
0.78125	40	726.94
0.390625	40	648.098
0.1953125	40	746.351
0.09765625	40	655.032
0.009765625	40	689.431
100	60	1876.51
50	60	792.784
25	60	676.757
12.5	60	725.695
6.25	60	687.07
3.125	60	701.771
1.5625	60	628.361
0.78125	60	686.227
0.390625	60	606.5
0.1953125	60	685.536
0.09765625	60	607.526
0.009765625	60	648.604
100	80	2263.87
50	80	840.884
25	80	647.193
12.5	80	680.227
6.25	80	634.328
3.125	80	653.632
1.5625	80	559.007
0.78125	80	591.489
0.390625	80	547.047
0.1953125	80	589.629
0.09765625	80	573.813
0.009765625	80	583.58
100	100	2816.54
50	100	756.735
25	100	604.535
12.5	100	658.635
6.25	100	552.766
3.125	100	576.508
1.5625	100	499.259
0.78125	100	550.622
0.390625	100	486.821
0.1953125	100	529.361
0.09765625	100	499.248
0.009765625	100	552.842
100	120	3033.84
50	120	687.192
25	120	581.551
12.5	120	588.242
6.25	120	554.624
3.125	120	546.75
1.5625	120	459.251
0.78125	120	489.062
0.390625	120	438.682
0.1953125	120	500.045
0.09765625	120	454.263
0.009765625	120	508.915
100	140	3223.22
50	140	730.612
25	140	611.657
12.5	140	592.691
6.25	140	523.741
3.125	140	515.953
1.5625	140	436.433
0.78125	140	484.855
0.390625	140	418.75
0.1953125	140	445.189
0.09765625	140	431.967
0.009765625	140	476.609
100	160	1878.25
50	160	1661.85
25	160	1072.97
12.5	160	602.48
6.25	160	516
3.125	160	501.204
1.5625	160	864.865
0.78125	160	1130.31
0.390625	160	400.707
0.1953125	160	432.047
0.09765625	160	419.929
0.009765625	160	458.377
