time	Fluorescence	conc
20	1097.53	50
20	1230.77	25
20	1271.8	12.5
20	1304.01	6.25
20	1280.65	3.125
20	1334.46	1.5625
20	1298.92	0.78125
20	1334.88	0.390625
20	1313.34	0.1953125
20	1357.79	0.09765625
20	1304.51	0.009765625
40	943.86	50
40	1172.64	25
40	1356.71	12.5
40	1597	6.25
40	1640.46	3.125
40	1840.09	1.5625
40	1828.73	0.78125
40	1928.37	0.390625
40	1912.37	0.1953125
40	2018.5	0.09765625
40	1809.11	0.009765625
60	866.864	50
60	1140.18	25
60	1242.41	12.5
60	1582.51	6.25
60	1751.36	3.125
60	2164	1.5625
60	2117.65	0.78125
60	2276.63	0.390625
60	2216.9	0.1953125
60	2301.49	0.09765625
60	2217.52	0.009765625
80	804.405	50
80	1034.36	25
80	1245.07	12.5
80	1560.7	6.25
80	1848.31	3.125
80	2200.64	1.5625
80	2260	0.78125
80	2290.54	0.390625
80	2322.78	0.1953125
80	2492.26	0.09765625
80	2519.38	0.009765625
100	703.759	50
100	963.136	25
100	1143.32	12.5
100	1344.06	6.25
100	1696.78	3.125
100	2072.66	1.5625
100	2309.4	0.78125
100	2375.3	0.390625
100	2680.97	0.1953125
100	2804.36	0.09765625
100	2802.88	0.009765625
120	563.815	50
120	748.354	25
120	846.645	12.5
120	1205.8	6.25
120	1505.73	3.125
120	2065.08	1.5625
120	2321.7	0.78125
120	2619.11	0.390625
120	2866.56	0.1953125
120	3186.59	0.09765625
120	3160.72	0.009765625
140	576.638	50
140	732.747	25
140	848.705	12.5
140	1136.21	6.25
140	1450.63	3.125
140	2497.12	1.5625
140	2716.76	0.78125
140	2962.73	0.390625
140	3163.37	0.1953125
140	3398.48	0.09765625
140	3378.05	0.009765625
160	515.986	50
160	686.878	25
160	772.242	12.5
160	1235.56	6.25
160	2032.51	3.125
160	2681.42	1.5625
160	2298.97	0.78125
160	3136.09	0.390625
160	3226.5	0.1953125
160	3385.9	0.09765625
160	3036.55	0.009765625
