time	Fluorescence	conc
20	951.329	100
20	1028.98	50
20	1029.52	25
20	1017.31	12.5
20	1040.25	6.25
20	1080.9	3.125
20	1094.74	1.5625
20	1095.21	0.78125
20	1063.25	0.390625
20	1159.97	0.1953125
20	1060.69	0.09765625
20	1206.59	0.048828125
40	1049.82	100
40	1300.63	50
40	1686.68	25
40	1756.22	12.5
40	1922.25	6.25
40	2123.28	3.125
40	1828.25	1.5625
40	2035.46	0.78125
40	1914.78	0.390625
40	2155.04	0.1953125
40	1835.15	0.09765625
40	2277.9	0.048828125
60	962.642	100
60	1428.15	50
60	1783.58	25
60	1954.06	12.5
60	2054.67	6.25
60	2235.49	3.125
60	2181.54	1.5625
60	2187.43	0.78125
60	2092.85	0.390625
60	2260.04	0.1953125
60	2107.02	0.09765625
60	2276.95	0.048828125
80	1158.81	100
80	1467.24	50
80	1598.95	25
80	1972.34	12.5
80	2037.78	6.25
80	2175.67	3.125
80	2094.77	1.5625
80	2261.1	0.78125
80	2114.86	0.390625
80	2277.08	0.1953125
80	2225.11	0.09765625
80	2416.82	0.048828125
100	833.753	100
100	1222.49	50
100	1401.71	25
100	1739.74	12.5
100	1937.67	6.25
100	2147.28	3.125
100	2129.66	1.5625
100	2360.07	0.78125
100	2217.75	0.390625
100	2300.48	0.1953125
100	2229.55	0.09765625
100	2403.22	0.048828125
120	703.803	100
120	886.834	50
120	1447.34	25
120	1727.93	12.5
120	1806.75	6.25
120	2284.28	3.125
120	2357.27	1.5625
120	2455.47	0.78125
120	2295.49	0.390625
120	2369.46	0.1953125
120	2282.5	0.09765625
120	2643.31	0.048828125
140	606.353	100
140	806.406	50
140	1283.68	25
140	1520.12	12.5
140	2074.52	6.25
140	2373.88	3.125
140	2513.8	1.5625
140	2499.2	0.78125
140	2550.5	0.390625
140	2590.36	0.1953125
140	2706.15	0.09765625
140	2579.62	0.048828125
160	558.106	100
160	782.401	50
160	953.885	25
160	1141.36	12.5
160	1430.39	6.25
160	2339.77	3.125
160	2746.88	1.5625
160	2794.75	0.78125
160	2925.04	0.390625
160	2683.06	0.1953125
160	2631.81	0.09765625
160	3051.32	0.048828125
