time	Fluorescence	conc
20	602.811	100
20	594.895	50
20	580.922	25
20	589.83	12.5
20	597.358	6.25
20	622.267	3.125
20	623.632	1.5625
20	655.231	0.78125
20	675.492	0.390625
20	694.843	0.1953125
20	701.866	0.09765625
20	735.438	0.01
40	510.411	100
40	530.548	50
40	539.897	25
40	548.123	12.5
40	607.821	6.25
40	625.109	3.125
40	695.103	1.5625
40	797.423	0.78125
40	989.883	0.390625
40	924.71	0.1953125
40	1081.65	0.09765625
40	1300.65	0.01
60	483.066	100
60	550.371	50
60	526.14	25
60	576.37	12.5
60	623.301	6.25
60	679.732	3.125
60	757.62	1.5625
60	905.974	0.78125
60	1056.87	0.390625
60	1240.81	0.1953125
60	1225.08	0.09765625
60	1551.78	0.01
80	460.539	100
80	636.998	50
80	572.129	25
80	597.358	12.5
80	538.745	6.25
80	664.47	3.125
80	695.31	1.5625
80	998.775	0.78125
80	1030.7	0.390625
80	1338.05	0.1953125
80	1344.95	0.09765625
80	1700.94	0.01
100	359.009	100
100	541.376	50
100	516.88	25
100	529.949	12.5
100	519.063	6.25
100	643.569	3.125
100	693.257	1.5625
100	1003.27	0.78125
100	1085.09	0.390625
100	1395.17	0.1953125
100	1514.14	0.09765625
100	1955.07	0.01
120	349.421	100
120	534.741	50
120	504.122	25
120	482.646	12.5
120	536.842	6.25
120	677.713	3.125
120	775.088	1.5625
120	1081.29	0.78125
120	1287.44	0.390625
120	1545.97	0.1953125
120	1690.93	0.09765625
