CFU.per.ml	Fluorescence	hours	antibiotic.conc
4.54E+08	1097.53	20	50
5.64E+08	1230.77	20	25
6.06E+08	1271.8	20	12.5
6.42E+08	1304.01	20	6.25
6.16E+08	1280.65	20	3.125
6.77E+08	1334.46	20	1.5625
6.36E+08	1298.92	20	0.78125
6.78E+08	1334.88	20	0.390625
6.52E+08	1313.34	20	0.1953125
7.06E+08	1357.79	20	0.09765625
6.42E+08	1304.51	20	0.009765625
3.69E+08	943.86	40	50
5.11E+08	1172.64	40	25
7.04E+08	1356.71	40	12.5
1.05E+09	1597	40	6.25
1.12E+09	1640.46	40	3.125
1.44E+09	1840.09	40	1.5625
1.42E+09	1828.73	40	0.78125
1.57E+09	1928.37	40	0.390625
1.55E+09	1912.37	40	0.1953125
1.69E+09	2018.5	40	0.09765625
1.39E+09	1809.11	40	0.009765625
3.39E+08	866.864	60	50
4.85E+08	1140.18	60	25
5.75E+08	1242.41	60	12.5
1.03E+09	1582.51	60	6.25
1.30E+09	1751.36	60	3.125
1.85E+09	2164	60	1.5625
1.80E+09	2117.65	60	0.78125
1.93E+09	2276.63	60	0.390625
1.89E+09	2216.9	60	0.1953125
1.94E+09	2301.49	60	0.09765625
1.89E+09	2217.52	60	0.009765625
3.17E+08	804.405	80	50
4.14E+08	1034.36	80	25
5.78E+08	1245.07	80	12.5
9.92E+08	1560.7	80	6.25
1.45E+09	1848.31	80	3.125
1.88E+09	2200.64	80	1.5625
1.92E+09	2260	80	0.78125
1.93E+09	2290.54	80	0.390625
1.95E+09	2322.78	80	0.1953125
1.96E+09	2492.26	80	0.09765625
1.95E+09	2519.38	80	0.009765625
2.87E+08	703.759	100	50
3.78E+08	963.136	100	25
4.87E+08	1143.32	100	12.5
6.89E+08	1344.06	100	6.25
1.21E+09	1696.78	100	3.125
1.76E+09	2072.66	100	1.5625
1.94E+09	2309.4	100	0.78125
1.96E+09	2375.3	100	0.390625
1.87E+09	2680.97	100	0.1953125
1.76E+09	2804.36	100	0.09765625
1.77E+09	2802.88	100	0.009765625
2.39E+08	563.815	120	50
3.00E+08	748.354	120	25
3.31E+08	846.645	120	12.5
5.40E+08	1205.8	120	6.25
9.09E+08	1505.73	120	3.125
1.75E+09	2065.08	120	1.5625
1.95E+09	2321.7	120	0.78125
1.91E+09	2619.11	120	0.390625
1.70E+09	2866.56	120	0.1953125
1.29E+09	3186.59	120	0.09765625
1.32E+09	3160.72	120	0.009765625
2.44E+08	576.638	140	50
2.96E+08	732.747	140	25
3.32E+08	848.705	140	12.5
4.82E+08	1136.21	140	6.25
8.29E+08	1450.63	140	3.125
1.96E+09	2497.12	140	1.5625
1.84E+09	2716.76	140	0.78125
1.59E+09	2962.73	140	0.390625
1.32E+09	3163.37	140	0.1953125
1.01E+09	3398.48	140	0.09765625
1.03E+09	3378.05	140	0.009765625
2.17E+08	515.986	160	50
2.82E+08	686.878	160	25
3.07E+08	772.242	160	12.5
5.69E+08	1235.56	160	6.25
1.71E+09	2032.51	160	3.125
1.87E+09	2681.42	160	1.5625
1.94E+09	2298.97	160	0.78125
1.36E+09	3136.09	160	0.390625
1.24E+09	3226.5	160	0.1953125
1.02E+09	3385.9	160	0.09765625
1.49E+09	3036.55	160	0.009765625
