CFU.per.ml	Fluorescence	hours	antibiotic.conc
254099978.7	602.811	20	100
251156711.8	594.895	20	50
245760470.8	580.922	20	25
249230881.1	589.83	20	12.5
252080983.6	597.358	20	6.25
261023766.8	622.267	20	3.125
261494591	623.632	20	1.5625
271949472.9	655.231	20	0.78125
278303527.9	675.492	20	0.390625
284206997.9	694.843	20	0.1953125
286322702	701.866	20	0.09765625
296352745.1	735.438	20	0.009765625
214690617.9	510.411	40	100
224190630.6	530.548	40	50
228436397	539.897	40	25
232082788.3	548.123	40	12.5
255923164.8	607.821	40	6.25
262002021.8	625.109	40	3.125
284285528.4	695.103	40	1.5625
315253730	797.423	40	0.78125
390736072.1	989.883	40	0.390625
361009207.5	924.71	40	0.1953125
443085099.5	1081.65	40	0.09765625
637772874.3	1300.65	40	0.009765625
201061355.7	483.066	60	100
233064494	550.371	60	50
222151975.3	526.14	60	25
243946262.7	576.37	60	12.5
261380586.7	623.301	60	6.25
279608410.7	679.732	60	3.125
303003067.9	757.62	60	1.5625
353387469.1	905.974	60	0.78125
427555644.5	1056.87	60	0.390625
573880564.4	1240.81	60	0.1953125
558382344.3	1225.08	60	0.09765625
978404529	1551.78	60	0.009765625
189264016.6	460.539	80	100
266014289.3	636.998	80	50
242231336.9	572.129	80	25
252080983.6	597.358	80	12.5
227919020	538.745	80	6.25
274873739.7	664.47	80	3.125
284348038.6	695.31	80	1.5625
395226909.6	998.775	80	0.78125
412322233.9	1030.7	80	0.390625
681507788.5	1338.05	80	0.1953125
689881900.8	1344.95	80	0.09765625
1215669978	1700.94	80	0.009765625
131783308.4	359.009	100	100
229098224.9	541.376	100	50
217794153.3	516.88	100	25
223914971.4	529.949	100	12.5
218830557.8	519.063	100	6.25
268181158.9	643.569	100	3.125
283727585.3	693.257	100	1.5625
397540592.6	1003.27	100	0.78125
445330769.3	1085.09	100	0.390625
753557017.3	1395.17	100	0.1953125
921300727.6	1514.14	100	0.09765625
1607557851	1955.07	100	0.009765625
126188518.9	349.421	120	100
226108064.3	534.741	120	50
211627927.8	504.122	120	25
200845887.3	482.646	120	12.5
227060774.1	536.842	120	6.25
278987964.9	677.713	120	3.125
308312667.1	775.088	120	1.5625
442851385.3	1081.29	120	0.78125
623011095.4	1287.44	120	0.390625
969487832.3	1545.97	120	0.1953125
1199468018	1690.93	120	0.09765625
1772918959	2088.01	120	0.009765625
105212725.3	313.182	140	100
169346881.9	424.235	140	50
200549071.9	482.068	140	25
231054138.3	545.783	140	12.5
254526223.9	603.975	140	6.25
294226737.8	728.311	140	3.125
354691128.9	909.244	140	1.5625
526707279.2	1190.98	140	0.78125
947059144.4	1531.25	140	0.390625
1371070360	1797.54	140	0.1953125
1434080868	1837.65	140	0.09765625
1890110563	2218.06	140	0.009765625
132821491.1	360.788	160	100
161204756.1	409.845	160	50
184211944.8	451.151	160	25
217671298.8	516.622	160	12.5
255164374.4	605.726	160	6.25
303129500.2	758.039	160	3.125
385581766.2	979.394	160	1.5625
805648237.2	1433.83	160	0.78125
1137085737	1652.29	160	0.390625
1448263160	1846.81	160	0.1953125
1676161049	2006.46	160	0.09765625
1951802670	2530.2	160	0.009765625
