response	minus	raw	dose	xMIC	sample	MIC	experiment
6.830603218	228.386	228.386	0.05	12.5	CIP	0.004	1
6.867928591	229.634	229.634	0.025	6.25	CIP	0.004	1
6.936029454	231.911	231.911	0.0125	3.125	CIP	0.004	1
6.905074516	230.876	230.876	0.00625	1.5625	CIP	0.004	1
6.996683186	233.939	233.939	0.003125	0.78125	CIP	0.004	1
7.731287217	258.501	258.501	0.0015625	0.390625	CIP	0.004	1
95.29754125	3186.34	3186.34	0.00078125	0.1953125	CIP	0.004	1
97.33548273	3254.48	3254.48	0.000390625	0.09765625	CIP	0.004	1
100	3343.57	3343.57	1.95E-05	0.048828125	CIP	0.004	1
5.65458477	189.065	235.793	0.04	10	CIP	0.004	2
4.759413022	186.005	235.227	0.02	5	CIP	0.004	2
5.02171104	196.256	199.338	0.01	2.5	CIP	0.004	2
4.866573699	190.193	193.175	0.005	1.25	CIP	0.004	2
5.005769993	195.633	1264.03	0.0025	0.625	CIP	0.004	2
36.01473843	1407.51	3865.42	0.00125	0.3125	CIP	0.004	2
88.83333547	3471.74	3628.84	0.000625	0.15625	CIP	0.004	2
97.61805458	3815.06	3699.51	0.0003125	0.078125	CIP	0.004	2
88.5777158	3461.75	3589.52	0.00015625	0.0390625	CIP	0.004	2
91.18278469	3563.56	3449.75	0.000078125	0.01953125	CIP	0.004	2
91.11958343	3561.09	3490.15	3.91E-05	0.009765625	CIP	0.004	2
100	3908.15	3865.4	1.95E-05	0.004882813	CIP	0.004	2
4.115628467	155.793	235.793	0.04	10	CIP	0.004	3
4.100676283	155.227	235.227	0.02	5	CIP	0.004	3
3.152586252	119.338	199.338	0.01	2.5	CIP	0.004	3
2.98977651	113.175	193.175	0.005	1.25	CIP	0.004	3
31.27886089	1184.03	1264.03	0.0025	0.625	CIP	0.004	3
100.0005283	3785.42	3865.42	0.00125	0.3125	CIP	0.004	3
93.75072648	3548.84	3628.84	0.000625	0.15625	CIP	0.004	3
95.61763618	3619.51	3699.51	0.0003125	0.078125	CIP	0.004	3
92.71199873	3509.52	3589.52	0.00015625	0.0390625	CIP	0.004	3
89.01965446	3369.75	3449.75	0.000078125	0.01953125	CIP	0.004	3
90.08691288	3410.15	3490.15	3.91E-05	0.009765625	CIP	0.004	3
100	3785.4	3865.4	1.95E-05	0.004882813	CIP	0.004	3
