response	minus	raw	dose	xMIC	sample	MIC	experiment
1.180255741	31.493	231.493	6.4	100	AZ	0.064	1
0.974920549	26.014	226.014	3.2	50	AZ	0.064	1
1.19996852	32.019	232.019	1.6	25	AZ	0.064	1
0.980841878	26.172	226.172	0.8	12.5	AZ	0.064	1
0.979642622	26.14	226.14	0.4	6.25	AZ	0.064	1
0.920616718	24.565	224.565	0.2	3.125	AZ	0.064	1
0.902852731	24.091	224.091	0.1	1.5625	AZ	0.064	1
1.176470588	31.392	231.392	0.05	0.78125	AZ	0.064	1
3.467162859	92.515	292.515	0.025	0.390625	AZ	0.064	1
116.7318762	3114.78	3314.78	0.0125	0.1953125	AZ	0.064	1
100.053217	2669.74	2869.74	0.00625	0.09765625	AZ	0.064	1
100	2668.32	2868.32	0.003125	0.048828125	AZ	0.064	1
0.227418771	8.7274	96.7274	0.64	10	AZ	0.064	2
1.042581412	40.01	128.01	0.32	5	AZ	0.064	2
1.401217952	53.773	141.773	0.16	2.5	AZ	0.064	2
1.639961538	62.935	150.935	0.08	1.25	AZ	0.064	2
2.540865491	97.508	185.508	0.04	0.625	AZ	0.064	2
4.500975873	172.729	260.729	0.02	0.3125	AZ	0.064	2
103.8242751	3984.35	4072.35	0.01	0.15625	AZ	0.064	2
97.79444912	3752.95	3840.95	0.005	0.078125	AZ	0.064	2
93.42608252	3585.31	3673.31	0.0025	0.0390625	AZ	0.064	2
95.66863578	3671.37	3759.37	0.00125	0.01953125	AZ	0.064	2
97.47914707	3740.85	3828.85	0.000625	0.009765625	AZ	0.064	2
100	3837.59	3925.59	0.0003125	0.004882813	AZ	0.064	2
0.698149491	21.565	101.565	0.64	10	AZ	0.064	3
0.711843775	21.988	101.988	0.32	5	AZ	0.064	3
1.11807516	34.536	114.536	0.16	2.5	AZ	0.064	3
6.465191267	199.702	279.702	0.08	1.25	AZ	0.064	3
25.72738339	794.688	874.688	0.04	0.625	AZ	0.064	3
14.79037709	456.857	536.857	0.02	0.3125	AZ	0.064	3
96.58355132	2983.35	3063.35	0.01	0.15625	AZ	0.064	3
93.92886742	2901.35	2981.35	0.005	0.078125	AZ	0.064	3
92.77051876	2865.57	2945.57	0.0025	0.0390625	AZ	0.064	3
101.5746808	3137.52	3217.52	0.00125	0.01953125	AZ	0.064	3
101.5707959	3137.4	3217.4	0.000625	0.009765625	AZ	0.064	3
100	3088.88	3168.88	0.0003125	0.004882813	AZ	0.064	3
