response	minus	raw	dose	xMIC	sample	MIC	experiment
0.549968367	11.3877	91.3877	200	100	CX	2	2
0.746567437	15.4585	95.4585	100	50	CX	2	2
1.011972317	20.954	100.954	50	25	CX	2	2
10.01265328	207.323	287.323	25	12.5	CX	2	2
161.521484	3344.48	3424.48	12.5	6.25	CX	2	2
99.68994644	2064.19	2144.19	6.25	3.125	CX	2	2
114.7314077	2375.64	2455.64	3.125	1.5625	CX	2	2
119.8303881	2481.22	2561.22	1.5625	0.78125	CX	2	2
94.12347086	1948.93	2028.93	0.78125	0.390625	CX	2	2
94.27608289	1952.09	2032.09	0.390625	0.1953125	CX	2	2
98.57336727	2041.07	2121.07	0.1953125	0.09765625	CX	2	2
100	2070.61	2150.61	0.09765625	0.048828125	CX	2	2
0.280588999	7.4087	87.4087	200	100	CX	2	3
0.263561341	6.9591	86.9591	100	50	CX	2	3
0.29089043	7.6807	87.6807	50	25	CX	2	3
0.36666654	9.6815	89.6815	25	12.5	CX	2	3
136.0758367	3592.96	3672.96	12.5	6.25	CX	2	3
115.4351029	3047.96	3127.96	6.25	3.125	CX	2	3
107.2647808	2832.23	2912.23	3.125	1.5625	CX	2	3
109.4477752	2889.87	2969.87	1.5625	0.78125	CX	2	3
114.266345	3017.1	3097.1	0.78125	0.390625	CX	2	3
120.1517946	3172.5	3252.5	0.390625	0.1953125	CX	2	3
114.4291985	3021.4	3101.4	0.1953125	0.09765625	CX	2	3
100	2640.41	2720.41	0.09765625	0.048828125	CX	2	3
