response	minus	raw	dose	xMIC	sample	MIC	experiment
0.00847541	0.1636	92.1636	15	10	CT	1.5	2
0.008827689	0.1704	92.1704	7.5	5	CT	1.5	2
0.232659341	4.491	96.491	3.75	2.5	CT	1.5	2
0.176615949	3.4092	95.4092	1.875	1.25	CT	1.5	2
3.482792741	67.228	159.228	0.9375	0.625	CT	1.5	2
96.21455843	1857.22	1949.22	0.46875	0.3125	CT	1.5	2
59.85732714	1155.42	1247.42	0.234375	0.15625	CT	1.5	2
92.39492511	1783.49	1875.49	0.1171875	0.078125	CT	1.5	2
83.43564957	1610.55	1702.55	0.05859375	0.0390625	CT	1.5	2
103.5181242	1998.2	2090.2	0.029296875	0.01953125	CT	1.5	2
101.7297919	1963.68	2055.68	0.014648438	0.009765625	CT	1.5	2
100	1930.29	2010.29	0.007324219	0.004882813	CT	1.5	2
0.249606473	7.5638	87.5638	15	10	CT	1.5	3
0.273736177	8.295	88.295	7.5	5	CT	1.5	3
0.225011468	6.8185	86.8185	3.75	2.5	CT	1.5	3
0.275386184	8.345	88.345	1.875	1.25	CT	1.5	3
0.270591264	8.1997	88.1997	0.9375	0.625	CT	1.5	3
116.3179102	3524.77	3604.77	0.46875	0.3125	CT	1.5	3
63.92259487	1937.04	2017.04	0.234375	0.15625	CT	1.5	3
74.9297922	2270.59	2350.59	0.1171875	0.078125	CT	1.5	3
93.76033317	2841.21	2921.21	0.05859375	0.0390625	CT	1.5	3
97.46294909	2953.41	3033.41	0.029296875	0.01953125	CT	1.5	3
98.75061463	2992.43	3072.43	0.014648438	0.009765625	CT	1.5	3
100	3030.29	3110.29	0.007324219	0.004882813	CT	1.5	3
