response	minus	raw	dose	xMIC	sample	MIC	experiment
-0.496503497	-9.1448	70.8552	320	10	CIP	32	2
-0.143117752	-2.636	77.364	160	5	CIP	32	2
-0.004229466	-0.0779	79.9221	80	2.5	CIP	32	2
0.346555618	6.383	86.383	40	1.25	CIP	32	2
0.54584003	10.0535	90.0535	20	0.625	CIP	32	2
0.380939712	7.0163	87.0163	10	0.3125	CIP	32	2
1.956195978	36.03	116.03	5	0.15625	CIP	32	2
191.6512835	3529.91	3609.91	2.5	0.078125	CIP	32	2
110.3125136	2031.78	2111.78	1.25	0.0390625	CIP	32	2
108.6283282	2000.76	2080.76	0.625	0.01953125	CIP	32	2
101.0630674	1861.42	1941.42	0.3125	0.009765625	CIP	32	2
100	1841.84	1921.84	0.15625	0.004882813	CIP	32	2
1.991394137	61.83	141.83	320	10	CIP	32	3
0.222283774	6.9016	86.9016	160	5	CIP	32	3
0.21192904	6.5801	86.5801	80	2.5	CIP	32	3
0.241315228	7.4925	87.4925	40	1.25	CIP	32	3
0.217581469	6.7556	86.7556	20	0.625	CIP	32	3
0.214708554	6.6664	86.6664	10	0.3125	CIP	32	3
0.282473284	8.7704	88.7704	5	0.15625	CIP	32	3
1.302313148	40.435	120.435	2.5	0.078125	CIP	32	3
100.4621786	3119.21	3199.21	1.25	0.0390625	CIP	32	3
94.44709262	2932.45	3012.45	0.625	0.01953125	CIP	32	3
99.53556682	3090.44	3170.44	0.3125	0.009765625	CIP	32	3
100	3104.86	3184.86	0.15625	0.004882813	CIP	32	3

