response	minus	raw	dose	xMIC	sample	MIC	experiment
0.871365995	27.392	227.392	0.4	100	Cip	0.004	1
0.827212373	26.004	226.004	0.2	50	Cip	0.004	1
0.927639594	29.161	229.161	0.1	25	Cip	0.004	1
0.902986095	28.386	228.386	0.05	12.5	Cip	0.004	1
0.942686182	29.634	229.634	0.025	6.25	Cip	0.004	1
1.015119752	31.911	231.911	0.0125	3.125	Cip	0.004	1
0.982195402	30.876	230.876	0.00625	1.5625	Cip	0.004	1
1.079632392	33.939	233.939	0.003125	0.78125	Cip	0.004	1
1.860973352	58.501	258.501	0.0015625	0.390625	Cip	0.004	1
94.99836174	2986.34	3186.34	0.00078125	0.1953125	Cip	0.004	1
97.16596099	3054.48	3254.48	0.000390625	0.09765625	Cip	0.004	1
100	3143.57	3343.57	0.000195313	0.048828125	Cip	0.004	1
4.837710937	189.065	235.793	0.04	10	CIP	0.004	2
4.759413022	186.005	235.227	0.02	5	CIP	0.004	2
5.02171104	196.256	199.338	0.01	2.5	CIP	0.004	2
4.866573699	190.193	193.175	0.005	1.25	CIP	0.004	2
5.005769993	195.633	1264.03	0.0025	0.625	CIP	0.004	2
36.01473843	1407.51	3865.42	0.00125	0.3125	CIP	0.004	2
88.83333547	3471.74	3628.84	0.000625	0.15625	CIP	0.004	2
97.61805458	3815.06	3699.51	0.0003125	0.078125	CIP	0.004	2
88.5777158	3461.75	3589.52	0.00015625	0.0390625	CIP	0.004	2
91.18278469	3563.56	3449.75	0.000078125	0.01953125	CIP	0.004	2
91.11958343	3561.09	3490.15	3.90625E-05	0.009765625	CIP	0.004	2
100	3908.15	3865.4	1.95313E-05	0.004882813	CIP	0.004	2
4.115628467	155.793	235.793	0.04	10	CIP	0.004	3
4.100676283	155.227	235.227	0.02	5	CIP	0.004	3
3.152586252	119.338	199.338	0.01	2.5	CIP	0.004	3
2.98977651	113.175	193.175	0.005	1.25	CIP	0.004	3
31.27886089	1184.03	1264.03	0.0025	0.625	CIP	0.004	3
100.0005283	3785.42	3865.42	0.00125	0.3125	CIP	0.004	3
93.75072648	3548.84	3628.84	0.000625	0.15625	CIP	0.004	3
95.61763618	3619.51	3699.51	0.0003125	0.078125	CIP	0.004	3
92.71199873	3509.52	3589.52	0.00015625	0.0390625	CIP	0.004	3
89.01965446	3369.75	3449.75	0.000078125	0.01953125	CIP	0.004	3
90.08691288	3410.15	3490.15	3.90625E-05	0.009765625	CIP	0.004	3
100	3785.4	3865.4	1.95313E-05	0.004882813	CIP	0.004	3
