response	minus	raw	dose	xMIC	sample	MIC	experiment
0.897475374	27.689	227.689	120	10	Gen	12	1
0.828468727	25.56	225.56	60	5	Gen	12	1
0.819944185	25.297	225.297	30	2.5	Gen	12	1
0.948395733	29.26	229.26	15	1.25	Gen	12	1
68.53958077	2114.59	2314.59	7.5	0.625	Gen	12	1
93.03580631	2870.35	3070.35	3.75	0.3125	Gen	12	1
94.54818311	2917.01	3117.01	1.875	0.15625	Gen	12	1
97.37586745	3004.25	3204.25	0.9375	0.078125	Gen	12	1
98.7404423	3046.35	3246.35	0.46875	0.0390625	Gen	12	1
99.44768752	3068.17	3268.17	0.234375	0.01953125	Gen	12	1
92.85040564	2864.63	3064.63	0.1171875	0.009765625	Gen	12	1
100	3085.21	3285.21	0.05859375	0.004882813	Gen	12	1
4.681034085	182.844	235.793	120	10	GEN	12	2
5.253196315	205.193	235.227	60	5	GEN	12	2
5.311490351	207.47	199.338	30	2.5	GEN	12	2
5.285889106	206.47	193.175	15	1.25	GEN	12	2
20.47684879	799.838	1264.03	7.5	0.625	GEN	12	2
100.8543136	3939.43	3865.42	3.75	0.3125	GEN	12	2
88.27334962	3448.01	3628.84	1.875	0.15625	GEN	12	2
96.23431284	3758.97	3699.51	0.9375	0.078125	GEN	12	2
93.66036364	3658.43	3589.52	0.46875	0.0390625	GEN	12	2
87.24494759	3407.84	3449.75	0.234375	0.01953125	GEN	12	2
97.06609729	3791.46	3490.15	0.1171875	0.009765625	GEN	12	2
100	3906.06	3865.4	0.05859375	0.004882813	GEN	12	2
1.015082206	31.821	111.821	120	10	GEN	12	3
1.960303941	61.452	141.452	60	5	GEN	12	3
2.135274115	66.937	146.937	30	2.5	GEN	12	3
15.48028276	485.279	565.279	15	1.25	GEN	12	3
25.63164711	803.506	883.506	7.5	0.625	GEN	12	3
92.64551075	2904.27	2984.27	3.75	0.3125	GEN	12	3
81.98110258	2569.96	2649.96	1.875	0.15625	GEN	12	3
72.2433824	2264.7	2344.7	0.9375	0.078125	GEN	12	3
85.27475262	2673.21	2753.21	0.46875	0.0390625	GEN	12	3
102.5465577	3214.65	3294.65	0.234375	0.01953125	GEN	12	3
90.63104102	2841.12	2921.12	0.1171875	0.009765625	GEN	12	3
100	3134.82	3214.82	0.05859375	0.004882813	GEN	12	3

