response	minus	raw	dose	xMIC	sample	MIC	experiment
0.26633472	5.5522	85.5522	2.5	10	AZ	0.25	2
0.25757554	5.3696	85.3696	1.25	5	AZ	0.25	2
0.34527767	7.1979	87.1979	0.625	2.5	AZ	0.25	2
0.343944125	7.1701	87.1701	0.3125	1.25	AZ	0.25	2
4.065007891	84.742	164.742	0.15625	0.625	AZ	0.25	2
164.5886399	3431.13	3511.13	0.078125	0.3125	AZ	0.25	2
112.853833	2352.63	2432.63	0.0390625	0.15625	AZ	0.25	2
110.4232325	2301.96	2381.96	0.01953125	0.078125	AZ	0.25	2
99.99472339	2084.56	2164.56	0.009765625	0.0390625	AZ	0.25	2
95.60026287	1992.95	2072.95	0.004882813	0.01953125	AZ	0.25	2
92.20548096	1922.18	2002.18	0.002441406	0.009765625	AZ	0.25	2
100	2084.67	2164.67	0.001220703	0.004882813	AZ	0.25	2
0.353633592	8.9557	88.9557	2.5	10	AZ	0.25	3
0.359856741	9.1133	89.1133	1.25	5	AZ	0.25	3
0.347497315	8.8003	88.8003	0.625	2.5	AZ	0.25	3
0.360606994	9.1323	89.1323	0.3125	1.25	AZ	0.25	3
0.389708902	9.8693	89.8693	0.15625	0.625	AZ	0.25	3
0.525800796	13.3158	93.3158	0.078125	0.3125	AZ	0.25	3
152.0667488	3851.06	3931.06	0.0390625	0.15625	AZ	0.25	3
105.0124779	2659.42	2739.42	0.01953125	0.078125	AZ	0.25	3
114.9829416	2911.92	2991.92	0.009765625	0.0390625	AZ	0.25	3
107.6956185	2727.37	2807.37	0.004882813	0.01953125	AZ	0.25	3
123.9729435	3139.59	3219.59	0.002441406	0.009765625	AZ	0.25	3
100	2532.48	2612.48	0.001220703	0.004882813	AZ	0.25	3
