response	minus	raw	dose	xMIC	sample	MIC	experiment
8.815714753	263.909	475.909	0.0625	100	CX	0.000625	1
7.383535652	221.035	433.035	0.03125	50	CX	0.000625	1
10.34099184	309.57	521.57	0.015625	25	CX	0.000625	1
10.84499703	324.658	536.658	0.0078125	12.5	CX	0.000625	1
14.91284799	446.434	658.434	0.00390625	6.25	CX	0.000625	1
48.87894923	1463.25	1675.25	0.001953125	3.125	CX	0.000625	1
81.59218605	2442.56	2654.56	0.000976563	1.5625	CX	0.000625	1
97.43454413	2916.82	3128.82	0.000488281	0.78125	CX	0.000625	1
99.38268718	2975.14	3187.14	0.000244141	0.390625	CX	0.000625	1
100.4760123	3007.87	3219.87	0.00012207	0.1953125	CX	0.000625	1
95.00504406	2844.09	3056.09	6.10352E-05	0.09765625	CX	0.000625	1
100	2993.62	3205.62	3.05176E-05	0.048828125	CX	0.000625	1
8.483579736	316.295	404.295	0.0625	100	CX	0.000625	2
3.831859926	142.864	230.864	0.03125	50	CX	0.000625	2
6.478708909	241.547	329.547	0.015625	25	CX	0.000625	2
3.593173333	133.965	221.965	0.0078125	12.5	CX	0.000625	2
104.314812	3889.19	3977.19	0.00390625	6.25	CX	0.000625	2
100.3017445	3739.57	3827.57	0.001953125	3.125	CX	0.000625	2
97.27813063	3626.84	3714.84	0.000976563	1.5625	CX	0.000625	2
95.65407476	3566.29	3654.29	0.000488281	0.78125	CX	0.000625	2
96.31710797	3591.01	3679.01	0.000244141	0.390625	CX	0.000625	2
92.83806111	3461.3	3549.3	0.00012207	0.1953125	CX	0.000625	2
96.40535147	3594.3	3682.3	6.10352E-05	0.09765625	CX	0.000625	2
100	3728.32	3816.32	3.05176E-05	0.048828125	CX	0.000625	2
13.29726237	421.849	501.849	0.0625	100	CX	0.000625	3
11.29266025	358.254	438.254	0.03125	50	CX	0.000625	3
12.48999984	396.239	476.239	0.015625	25	CX	0.000625	3
11.46356917	363.676	443.676	0.0078125	12.5	CX	0.000625	3
43.60037195	1383.2	1463.2	0.00390625	6.25	CX	0.000625	3
93.16143674	2955.5	3035.5	0.001953125	3.125	CX	0.000625	3
91.42965216	2900.56	2980.56	0.000976563	1.5625	CX	0.000625	3
86.31499314	2738.3	2818.3	0.000488281	0.78125	CX	0.000625	3
82.83188072	2627.8	2707.8	0.000244141	0.390625	CX	0.000625	3
96.33532443	3056.19	3136.19	0.00012207	0.1953125	CX	0.000625	3
97.93598008	3106.97	3186.97	6.10352E-05	0.09765625	CX	0.000625	3
100	3172.45	3252.45	3.05176E-05	0.048828125	CX	0.000625	3
