response	minus	raw	xMIC	dose	sample	MIC	experiment
0.509799763	15.864	227.864	0.02	100	CT	0.0002	1
0.413039357	12.853	224.853	0.01	50	CT	0.0002	1
0.417763295	13	225	0.005	25	CT	0.0002	1
0.444628689	13.836	225.836	0.0025	12.5	CT	0.0002	1
0.514234481	16.002	228.002	0.00125	6.25	CT	0.0002	1
0.383088942	11.921	223.921	0.000625	3.125	CT	0.0002	1
0.396264553	12.331	224.331	0.0003125	1.5625	CT	0.0002	1
2.494946671	77.638	289.638	0.00015625	0.78125	CT	0.0002	1
39.18491168	1219.36	1431.36	0.000078125	0.390625	CT	0.0002	1
86.25301673	2684.03	2896.03	3.90625E-05	0.1953125	CT	0.0002	1
74.08614279	2305.42	2517.42	1.95313E-05	0.09765625	CT	0.0002	1
100	3111.81	3323.81	9.76563E-06	0.048828125	CT	0.0002	1
3.912558903	147.793	235.793	0.002	10	CT	0.0002	2
3.897575052	147.227	235.227	0.001	5	CT	0.0002	2
2.947477101	111.338	199.338	0.0005	2.5	CT	0.0002	2
2.78432255	105.175	193.175	0.00025	1.25	CT	0.0002	2
31.13331921	1176.03	1264.03	0.000125	0.625	CT	0.0002	2
100.0005295	3777.42	3865.42	0.0000625	0.3125	CT	0.0002	2
93.7374914	3540.84	3628.84	0.00003125	0.15625	CT	0.0002	2
95.60835495	3611.51	3699.51	0.000015625	0.078125	CT	0.0002	2
92.69656377	3501.52	3589.52	7.8125E-06	0.0390625	CT	0.0002	2
88.99639964	3361.75	3449.75	3.90625E-06	0.01953125	CT	0.0002	2
90.06591836	3402.15	3490.15	1.95313E-06	0.009765625	CT	0.0002	2
100	3777.4	3865.4	9.76563E-07	0.004882813	CT	0.0002	2
1.635744895	46.913	458.913	0.002	10	CT	0.0002	3
1.756282274	50.37	462.37	0.001	5	CT	0.0002	3
2.106074289	60.402	472.402	0.0005	2.5	CT	0.0002	3
3.121907678	89.536	501.536	0.00025	1.25	CT	0.0002	3
52.52075495	1506.29	1918.29	0.000125	0.625	CT	0.0002	3
86.96020558	2494.01	2906.01	0.0000625	0.3125	CT	0.0002	3
82.79491909	2374.55	2786.55	0.00003125	0.15625	CT	0.0002	3
83.14254931	2384.52	2796.52	0.000015625	0.078125	CT	0.0002	3
81.79073149	2345.75	2757.75	7.8125E-06	0.0390625	CT	0.0002	3
92.59237306	2655.54	3067.54	3.90625E-06	0.01953125	CT	0.0002	3
99.05996883	2841.03	3053.03	1.95313E-06	0.009765625	CT	0.0002	3
100	2867.99	2947.99	9.76563E-07	0.004882813	CT	0.0002	3


