response	minus	raw	dose	xMIC	sample	MIC	experiment
0.942638909	12.6373	92.6373	80	10	GEN	8	1
0.891260079	11.9485	91.9485	40	5	GEN	8	1
0.88379344	11.8484	91.8484	20	2.5	GEN	8	1
0.856209394	11.4786	91.4786	10	1.25	GEN	8	1
0.895989199	12.0119	92.0119	5	0.625	GEN	8	1
0.964367499	12.9286	92.9286	2.5	0.3125	GEN	8	1
280.81499	3764.69	3844.69	1.25	0.15625	GEN	8	1
136.2568345	1826.7	1906.7	0.625	0.078125	GEN	8	1
116.0625974	1555.97	1635.97	0.3125	0.0390625	GEN	8	1
108.6354923	1456.4	1536.4	0.15625	0.01953125	GEN	8	1
112.1010271	1502.86	1582.86	0.078125	0.009765625	GEN	8	1
100	1340.63	1420.63	0.0390625	0.004882813	GEN	8	1
0.242597661	4.9725	84.9725	80	10	GEN	8	2
0.19761037	4.0504	84.0504	40	5	GEN	8	2
0.227883241	4.6709	84.6709	20	2.5	GEN	8	2
0.197044431	4.0388	84.0388	10	1.25	GEN	8	2
0.411954979	8.4438	88.4438	5	0.625	GEN	8	2
178.9094936	3667.09	3747.09	2.5	0.3125	GEN	8	2
127.7744439	2618.98	2698.98	1.25	0.15625	GEN	8	2
106.0052984	2172.78	2252.78	0.625	0.078125	GEN	8	2
93.67465324	1920.04	2000.04	0.3125	0.0390625	GEN	8	2
106.1711771	2176.18	2256.18	0.15625	0.01953125	GEN	8	2
91.81095678	1881.84	1961.84	0.078125	0.009765625	GEN	8	2
100	2049.69	2129.69	0.0390625	0.004882813	GEN	8	2
0.35270222	9.6809	89.6809	80	10	GEN	8	3
0.321180568	8.8157	88.8157	40	5	GEN	8	3
0.366983875	10.0729	90.0729	20	2.5	GEN	8	3
0.348789338	9.5735	89.5735	10	1.25	GEN	8	3
0.300592397	8.2506	88.2506	5	0.625	GEN	8	3
0.345040404	9.4706	89.4706	2.5	0.3125	GEN	8	3
139.6505367	3833.1	3913.1	1.25	0.15625	GEN	8	3
135.6319997	3722.8	3802.8	0.625	0.078125	GEN	8	3
126.402116	3469.46	3549.46	0.3125	0.0390625	GEN	8	3
103.4337907	2839.03	2919.03	0.15625	0.01953125	GEN	8	3
124.8045381	3425.61	3505.61	0.078125	0.009765625	GEN	8	3
100	2744.78	2824.78	0.0390625	0.004882813	GEN	8	3


