response	minus	raw	dose	xMIC	sample	MIC	experiment
1.07977316	14.2421	94.2421	3.8	10	PEN	0.38	1
1.104648254	14.5702	94.5702	1.9	5	PEN	0.38	1
1.167893616	15.4044	95.4044	0.95	2.5	PEN	0.38	1
24.43126938	322.246	402.246	0.475	1.25	PEN	0.38	1
89.47452217	1180.16	1260.16	0.2375	0.625	PEN	0.38	1
83.46082988	1100.84	1180.84	0.11875	0.3125	PEN	0.38	1
98.10006141	1293.93	1373.93	0.059375	0.15625	PEN	0.38	1
112.982661	1490.23	1570.23	0.0296875	0.078125	PEN	0.38	1
112.8651468	1488.68	1568.68	0.01484375	0.0390625	PEN	0.38	1
103.4230737	1364.14	1444.14	0.007421875	0.01953125	PEN	0.38	1
121.2200244	1598.88	1678.88	0.003710938	0.009765625	PEN	0.38	1
100	1318.99	1398.99	0.001855469	0.004882813	PEN	0.38	1
0.496114741	10.1834	90.1834	3.8	10	PEN	0.38	2
0.713864652	14.653	94.653	1.9	5	PEN	0.38	2
1.12782138	23.15	103.15	0.95	2.5	PEN	0.38	2
66.12833292	1357.37	1437.37	0.475	1.25	PEN	0.38	2
167.3531031	3435.14	3515.14	0.2375	0.625	PEN	0.38	2
86.44373316	1774.37	1854.37	0.11875	0.3125	PEN	0.38	2
81.02483156	1663.14	1743.14	0.059375	0.15625	PEN	0.38	2
102.6751046	2107.54	2187.54	0.0296875	0.078125	PEN	0.38	2
100.8608468	2070.3	2150.3	0.01484375	0.0390625	PEN	0.38	2
95.26899636	1955.52	2035.52	0.007421875	0.01953125	PEN	0.38	2
103.6796695	2128.16	2208.16	0.003710938	0.009765625	PEN	0.38	2
100	2052.63	2132.63	0.001855469	0.004882813	PEN	0.38	2
0.367484364	10.5762	90.5762	3.8	10	PEN	0.38	3
0.253269632	7.2891	87.2891	1.9	5	PEN	0.38	3
0.309089646	8.8956	88.8956	0.95	2.5	PEN	0.38	3
0.544357192	15.6666	95.6666	0.475	1.25	PEN	0.38	3
110.804378	3188.95	3268.95	0.2375	0.625	PEN	0.38	3
74.67859625	2149.25	2229.25	0.11875	0.3125	PEN	0.38	3
87.06497568	2505.73	2585.73	0.059375	0.15625	PEN	0.38	3
102.6327311	2953.77	3033.77	0.0296875	0.078125	PEN	0.38	3
105.4895761	3035.99	3115.99	0.01484375	0.0390625	PEN	0.38	3
98.72932592	2841.43	2921.43	0.007421875	0.01953125	PEN	0.38	3
106.4583044	3063.87	3143.87	0.003710938	0.009765625	PEN	0.38	3
100	2878	2958	0.001855469	0.004882813	PEN	0.38	3


