response	minus	raw	dose	xMIC	sample	MIC	experiment
0.978501	12.8713	92.8713	120	10	SP	12	1
1.174569146	15.4504	95.4504	60	5	SP	12	1
1.115766187	14.6769	94.6769	30	2.5	SP	12	1
1.100903901	14.4814	94.4814	15	1.25	SP	12	1
1.942512221	25.552	105.552	7.5	0.625	SP	12	1
125.2924944	1648.11	1728.11	3.75	0.3125	SP	12	1
109.7444903	1443.59	1523.59	1.875	0.15625	SP	12	1
105.8514075	1392.38	1472.38	0.9375	0.078125	SP	12	1
108.0210733	1420.92	1500.92	0.46875	0.0390625	SP	12	1
103.9447777	1367.3	1447.3	0.234375	0.01953125	SP	12	1
112.1239766	1474.89	1554.89	0.1171875	0.009765625	SP	12	1
100	1315.41	1395.41	0.05859375	0.004882813	SP	12	1
0.255899881	5.3675	85.3675	120	10	SP	12	2
0.271628129	5.6974	85.6974	60	5	SP	12	2
0.320095352	6.714	86.714	30	2.5	SP	12	2
0.286707986	6.0137	86.0137	15	1.25	SP	12	2
138.4743743	2904.5	2984.5	7.5	0.625	SP	12	2
81.21716329	1703.53	1783.53	3.75	0.3125	SP	12	2
74.35184744	1559.53	1639.53	1.875	0.15625	SP	12	2
86.82240763	1821.1	1901.1	0.9375	0.078125	SP	12	2
87.03599523	1825.58	1905.58	0.46875	0.0390625	SP	12	2
88.92586412	1865.22	1945.22	0.234375	0.01953125	SP	12	2
97.5942789	2047.04	2127.04	0.1171875	0.009765625	SP	12	2
100	2097.5	2177.5	0.05859375	0.004882813	SP	12	2
0.500931811	13.0903	93.0903	120	10	SP	12	3
0.300709095	7.8581	87.8581	60	5	SP	12	3
0.284074254	7.4234	87.4234	30	2.5	SP	12	3
0.326780678	8.5394	88.5394	15	1.25	SP	12	3
7.113336573	185.885	265.885	7.5	0.625	SP	12	3
125.9299936	3290.79	3370.79	3.75	0.3125	SP	12	3
128.3771942	3354.74	3434.74	1.875	0.15625	SP	12	3
124.3051596	3248.33	3328.33	0.9375	0.078125	SP	12	3
114.5959536	2994.61	3074.61	0.46875	0.0390625	SP	12	3
120.5346722	3149.8	3229.8	0.234375	0.01953125	SP	12	3
121.0398019	3163	3243	0.1171875	0.009765625	SP	12	3
100	2613.19	2693.19	0.05859375	0.004882813	SP	12	3

