response	minus	raw	dose	xMIC	sample	MIC	experiment
9.179769898	275.909	475.909	1280	10	Spec	128	1
7.753308802	233.035	433.035	640	5	Spec	128	1
10.69895729	321.57	521.57	320	2.5	Spec	128	1
11.20095022	336.658	536.658	160	1.25	Spec	128	1
15.2525602	458.434	658.434	80	0.625	Spec	128	1
49.08305108	1475.25	1675.25	40	0.3125	Spec	128	1
81.66567963	2454.56	2654.56	20	0.15625	Spec	128	1
97.44478677	2928.82	3128.82	10	0.078125	Spec	128	1
99.38515182	2987.14	3187.14	5	0.0390625	Spec	128	1
100.4741118	3019.87	3219.87	2.5	0.01953125	Spec	128	1
95.02498653	2856.09	3056.09	1.25	0.009765625	Spec	128	1
100	3005.62	3205.62	0.625	0.004882813	Spec	128	1
9.706449753	360.251	448.251	1280	10	SP	128	2
13.1391959	487.656	575.656	640	5	SP	128	2
15.72973978	583.803	671.803	320	2.5	SP	128	2
16.263492	603.613	691.613	160	1.25	SP	128	2
17.8221778	661.463	749.463	80	0.625	SP	128	2
35.51513421	1318.13	1406.13	40	0.3125	SP	128	2
99.70900939	3700.66	3788.66	20	0.15625	SP	128	2
99.22160013	3682.57	3770.57	10	0.078125	SP	128	2
102.4052529	3800.73	3888.73	5	0.0390625	SP	128	2
96.83224391	3593.89	3681.89	2.5	0.01953125	SP	128	2
103.0069029	3823.06	3911.06	1.25	0.009765625	SP	128	2
100	3711.46	3799.46	0.625	0.004882813	SP	128	2
23.45049653	762.514	842.514	1280	10	SP	128	3
21.67963981	704.933	784.933	640	5	SP	128	3
23.70720171	770.861	850.861	320	2.5	SP	128	3
24.71550841	803.647	883.647	160	1.25	SP	128	3
18.30584422	595.231	675.231	80	0.625	SP	128	3
58.40834792	1899.2	1979.2	40	0.3125	SP	128	3
95.97489228	3120.71	3200.71	20	0.15625	SP	128	3
93.40015193	3036.99	3116.99	10	0.078125	SP	128	3
91.41035616	2972.29	3052.29	5	0.0390625	SP	128	3
94.73795897	3080.49	3160.49	2.5	0.01953125	SP	128	3
98.40908602	3199.86	3279.86	1.25	0.009765625	SP	128	3
100	3251.59	3331.59	0.625	0.004882813	SP	128	3
