response	minus	raw	dose	xMIC	sample	MIC	experiment
0.91144354	12.996	92.996	30	10	TET	3	1
0.787154509	11.2238	91.2238	15	5	TET	3	1
0.691346336	9.8577	89.8577	7.5	2.5	TET	3	1
0.731826885	10.4349	90.4349	3.75	1.25	TET	3	1
0.899969843	12.8324	92.8324	1.875	0.625	TET	3	1
253.047613	3608.13	3688.13	0.9375	0.3125	TET	3	1
97.34828561	1388.06	1468.06	0.46875	0.15625	TET	3	1
94.3536227	1345.36	1425.36	0.234375	0.078125	TET	3	1
103.8194225	1480.33	1560.33	0.1171875	0.0390625	TET	3	1
100.1423692	1427.9	1507.9	0.05859375	0.01953125	TET	3	1
101.6418047	1449.28	1529.28	0.029296875	0.009765625	TET	3	1
100	1425.87	1505.87	0.014648438	0.004882813	TET	3	1
0.205537941	3.8896	83.8896	30	10	TET	3	2
0.277377933	5.2491	85.2491	15	5	TET	3	2
0.592771084	11.2176	91.2176	7.5	2.5	TET	3	2
1.008333333	19.0817	99.0817	3.75	1.25	TET	3	2
28.87359966	546.404	626.404	1.875	0.625	TET	3	2
181.7269076	3439	3519	0.9375	0.3125	TET	3	2
129.1745931	2444.5	2524.5	0.46875	0.15625	TET	3	2
105.3651448	1993.93	2073.93	0.234375	0.078125	TET	3	2
101.4172479	1919.22	1999.22	0.1171875	0.0390625	TET	3	2
96.6206933	1828.45	1908.45	0.05859375	0.01953125	TET	3	2
103.414183	1957.01	2037.01	0.029296875	0.009765625	TET	3	2
100	1892.4	1972.4	0.014648438	0.004882813	TET	3	2
0.216660941	6.3702	86.3702	30	10	TET	3	3
0.241315978	7.0951	87.0951	15	5	TET	3	3
0.269715697	7.9301	87.9301	7.5	2.5	TET	3	3
0.254009122	7.4683	87.4683	3.75	1.25	TET	3	3
0.272766541	8.0198	88.0198	1.875	0.625	TET	3	3
47.79723621	1405.32	1485.32	0.9375	0.3125	TET	3	3
125.7913658	3698.48	3778.48	0.46875	0.15625	TET	3	3
116.8415432	3435.34	3515.34	0.234375	0.078125	TET	3	3
107.2295139	3152.73	3232.73	0.1171875	0.0390625	TET	3	3
104.2817252	3066.06	3146.06	0.05859375	0.01953125	TET	3	3
107.71486	3167	3247	0.029296875	0.009765625	TET	3	3
100	2940.17	3020.17	0.014648438	0.004882813	TET	3	3
