response	minus	raw	dose	experiment	xMIC	MIC
0.920121929	29.763	229.763	0.0625	1	100	0.000625
0.876315432	28.346	228.346	0.03125	1	50	0.000625
0.901665698	29.166	229.166	0.015625	1	25	0.000625
0.876222687	28.343	228.343	0.0078125	1	12.5	0.000625
0.891154612	28.826	228.826	0.00390625	1	6.25	0.000625
0.771791955	24.965	224.965	0.001953125	1	3.125	0.000625
0.776120049	25.105	225.105	0.000976563	1	1.5625	0.000625
90.87977791	2939.67	3139.67	0.000488281	1	0.78125	0.000625
101.0464714	3268.53	3468.53	0.000244141	1	0.390625	0.000625
102.4521746	3314	3514	0.00012207	1	0.1953125	0.000625
97.86563122	3165.64	3365.64	6.10352E-05	1	0.09765625	0.000625
100	3234.68	3434.68	3.05176E-05	1	0.048828125	0.000625
