dose	response	experiment
0.000064	111.5537849	1
0.00032	99.93359894	1
0.0016	88.31341301	1
0.008	85.32536521	1
0.02	108.5657371	1
0.1	100.2656042	1
0.2	95.94953519	1
0.65	13.94422311	1
1	27.5564409	1
0.000064	106.8123862	2
0.00032	78.5428051	2
0.0016	90.34608379	2
0.008	77.37704918	2
0.04	83.64298725	2
0.2	60.61930783	2
1	4.954462659	2
5	-9.034608379	2
0.000064	124.8024668	3
0.00032	136.9820775	3
0.0016	110.9269609	3
0.008	107.0726537	3
0.04	106.8413953	3
0.2	116.2459048	3
1	25.51551359	3
5	0.847947581	3
