dose	response	experiment
0.0002	111.5537849	1
0.000889	115.5378486	1
0.001333	114.5418327	1
0.002	99.60159363	1
0.003	110.8897742	1
0.0045	110.2257636	1
0.00675	108.2337317	1
0.013	85.65737052	1
0.000064	122.1129326	2
0.00032	94.571949	2
0.0016	92.24043716	2
0.008	68.63387978	2
0.04	3.78870674	2
0.2	-9.034608379	2
1	-8.597449909	2
5	-9.908925319	2
0.000064	149.226361	3
0.00032	119.4269341	3
0.0016	134.2502388	3
0.008	96.80993314	3
0.04	19.86628462	3
0.2	3.285577841	3
1	2.445081184	3
5	2.674307545	3
