dose	response	experiment
0.05	115.8698539	1
0.0896	106.2416999	1
0.448	98.937583	1
2.24	99.93359894	1
11.2	109.2297477	1
56	89.30942895	1
280	105.5776892	1
400	102.9216467	1
2256	95.28552457	1
3000	74.70119522	1
4000	44.82071713	1
7000	14.27622842	1
0.0896	99.96357013	2
0.448	86.26593807	2
2.24	82.9143898	2
11.2	81.02003643	2
56	77.23132969	2
280	79.70856102	2
1400	78.10564663	2
7000	-5.828779599	2
0.0896	122.7889207	3
0.448	112.4737345	3
2.24	109.2645654	3
11.2	104.9856734	3
56	90.92645654	3
280	107.965616	3
1400	95.2817574	3
7000	1.222540592	3
