response	minus	raw	dose	xMIC	sample	MIC	experiment
0.816253571	25.572	225.572	0.32	100	Pen	0.0032	1
0.794867293	24.902	224.902	0.16	50	Pen	0.0032	1
0.843545015	26.427	226.427	0.08	25	Pen	0.0032	1
0.846002841	26.504	226.504	0.04	12.5	Pen	0.0032	1
0.877252342	27.483	227.483	0.02	6.25	Pen	0.0032	1
0.78490831	24.59	224.59	0.01	3.125	Pen	0.0032	1
0.806454187	25.265	225.265	0.005	1.5625	Pen	0.0032	1
0.901000686	28.227	228.227	0.0025	0.78125	Pen	0.0032	1
0.778843545	24.4	224.4	0.00125	0.390625	Pen	0.0032	1
4.522463572	141.682	341.682	0.000625	0.1953125	Pen	0.0032	1
92.64152449	2902.32	3102.32	0.0003125	0.09765625	Pen	0.0032	1
100	3132.85	3332.85	0.00015625	0.048828125	Pen	0.0032	1
0.465022433	17.516	105.516	0.032	10	Pen	0.0032	2
2.125016593	80.043	168.043	0.016	5	Pen	0.0032	2
3.046247378	114.743	202.743	0.008	2.5	Pen	0.0032	2
2.939150981	110.709	198.709	0.004	1.25	Pen	0.0032	2
3.383890408	127.461	215.461	0.002	0.625	Pen	0.0032	2
4.740966894	178.578	266.578	0.001	0.3125	Pen	0.0032	2
92.74139167	3493.29	3581.29	0.0005	0.15625	Pen	0.0032	2
96.68622402	3641.88	3729.88	0.00025	0.078125	Pen	0.0032	2
99.76451536	3757.83	3845.83	0.000125	0.0390625	Pen	0.0032	2
95.92242547	3613.11	3701.11	0.0000625	0.01953125	Pen	0.0032	2
99.08434439	3732.21	3820.21	0.00003125	0.009765625	Pen	0.0032	2
100	3766.7	3854.7	0.000015625	0.004882813	Pen	0.0032	2
5.325196698	165.145	365.145	0.032	10	PEN	0.0032	3
8.133657939	252.241	452.241	0.016	5	PEN	0.0032	3
9.79846511	303.87	503.87	0.008	2.5	PEN	0.0032	3
7.020121243	217.708	417.708	0.004	1.25	PEN	0.0032	3
6.889913582	213.67	413.67	0.002	0.625	PEN	0.0032	3
7.663033664	237.646	437.646	0.001	0.3125	PEN	0.0032	3
42.68670192	1323.8	1523.8	0.0005	0.15625	PEN	0.0032	3
85.91545208	2664.41	2864.41	0.00025	0.078125	PEN	0.0032	3
85.71552947	2658.21	2858.21	0.000125	0.0390625	PEN	0.0032	3
96.79349929	3001.76	3201.76	0.0000625	0.01953125	PEN	0.0032	3
98.50348252	3054.79	3254.79	0.00003125	0.009765625	PEN	0.0032	3
100	3101.2	3301.2	0.000015625	0.004882813	PEN	0.0032	3



