response	minus	raw	dose	xMIC	sample	MIC	experiment
0.891987669	27.864	227.864	25	100	Tet	0.25	1
0.795598964	24.853	224.853	12.5	50	Tet	0.25	1
0.800304756	25	225	6.25	25	Tet	0.25	1
0.827066947	25.836	225.836	3.125	12.5	Tet	0.25	1
0.896405351	28.002	228.002	1.5625	6.25	Tet	0.25	1
0.765763603	23.921	223.921	0.78125	3.125	Tet	0.25	1
0.778888601	24.331	224.331	0.390625	1.5625	Tet	0.25	1
2.869508709	89.638	289.638	0.1953125	0.78125	Tet	0.25	1
39.41853058	1231.36	1431.36	0.09765625	0.390625	Tet	0.25	1
86.30582526	2696.03	2896.03	0.048828125	0.1953125	Tet	0.25	1
74.18568991	2317.42	2517.42	0.024414063	0.09765625	Tet	0.25	1
100	3123.81	3323.81	0.012207031	0.048828125	Tet	0.25	1
2.262129887	88.0663	235.793	2.5	10	TET	0.25	2
2.468889591	96.1156	235.227	1.25	5	TET	0.25	2
2.540208627	98.8921	199.338	0.625	2.5	TET	0.25	2
2.653715448	103.311	193.175	0.3125	1.25	TET	0.25	2
5.748933361	223.81	1264.03	0.15625	0.625	TET	0.25	2
77.70268708	3025.02	3865.42	0.078125	0.3125	TET	0.25	2
77.97881877	3035.77	3628.84	0.0390625	0.15625	TET	0.25	2
93.83622694	3653.11	3699.51	0.01953125	0.078125	TET	0.25	2
83.29261996	3242.64	3589.52	0.009765625	0.0390625	TET	0.25	2
93.48586077	3639.47	3449.75	0.004882813	0.01953125	TET	0.25	2
92.41421295	3597.75	3490.15	0.002441406	0.009765625	TET	0.25	2
100	3893.07	3865.4	0.001220703	0.004882813	TET	0.25	2
4.115628467	155.793	235.793	2.5	10	TET	0.25	3
4.100676283	155.227	235.227	1.25	5	TET	0.25	3
3.152586252	119.338	199.338	0.625	2.5	TET	0.25	3
2.98977651	113.175	193.175	0.3125	1.25	TET	0.25	3
31.27886089	1184.03	1264.03	0.15625	0.625	TET	0.25	3
100.0005283	3785.42	3865.42	0.078125	0.3125	TET	0.25	3
93.75072648	3548.84	3628.84	0.0390625	0.15625	TET	0.25	3
95.61763618	3619.51	3699.51	0.01953125	0.078125	TET	0.25	3
92.71199873	3509.52	3589.52	0.009765625	0.0390625	TET	0.25	3
89.01965446	3369.75	3449.75	0.004882813	0.01953125	TET	0.25	3
90.08691288	3410.15	3490.15	0.002441406	0.009765625	TET	0.25	3
100	3785.4	3865.4	0.001220703	0.004882813	TET	0.25	3
