sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	0.000244141	-4
103_2	2	1000	2.00E+05	0.015625	0.002441406	-4
103_3	2	1000	2.00E+05	0.03125	0.004882813	-4
103_4	2	1000	2.00E+05	0.0625	0.009765625	-4
103_5	2	1000	2.00E+05	0.125	0.01953125	-4
103_6	2	1000	2.00E+05	0.25	0.0390625	-4
103_7	2	1000	2.00E+05	0.5	0.078125	-4
103_8	2	1000	2.00E+05	1	0.15625	-4
103_9	2	1000	2.00E+05	2	0.3125	-4
103_10	2	1000	2.00E+05	4	0.625	-4
103_11	2	1000	2.00E+05	8	1.25	-4
103_12	2	1000	2.00E+05	16	2.5	-4
103_1	4	1000	4.00E+05	0.0015625	0.000244141	0
103_2	4	1000	4.00E+05	0.015625	0.002441406	0
103_3	4	1000	4.00E+05	0.03125	0.004882813	0
103_4	4	1000	4.00E+05	0.0625	0.009765625	0
103_5	4	1000	4.00E+05	0.125	0.01953125	0
103_6	5	1000	5.00E+05	0.25	0.0390625	0
103_7	5	1000	5.00E+05	0.5	0.078125	0
103_8	3	1000	3.00E+05	1	0.15625	0
103_9	3	1000	3.00E+05	2	0.3125	0
103_10	4	1000	4.00E+05	4	0.625	0
103_11	3	1000	3.00E+05	8	1.25	0
103_12	5	1000	5.00E+05	16	2.5	0
103_1	8	1000	8.00E+05	0.0015625	0.000244141	1
103_2	4	1000	4.00E+05	0.015625	0.002441406	1
103_3	5	1000	5.00E+05	0.03125	0.004882813	1
103_4	5	1000	5.00E+05	0.0625	0.009765625	1
103_5	6	1000	6.00E+05	0.125	0.01953125	1
103_6	5	1000	5.00E+05	0.25	0.0390625	1
103_7	6	1000	6.00E+05	0.5	0.078125	1
103_8	5	1000	5.00E+05	1	0.15625	1
103_9	7	1000	7.00E+05	2	0.3125	1
103_10	5	1000	5.00E+05	4	0.625	1
103_11	4	1000	4.00E+05	8	1.25	1
103_12	5	1000	5.00E+05	16	2.5	1
103_1	26	1000	2.60E+06	0.0015625	0.000244141	2
103_2	22	1000	2.20E+06	0.015625	0.002441406	2
103_3	17	1000	1.70E+06	0.03125	0.004882813	2
103_4	19	1000	1.90E+06	0.0625	0.009765625	2
103_5	20	1000	2.00E+06	0.125	0.01953125	2
103_6	12	1000	1.20E+06	0.25	0.0390625	2
103_7	15	1000	1.50E+06	0.5	0.078125	2
103_8	7	1000	7.00E+05	1	0.15625	2
103_9	6	1000	6.00E+05	2	0.3125	2
103_10	7	1000	7.00E+05	4	0.625	2
103_11	7	1000	7.00E+05	8	1.25	2
103_12	4	1000	4.00E+05	16	2.5	2
103_1	5	10000	5.00E+06	0.0015625	0.000244141	3
103_2	4	10000	4.00E+06	0.015625	0.002441406	3
103_3	3	10000	3.00E+06	0.03125	0.004882813	3
103_4	15	1000	1.50E+06	0.0625	0.009765625	3
103_5	17	1000	1.70E+06	0.125	0.01953125	3
103_6	16	1000	1.60E+06	0.25	0.0390625	3
103_7	13	1000	1.30E+06	0.5	0.078125	3
103_8	11	1000	1.10E+06	1	0.15625	3
103_9	15	1000	1.50E+06	2	0.3125	3
103_10	12	1000	1.20E+06	4	0.625	3
103_11	8	1000	8.00E+05	8	1.25	3
103_12	3	1000	3.00E+05	16	2.5	3
103_1	12	10000	1.20E+07	0.0015625	0.000244141	4
103_2	11	10000	1.10E+07	0.015625	0.002441406	4
103_3	7	10000	7.00E+06	0.03125	0.004882813	4
103_4	6	10000	6.00E+06	0.0625	0.009765625	4
103_5	4	10000	4.00E+06	0.125	0.01953125	4
103_6	26	1000	2.60E+06	0.25	0.0390625	4
103_7	22	1000	2.20E+06	0.5	0.078125	4
103_8	16	1000	1.60E+06	1	0.15625	4
103_9	8	1000	8.00E+05	2	0.3125	4
103_10	7	1000	7.00E+05	4	0.625	4
103_11	5	1000	5.00E+05	8	1.25	4
103_12	3	1000	3.00E+05	16	2.5	4
103_1	26	10000	2.60E+07	0.0015625	0.000244141	5
103_2	25	10000	2.50E+07	0.015625	0.002441406	5
103_3	26	10000	2.60E+07	0.03125	0.004882813	5
103_4	23	10000	2.30E+07	0.0625	0.009765625	5
103_5	10	10000	1.00E+07	0.125	0.01953125	5
103_6	21	1000	2.10E+06	0.25	0.0390625	5
103_7	29	1000	2.90E+06	0.5	0.078125	5
103_8	17	1000	1.70E+06	1	0.15625	5
103_9	5	1000	5.00E+05	2	0.3125	5
103_10	13	100	1.30E+05	4	0.625	5
103_11	30	100	3.00E+05	8	1.25	5
103_12	29	100	2.90E+05	16	2.5	5
103_1	3	100000	3.00E+07	0.0015625	0.000244141	6
103_2	31	10000	3.10E+07	0.015625	0.002441406	6
103_3	29	10000	2.90E+07	0.03125	0.004882813	6
103_4	24	10000	2.40E+07	0.0625	0.009765625	6
103_5	25	10000	2.50E+07	0.125	0.01953125	6
103_6	6	10000	6.00E+06	0.25	0.0390625	6
103_7	4	10000	4.00E+06	0.5	0.078125	6
103_8	23	1000	2.30E+06	1	0.15625	6
103_9	13	1000	1.30E+06	2	0.3125	6
103_10	9	1000	9.00E+05	4	0.625	6
103_11	3	1000	3.00E+05	8	1.25	6
103_12	3	1000	3.00E+05	16	2.5	6
