Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_M	0	10	1	1.00E+03	1
WHO_G	0	7	1	7.00E+02	1
WHO_L	0	6	1	6.00E+02	1
WHO_N	0	3	1	3.00E+02	1
WHO_K	0	19	1	1.90E+03	1
WHO_M	2	9	1	9.00E+02	1
WHO_G	2	8	1	8.00E+02	1
WHO_L	2	6	1	6.00E+02	1
WHO_N	2	5	1	5.00E+02	1
WHO_K	2	15	1	1.50E+03	1
WHO_M	4	21	1	2.10E+03	1
WHO_G	4	8	10	8.00E+03	1
WHO_L	4	7	1	7.00E+02	1
WHO_N	4	5	1	5.00E+02	1
WHO_K	4	6	1	6.00E+02	1
WHO_M	6	16	10	1.60E+04	1
WHO_G	6	11	10	1.10E+04	1
WHO_L	6	2	1	2.00E+02	1
WHO_N	6	22	1	2.20E+03	1
WHO_K	6	13	10	1.30E+04	1
WHO_M	8	18	100	1.80E+05	1
WHO_G	8	8	100	8.00E+04	1
WHO_L	8	13	1	1.30E+03	1
WHO_N	8	22	10	2.20E+04	1
WHO_K	8	8	100	8.00E+04	1
WHO_M	10	11	1000	1.10E+06	1
WHO_G	10	9	1000	9.00E+05	1
WHO_L	10	16	10	1.60E+04	1
WHO_N	10	15	100	1.50E+05	1
WHO_K	10	12	1000	1.20E+06	1
WHO_M	12	11	10000	1.10E+07	1
WHO_G	12	7	10000	7.00E+06	1
WHO_L	12	8	100	8.00E+04	1
WHO_N	12	12	1000	1.20E+06	1
WHO_K	12	31	10000	3.10E+07	1
WHO_M	20	36	100000	3.60E+08	1
WHO_G	20	24	100000	2.40E+08	1
WHO_L	20	6	100000	6.00E+07	1
WHO_N	20	18	100000	1.80E+08	1
WHO_K	20	12	100000	1.20E+08	1
WHO_M	22	45	100000	4.50E+08	1
WHO_G	22	50	100000	5.00E+08	1
WHO_L	22	8	100000	8.00E+07	1
WHO_N	22	24	100000	2.40E+08	1
WHO_K	22	23	100000	2.30E+08	1
WHO_M	24	60	100000	6.00E+08	1
WHO_G	24	80	100000	8.00E+08	1
WHO_L	24	11	100000	1.10E+08	1
WHO_N	24	19	1000000	1.90E+09	1
WHO_K	24	49	100000	4.90E+08	1
WHO_M	26	22	100000	2.20E+08	1
WHO_G	26	7	10000000	7.00E+09	1
WHO_L	26	24	100000	2.40E+08	1
WHO_N	26	17	1000000	1.70E+09	1
WHO_K	26	20	100000	2.00E+08	1
WHO_M	28	21	100000	2.10E+08	1
WHO_G	28	60	1000000	6.00E+09	1
WHO_L	28	7	100000	7.00E+07	1
WHO_N	28	17	1000000	1.70E+09	1
WHO_K	28	42	100000	4.20E+08	1
WHO_M	30	55	100000	5.50E+08	1
WHO_G	30	23	1000000	2.30E+09	1
WHO_L	30	11	100000	1.10E+08	1
WHO_N	30	34	10000000	3.40E+10	1
WHO_K	30	36	100000	3.60E+08	1
WHO_M	32	150	100000	1.50E+09	1
WHO_G	32	21	1000000	2.10E+09	1
WHO_L	32	5	100000	5.00E+07	1
WHO_N	32	42	10000000	4.20E+10	1
WHO_K	32	80	100000	8.00E+08	1
WHO_M	34	4	1000000	4.00E+08	1
WHO_G	34	22	1000000	2.20E+09	1
WHO_L	34	9	100000	9.00E+07	1
WHO_N	34	36	10000000	3.60E+10	1
WHO_K	34	36	100000	3.60E+08	1
WHO_M	36	28	100000	2.80E+08	1
WHO_G	36	43	100000	4.30E+08	1
WHO_L	36	11	100000	1.10E+08	1
WHO_N	36	31	10000000	3.10E+10	1
WHO_K	36	44	100000	4.40E+08	1
WHO_G	0	4	1	4.00E+02	2
WHO_K	0	3	1	3.00E+02	2
WHO_L	0	5	1	5.00E+02	2
WHO_M	0	5	1	5.00E+02	2
WHO_N	0	3	1	3.00E+02	2
WHO_G	2	7	1	7.00E+02	2
WHO_K	2	4	1	4.00E+02	2
WHO_L	2	3	1	3.00E+02	2
WHO_M	2	12	1	1.20E+03	2
WHO_N	2	6	1	6.00E+02	2
WHO_G	4	6	10	6.00E+03	2
WHO_K	4	12	1	1.20E+03	2
WHO_L	4	5	10	5.00E+03	2
WHO_M	4	9	10	9.00E+03	2
WHO_N	4	5	1	5.00E+02	2
WHO_G	6	17	10	1.70E+04	2
WHO_K	6	15	10	1.50E+04	2
WHO_L	6	8	1	8.00E+02	2
WHO_M	6	18	10	1.80E+04	2
WHO_N	6	21	1	2.10E+03	2
WHO_G	8	20	100	2.00E+05	2
WHO_K	8	19	10	1.90E+04	2
WHO_L	8	15	10	1.50E+04	2
WHO_M	8	13	100	1.30E+05	2
WHO_N	8	15	10	1.50E+04	2
WHO_G	10	7	1000	7.00E+05	2
WHO_K	10	21	100	2.10E+05	2
WHO_L	10	22	10	2.20E+04	2
WHO_M	10	16	1000	1.60E+06	2
WHO_N	10	28	100	2.80E+05	2
WHO_G	12	10	10000	1.00E+07	2
WHO_K	12	15	1000	1.50E+06	2
WHO_L	12	11	100	1.10E+05	2
WHO_M	12	9	10000	9.00E+06	2
WHO_N	12	8	1000	8.00E+05	2
WHO_G	20	9	1000000	9.00E+08	2
WHO_K	20	9	100000	9.00E+07	2
WHO_L	20	23	1000	2.30E+06	2
WHO_M	20	6	1000000	6.00E+08	2
WHO_N	20	9	100000	9.00E+07	2
WHO_G	22	10	1000000	1.00E+09	2
WHO_K	22	12	100000	1.20E+08	2
WHO_L	22	29	1000	2.90E+06	2
WHO_M	22	10	1000000	1.00E+09	2
WHO_N	22	21	100000	2.10E+08	2
WHO_G	24	24	1000000	2.40E+09	2
WHO_K	24	14	100000	1.40E+08	2
WHO_L	24	5	100000	5.00E+07	2
WHO_M	24	29	100000	2.90E+08	2
WHO_N	24	4	1000000	4.00E+08	2
WHO_G	26	22	1000000	2.20E+09	2
WHO_K	26	11	100000	1.10E+08	2
WHO_L	26	18	100000	1.80E+08	2
WHO_M	26	23	1000000	2.30E+09	2
WHO_N	26	13	1000000	1.30E+09	2
WHO_G	28	18	1000000	1.80E+09	2
WHO_K	28	11	1000000	1.10E+09	2
WHO_L	28	10	100000	1.00E+08	2
WHO_M	28	16	1000000	1.60E+09	2
WHO_N	28	19	1000000	1.90E+09	2
WHO_G	30	5	100000000	5.00E+10	2
WHO_K	30	24	1000000	2.40E+09	2
WHO_L	30	17	10000	1.70E+07	2
WHO_M	30	24	1000000	2.40E+09	2
WHO_N	30	12	10000000	1.20E+10	2
WHO_G	32	33	10000000	3.30E+10	2
WHO_K	32	11	1000000	1.10E+09	2
WHO_L	32	8	100000	8.00E+07	2
WHO_M	32	7	1000000	7.00E+08	2
WHO_N	32	25	10000000	2.50E+10	2
WHO_G	34	24	1000000	2.40E+09	2
WHO_K	34	5	1000000	5.00E+08	2
WHO_L	34	7	100000	7.00E+07	2
WHO_M	34	8	1000000	8.00E+08	2
WHO_N	34	9	10000000	9.00E+09	2
WHO_G	36	8	10000000	8.00E+09	2
WHO_K	36	21	1000000	2.10E+09	2
WHO_L	36	7	10000	7.00E+06	2
WHO_M	36	26	1000000	2.60E+09	2
WHO_N	36	9	10000000	9.00E+09	2
WHO_G	0	8	1	8.00E+02	3
WHO_K	0	5	1	5.00E+02	3
WHO_L	0	8	1	8.00E+02	3
WHO_M	0	6	1	6.00E+02	3
WHO_N	0	6	1	6.00E+02	3
WHO_G	2	11	1	1.10E+03	3
WHO_K	2	4	1	4.00E+02	3
WHO_L	2	8	1	8.00E+02	3
WHO_M	2	8	1	8.00E+02	3
WHO_N	2	6	1	6.00E+02	3
WHO_G	4	23	1	2.30E+03	3
WHO_K	4	12	1	1.20E+03	3
WHO_L	4	7	1	7.00E+02	3
WHO_M	4	7	1	7.00E+02	3
WHO_N	4	16	1	1.60E+03	3
WHO_G	6	17	10	1.70E+04	3
WHO_K	6	21	10	2.10E+04	3
WHO_L	6	4	10	4.00E+03	3
