sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	1.52588E-05	-4
103_2	2	1000	2.00E+05	0.015625	0.000152588	-4
103_3	2	1000	2.00E+05	0.03125	0.000305176	-4
103_4	2	1000	2.00E+05	0.0625	0.000610352	-4
103_5	2	1000	2.00E+05	0.125	0.001220703	-4
103_6	2	1000	2.00E+05	0.25	0.002441406	-4
103_7	2	1000	2.00E+05	0.5	0.004882813	-4
103_8	2	1000	2.00E+05	1	0.009765625	-4
103_9	2	1000	2.00E+05	2	0.01953125	-4
103_10	2	1000	2.00E+05	4	0.0390625	-4
103_11	2	1000	2.00E+05	8	0.078125	-4
103_12	2	1000	2.00E+05	16	0.15625	-4
103_1	3	1000	3.00E+05	0.0015625	1.52588E-05	0
103_2	4	1000	4.00E+05	0.015625	0.000152588	0
103_3	3	1000	3.00E+05	0.03125	0.000305176	0
103_4	3	1000	3.00E+05	0.0625	0.000610352	0
103_5	2	1000	2.00E+05	0.125	0.001220703	0
103_6	3	1000	3.00E+05	0.25	0.002441406	0
103_7	4	1000	4.00E+05	0.5	0.004882813	0
103_8	4	1000	4.00E+05	1	0.009765625	0
103_9	3	1000	3.00E+05	2	0.01953125	0
103_10	2	1000	2.00E+05	4	0.0390625	0
103_11	2	1000	2.00E+05	8	0.078125	0
103_12	25	100	2.50E+05	16	0.15625	0
103_1	4	1000	4.00E+05	0.0015625	1.52588E-05	1
103_2	3	1000	3.00E+05	0.015625	0.000152588	1
103_3	3	1000	3.00E+05	0.03125	0.000305176	1
103_4	4	1000	4.00E+05	0.0625	0.000610352	1
103_5	5	1000	5.00E+05	0.125	0.001220703	1
103_6	3	1000	3.00E+05	0.25	0.002441406	1
103_7	12	100	1.20E+05	0.5	0.004882813	1
103_8	13	100	1.30E+05	1	0.009765625	1
103_9	12	100	1.20E+05	2	0.01953125	1
103_10	12	100	1.20E+05	4	0.0390625	1
103_11	8	1	8.00E+02	8	0.078125	1
103_12	2	1	2.00E+02	16	0.15625	1
103_1	5	10000	5.00E+06	0.0015625	1.52588E-05	2
103_2	16	1000	1.60E+06	0.015625	0.000152588	2
103_3	9	1000	9.00E+05	0.03125	0.000305176	2
103_4	9	1000	9.00E+05	0.0625	0.000610352	2
103_5	6	1000	6.00E+05	0.125	0.001220703	2
103_6	27	100	2.70E+05	0.25	0.002441406	2
103_7	6	100	6.00E+04	0.5	0.004882813	2
103_8	3	1	3.00E+02	1	0.009765625	2
103_9	0	1	0.00E+00	2	0.01953125	2
103_10	0	1	0.00E+00	4	0.0390625	2
103_11	0	1	0.00E+00	8	0.078125	2
103_12	0	1	0.00E+00	16	0.15625	2
103_1	6	10000	6.00E+06	0.0015625	1.52588E-05	3
103_2	5	10000	5.00E+06	0.015625	0.000152588	3
103_3	15	1000	1.50E+06	0.03125	0.000305176	3
103_4	10	1000	1.00E+06	0.0625	0.000610352	3
103_5	5	1000	5.00E+05	0.125	0.001220703	3
103_6	11	1000	1.10E+06	0.25	0.002441406	3
103_7	5	10	5.00E+03	0.5	0.004882813	3
103_8	3	1	3.00E+02	1	0.009765625	3
103_9	0	1	0.00E+00	2	0.01953125	3
103_10	0	1	0.00E+00	4	0.0390625	3
103_11	0	1	0.00E+00	8	0.078125	3
103_12	0	1	0.00E+00	16	0.15625	3
103_1	12	10000	1.20E+07	0.0015625	1.52588E-05	4
103_2	12	10000	1.20E+07	0.015625	0.000152588	4
103_3	4	10000	4.00E+06	0.03125	0.000305176	4
103_4	18	1000	1.80E+06	0.0625	0.000610352	4
103_5	15	1000	1.50E+06	0.125	0.001220703	4
103_6	16	100	1.60E+05	0.25	0.002441406	4
103_7	6	10	6.00E+03	0.5	0.004882813	4
103_8	0	1	0.00E+00	1	0.009765625	4
103_9	0	1	0.00E+00	2	0.01953125	4
103_10	0	1	0.00E+00	4	0.0390625	4
103_11	0	1	0.00E+00	8	0.078125	4
103_12	0	1	0.00E+00	16	0.15625	4
103_1	16	10000	1.60E+07	0.0015625	1.52588E-05	5
103_2	13	10000	1.30E+07	0.015625	0.000152588	5
103_3	6	10000	6.00E+06	0.03125	0.000305176	5
103_4	6	10000	6.00E+06	0.0625	0.000610352	5
103_5	12	1000	1.20E+06	0.125	0.001220703	5
103_6	17	10	1.70E+04	0.25	0.002441406	5
103_7	0	1	0.00E+00	0.5	0.004882813	5
103_8	0	1	0.00E+00	1	0.009765625	5
103_9	0	1	0.00E+00	2	0.01953125	5
103_10	0	1	0.00E+00	4	0.0390625	5
103_11	0	1	0.00E+00	8	0.078125	5
103_12	0	1	0.00E+00	16	0.15625	5
103_1	6	100000	6.00E+07	0.0015625	1.52588E-05	6
103_2	5	100000	5.00E+07	0.015625	0.000152588	6
103_3	3	100000	3.00E+07	0.03125	0.000305176	6
103_4	11	10000	1.10E+07	0.0625	0.000610352	6
103_5	4	10000	4.00E+06	0.125	0.001220703	6
103_6	11	100	1.10E+05	0.25	0.002441406	6
103_7	9	1	9.00E+02	0.5	0.004882813	6
103_8	0	1	0.00E+00	1	0.009765625	6
103_9	0	1	0.00E+00	2	0.01953125	6
103_10	0	1	0.00E+00	4	0.0390625	6
103_11	0	1	0.00E+00	8	0.078125	6
103_12	0	1	0.00E+00	16	0.15625	6
