sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	0.004882813	-4
103_2	2	1000	2.00E+05	0.015625	0.048828125	-4
103_3	2	1000	2.00E+05	0.03125	0.09765625	-4
103_4	2	1000	2.00E+05	0.0625	0.1953125	-4
103_5	2	1000	2.00E+05	0.125	0.390625	-4
103_6	2	1000	2.00E+05	0.25	0.78125	-4
103_7	2	1000	2.00E+05	0.5	1.5625	-4
103_8	2	1000	2.00E+05	1	3.125	-4
103_9	2	1000	2.00E+05	2	6.25	-4
103_10	2	1000	2.00E+05	4	12.5	-4
103_11	2	1000	2.00E+05	8	25	-4
103_12	2	1000	2.00E+05	16	50	-4
103_1	8	1000	8.00E+05	0.0015625	0.004882813	0
103_2	3	1000	3.00E+05	0.015625	0.048828125	0
103_3	3	1000	3.00E+05	0.03125	0.09765625	0
103_4	5	1000	5.00E+05	0.0625	0.1953125	0
103_5	3	1000	3.00E+05	0.125	0.390625	0
103_6	4	1000	4.00E+05	0.25	0.78125	0
103_7	3	1000	3.00E+05	0.5	1.5625	0
103_8	3	1000	3.00E+05	1	3.125	0
103_9	4	1000	4.00E+05	2	6.25	0
103_10	5	1000	5.00E+05	4	12.5	0
103_11	3	1000	3.00E+05	8	25	0
103_12	4	1000	4.00E+05	16	50	0
103_1	5	1000	5.00E+05	0.0015625	0.004882813	1
103_2	3	1000	3.00E+05	0.015625	0.048828125	1
103_3	3	1000	3.00E+05	0.03125	0.09765625	1
103_4	3	1000	3.00E+05	0.0625	0.1953125	1
103_5	4	1000	4.00E+05	0.125	0.390625	1
103_6	14	100	1.40E+05	0.25	0.78125	1
103_7	12	100	1.20E+05	0.5	1.5625	1
103_8	15	100	1.50E+05	1	3.125	1
103_9	11	100	1.10E+05	2	6.25	1
103_10	2	100	2.00E+04	4	12.5	1
103_11	3	1	3.00E+02	8	25	1
103_12	1	1	1.00E+02	16	50	1
103_1	14	1000	1.40E+06	0.0015625	0.004882813	2
103_2	9	1000	9.00E+05	0.015625	0.048828125	2
103_3	6	1000	6.00E+05	0.03125	0.09765625	2
103_4	6	1000	6.00E+05	0.0625	0.1953125	2
103_5	4	1000	4.00E+05	0.125	0.390625	2
103_6	7	1000	7.00E+05	0.25	0.78125	2
103_7	5	1000	5.00E+05	0.5	1.5625	2
103_8	4	1000	4.00E+05	1	3.125	2
103_9	3	1000	3.00E+05	2	6.25	2
103_10	12	100	1.20E+05	4	12.5	2
103_11	0	1	0.00E+00	8	25	2
103_12	0	1	0.00E+00	16	50	2
103_1	21	1000	2.10E+06	0.0015625	0.004882813	3
103_2	19	1000	1.90E+06	0.015625	0.048828125	3
103_3	15	1000	1.50E+06	0.03125	0.09765625	3
103_4	11	1000	1.10E+06	0.0625	0.1953125	3
103_5	14	1000	1.40E+06	0.125	0.390625	3
103_6	11	1000	1.10E+06	0.25	0.78125	3
103_7	11	1000	1.10E+06	0.5	1.5625	3
103_8	10	1000	1.00E+06	1	3.125	3
103_9	11	1000	1.10E+06	2	6.25	3
103_10	0	1	0.00E+00	4	12.5	3
103_11	0	1	0.00E+00	8	25	3
103_12	0	1	0.00E+00	16	50	3
103_1	4	10000	4.00E+06	0.0015625	0.004882813	4
103_2	3	10000	3.00E+06	0.015625	0.048828125	4
103_3	3	10000	3.00E+06	0.03125	0.09765625	4
103_4	19	1000	1.90E+06	0.0625	0.1953125	4
103_5	21	1000	2.10E+06	0.125	0.390625	4
103_6	19	1000	1.90E+06	0.25	0.78125	4
103_7	22	1000	2.20E+06	0.5	1.5625	4
103_8	7	1000	7.00E+05	1	3.125	4
103_9	2	1000	2.00E+05	2	6.25	4
103_10	0	1	0.00E+00	4	12.5	4
103_11	0	1	0.00E+00	8	25	4
103_12	0	1	0.00E+00	16	50	4
103_1	11	10000	1.10E+07	0.0015625	0.004882813	5
103_2	8	10000	8.00E+06	0.015625	0.048828125	5
103_3	9	10000	9.00E+06	0.03125	0.09765625	5
103_4	10	10000	1.00E+07	0.0625	0.1953125	5
103_5	5	10000	5.00E+06	0.125	0.390625	5
103_6	5	10000	5.00E+06	0.25	0.78125	5
103_7	4	10000	4.00E+06	0.5	1.5625	5
103_8	10	10000	1.00E+07	1	3.125	5
103_9	16	100	1.60E+05	2	6.25	5
103_10	0	1	0.00E+00	4	12.5	5
103_11	0	1	0.00E+00	8	25	5
103_12	0	1	0.00E+00	16	50	6
103_1	29	10000	2.90E+07	0.0015625	0.004882813	6
103_2	30	10000	3.00E+07	0.015625	0.048828125	6
103_3	19	10000	1.90E+07	0.03125	0.09765625	6
103_4	22	10000	2.20E+07	0.0625	0.1953125	6
103_5	21	10000	2.10E+07	0.125	0.390625	6
103_6	19	10000	1.90E+07	0.25	0.78125	6
103_7	22	10000	2.20E+07	0.5	1.5625	6
103_8	14	10000	1.40E+07	1	3.125	6
103_9	27	100	2.70E+05	2	6.25	6
103_10	0	1	0.00E+00	4	12.5	6
103_11	0	1	0.00E+00	8	25	6
103_12	0	1	0.00E+00	16	50	6
