sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	3.05176E-05	-4
103_2	2	1000	2.00E+05	0.015625	0.000305176	-4
103_3	2	1000	2.00E+05	0.03125	0.000610352	-4
103_4	2	1000	2.00E+05	0.0625	0.001220703	-4
103_5	2	1000	2.00E+05	0.125	0.002441406	-4
103_6	2	1000	2.00E+05	0.25	0.004882813	-4
103_7	2	1000	2.00E+05	0.5	0.009765625	-4
103_8	2	1000	2.00E+05	1	0.01953125	-4
103_9	2	1000	2.00E+05	2	0.0390625	-4
103_1	5	1000	5.00E+05	0.0015625	3.05176E-05	0
103_2	3	1000	3.00E+05	0.015625	0.000305176	0
103_3	3	1000	3.00E+05	0.03125	0.000610352	0
103_4	4	1000	4.00E+05	0.0625	0.001220703	0
103_5	3	1000	3.00E+05	0.125	0.002441406	0
103_6	5	1000	5.00E+05	0.25	0.004882813	0
103_7	5	1000	5.00E+05	0.5	0.009765625	0
103_8	3	1000	3.00E+05	1	0.01953125	0
103_9	3	1000	3.00E+05	2	0.0390625	0
103_1	6	1000	6.00E+05	0.0015625	3.05176E-05	1
103_2	5	1000	5.00E+05	0.015625	0.000305176	1
103_3	4	1000	4.00E+05	0.03125	0.000610352	1
103_4	7	1000	7.00E+05	0.0625	0.001220703	1
103_5	5	1000	5.00E+05	0.125	0.002441406	1
103_6	4	1000	4.00E+05	0.25	0.004882813	1
103_7	3	1000	3.00E+05	0.5	0.009765625	1
103_8	4	1000	4.00E+05	1	0.01953125	1
103_9	3	1000	3.00E+05	2	0.0390625	1
103_1	19	1000	1.90E+06	0.0015625	3.05176E-05	2
103_2	9	1000	9.00E+05	0.015625	0.000305176	2
103_3	8	1000	8.00E+05	0.03125	0.000610352	2
103_4	7	1000	7.00E+05	0.0625	0.001220703	2
103_5	4	1000	4.00E+05	0.125	0.002441406	2
103_6	3	1000	3.00E+05	0.25	0.004882813	2
103_7	14	100	1.40E+05	0.5	0.009765625	2
103_8	14	100	1.40E+05	1	0.01953125	2
103_9	17	100	1.70E+05	2	0.0390625	2
103_1	11	1000	1.10E+06	0.0015625	3.05176E-05	3
103_2	4	1000	4.00E+05	0.015625	0.000305176	3
103_3	3	1000	3.00E+05	0.03125	0.000610352	3
103_4	5	1000	5.00E+05	0.0625	0.001220703	3
103_5	4	1000	4.00E+05	0.125	0.002441406	3
103_6	5	1000	5.00E+05	0.25	0.004882813	3
103_7	3	1000	3.00E+05	0.5	0.009765625	3
103_8	24	100	2.40E+05	1	0.01953125	3
103_9	9	100	9.00E+04	2	0.0390625	3
103_1	6	10000	6.00E+06	0.0015625	3.05176E-05	4
103_2	9	1000	9.00E+05	0.015625	0.000305176	4
103_3	19	100	1.90E+05	0.03125	0.000610352	4
103_4	9	100	9.00E+04	0.0625	0.001220703	4
103_5	6	100	6.00E+04	0.125	0.002441406	4
103_6	7	100	7.00E+04	0.25	0.004882813	4
103_7	8	100	8.00E+04	0.5	0.009765625	4
103_8	6	100	6.00E+04	1	0.01953125	4
103_9	3	100	3.00E+04	2	0.0390625	4
103_1	14	10000	1.40E+07	0.0015625	3.05176E-05	5
103_2	13	1000	1.30E+06	0.015625	0.000305176	5
103_3	29	100	2.90E+05	0.03125	0.000610352	5
103_4	13	100	1.30E+05	0.0625	0.001220703	5
103_5	6	100	6.00E+04	0.125	0.002441406	5
103_6	17	10	1.70E+04	0.25	0.004882813	5
103_7	16	10	1.60E+04	0.5	0.009765625	5
103_8	11	10	1.10E+04	1	0.01953125	5
103_9	5	10	5.00E+03	2	0.0390625	5
103_1	22	10000	2.20E+07	0.0015625	3.05176E-05	6
103_2	12	1000	1.20E+06	0.015625	0.000305176	6
103_3	5	100	5.00E+04	0.03125	0.000610352	6
103_4	8	10	8.00E+03	0.0625	0.001220703	6
103_5	4	10	4.00E+03	0.125	0.002441406	6
103_6	4	10	4.00E+03	0.25	0.004882813	6
103_7	4	10	4.00E+03	0.5	0.009765625	6
103_8	3	10	3.00E+03	1	0.01953125	6
103_9	3	1	3.00E+02	2	0.0390625	6
