sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	0.000488281	-4
103_2	2	1000	2.00E+05	0.015625	0.004882813	-4
103_3	2	1000	2.00E+05	0.03125	0.009765625	-4
103_4	2	1000	2.00E+05	0.0625	0.01953125	-4
103_5	2	1000	2.00E+05	0.125	0.0390625	-4
103_6	2	1000	2.00E+05	0.25	0.078125	-4
103_7	2	1000	2.00E+05	0.5	0.15625	-4
103_8	2	1000	2.00E+05	1	0.3125	-4
103_9	2	1000	2.00E+05	2	0.625	-4
103_10	2	1000	2.00E+05	4	1.25	-4
103_11	2	1000	2.00E+05	8	2.5	-4
103_1	5	1000	5.00E+05	0.0015625	0.000488281	0
103_2	4	1000	4.00E+05	0.015625	0.004882813	0
103_3	6	1000	6.00E+05	0.03125	0.009765625	0
103_4	3	1000	3.00E+05	0.0625	0.01953125	0
103_5	4	1000	4.00E+05	0.125	0.0390625	0
103_6	3	1000	3.00E+05	0.25	0.078125	0
103_7	5	1000	5.00E+05	0.5	0.15625	0
103_8	5	1000	5.00E+05	1	0.3125	0
103_9	6	1000	6.00E+05	2	0.625	0
103_10	4	1000	4.00E+05	4	1.25	0
103_11	3	1000	3.00E+05	8	2.5	0
103_1	8	1000	8.00E+05	0.0015625	0.000488281	1
103_2	9	1000	9.00E+05	0.015625	0.004882813	1
103_3	11	1000	1.10E+06	0.03125	0.009765625	1
103_4	8	1000	8.00E+05	0.0625	0.01953125	1
103_5	8	1000	8.00E+05	0.125	0.0390625	1
103_6	9	1000	9.00E+05	0.25	0.078125	1
103_7	9	1000	9.00E+05	0.5	0.15625	1
103_8	7	1000	7.00E+05	1	0.3125	1
103_9	8	1000	8.00E+05	2	0.625	1
103_10	5	1000	5.00E+05	4	1.25	1
103_11	4	1000	4.00E+05	8	2.5	1
103_1	13	1000	1.30E+06	0.0015625	0.000488281	2
103_2	12	1000	1.20E+06	0.015625	0.004882813	2
103_3	12	1000	1.20E+06	0.03125	0.009765625	2
103_4	15	1000	1.50E+06	0.0625	0.01953125	2
103_5	14	1000	1.40E+06	0.125	0.0390625	2
103_6	11	1000	1.10E+06	0.25	0.078125	2
103_7	12	1000	1.20E+06	0.5	0.15625	2
103_8	12	1000	1.20E+06	1	0.3125	2
103_9	7	1000	7.00E+05	2	0.625	2
103_10	6	1000	6.00E+05	4	1.25	2
103_11	8	1000	8.00E+05	8	2.5	2
103_1	13	1000	1.30E+06	0.0015625	0.000488281	3
103_2	8	1000	8.00E+05	0.015625	0.004882813	3
103_3	11	1000	1.10E+06	0.03125	0.009765625	3
103_4	9	1000	9.00E+05	0.0625	0.01953125	3
103_5	10	1000	1.00E+06	0.125	0.0390625	3
103_6	7	1000	7.00E+05	0.25	0.078125	3
103_7	7	1000	7.00E+05	0.5	0.15625	3
103_8	8	1000	8.00E+05	1	0.3125	3
103_9	3	1000	3.00E+05	2	0.625	3
103_10	3	1000	3.00E+05	4	1.25	3
103_11	29	100	2.90E+05	8	2.5	3
103_1	6	10000	6.00E+06	0.0015625	0.000488281	4
103_2	6	10000	6.00E+06	0.015625	0.004882813	4
103_3	4	10000	4.00E+06	0.03125	0.009765625	4
103_4	4	10000	4.00E+06	0.0625	0.01953125	4
103_5	5	10000	5.00E+06	0.125	0.0390625	4
103_6	7	10000	7.00E+06	0.25	0.078125	4
103_7	14	1000	1.40E+06	0.5	0.15625	4
103_8	12	1000	1.20E+06	1	0.3125	4
103_9	8	1000	8.00E+05	2	0.625	4
103_10	6	1000	6.00E+05	4	1.25	4
103_11	6	1000	6.00E+05	8	2.5	4
103_1	10	10000	1.00E+07	0.0015625	0.000488281	5
103_2	11	10000	1.10E+07	0.015625	0.004882813	5
103_3	10	10000	1.00E+07	0.03125	0.009765625	5
103_4	7	10000	7.00E+06	0.0625	0.01953125	5
103_5	8	10000	8.00E+06	0.125	0.0390625	5
103_6	7	10000	7.00E+06	0.25	0.078125	5
103_7	3	10000	3.00E+06	0.5	0.15625	5
103_8	10	1000	1.00E+06	1	0.3125	5
103_9	8	1000	8.00E+05	2	0.625	5
103_10	3	1000	3.00E+05	4	1.25	5
103_11	3	1000	3.00E+05	8	2.5	5
103_1	14	10000	1.40E+07	0.0015625	0.000488281	6
103_2	19	10000	1.90E+07	0.015625	0.004882813	6
103_3	16	10000	1.60E+07	0.03125	0.009765625	6
103_4	14	10000	1.40E+07	0.0625	0.01953125	6
103_5	16	10000	1.60E+07	0.125	0.0390625	6
103_6	10	10000	1.00E+07	0.25	0.078125	6
103_7	8	10000	8.00E+06	0.5	0.15625	6
103_8	10	1000	1.00E+06	1	0.3125	6
103_9	5	1000	5.00E+05	2	0.625	6
103_10	4	1000	4.00E+05	4	1.25	6
103_11	16	100	1.60E+05	8	2.5	6
