sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	3.05176E-05	-4
103_2	2	1000	2.00E+05	0.015625	0.000305176	-4
103_3	2	1000	2.00E+05	0.03125	0.000610352	-4
103_4	2	1000	2.00E+05	0.0625	0.001220703	-4
103_5	2	1000	2.00E+05	0.125	0.002441406	-4
103_6	2	1000	2.00E+05	0.25	0.004882813	-4
103_7	2	1000	2.00E+05	0.5	0.009765625	-4
103_8	2	1000	2.00E+05	1	0.01953125	-4
103_9	2	1000	2.00E+05	2	0.0390625	-4
103_10	2	1000	2.00E+05	4	0.078125	-4
103_11	2	1000	2.00E+05	8	0.15625	-4
103_12	2	1000	2.00E+05	16	0.3125	-4
103_1	4	1000	4.00E+05	0.0015625	3.05176E-05	0
103_2	5	1000	5.00E+05	0.015625	0.000305176	0
103_3	4	1000	4.00E+05	0.03125	0.000610352	0
103_4	6	1000	6.00E+05	0.0625	0.001220703	0
103_5	4	1000	4.00E+05	0.125	0.002441406	0
103_6	3	1000	3.00E+05	0.25	0.004882813	0
103_7	6	1000	6.00E+05	0.5	0.009765625	0
103_8	4	1000	4.00E+05	1	0.01953125	0
103_9	5	1000	5.00E+05	2	0.0390625	0
103_10	4	1000	4.00E+05	4	0.078125	0
103_11	4	1000	4.00E+05	8	0.15625	0
103_12	6	1000	6.00E+05	16	0.3125	0
103_1	7	1000	7.00E+05	0.0015625	3.05176E-05	1
103_2	7	1000	7.00E+05	0.015625	0.000305176	1
103_3	9	1000	9.00E+05	0.03125	0.000610352	1
103_4	7	1000	7.00E+05	0.0625	0.001220703	1
103_5	7	1000	7.00E+05	0.125	0.002441406	1
103_6	6	1000	6.00E+05	0.25	0.004882813	1
103_7	9	1000	9.00E+05	0.5	0.009765625	1
103_8	8	1000	8.00E+05	1	0.01953125	1
103_9	8	1000	8.00E+05	2	0.0390625	1
103_10	8	1000	8.00E+05	4	0.078125	1
103_11	7	1000	7.00E+05	8	0.15625	1
103_12	3	1000	3.00E+05	16	0.3125	1
103_1	26	1000	2.60E+06	0.0015625	3.05176E-05	2
103_2	26	1000	2.60E+06	0.015625	0.000305176	2
103_3	23	1000	2.30E+06	0.03125	0.000610352	2
103_4	18	1000	1.80E+06	0.0625	0.001220703	2
103_5	6	1000	6.00E+05	0.125	0.002441406	2
103_6	5	1000	5.00E+05	0.25	0.004882813	2
103_7	7	1000	7.00E+05	0.5	0.009765625	2
103_8	6	1000	6.00E+05	1	0.01953125	2
103_9	14	100	1.40E+05	2	0.0390625	2
103_10	18	100	1.80E+05	4	0.078125	2
103_11	13	100	1.30E+05	8	0.15625	2
103_12	24	10	2.40E+04	16	0.3125	2
103_1	10	10000	1.00E+07	0.0015625	3.05176E-05	3
103_2	10	10000	1.00E+07	0.015625	0.000305176	3
103_3	7	10000	7.00E+06	0.03125	0.000610352	3
103_4	30	1000	3.00E+06	0.0625	0.001220703	3
103_5	12	1000	1.20E+06	0.125	0.002441406	3
103_6	3	1000	3.00E+05	0.25	0.004882813	3
103_7	7	1000	7.00E+05	0.5	0.009765625	3
103_8	17	100	1.70E+05	1	0.01953125	3
103_9	4	100	4.00E+04	2	0.0390625	3
103_10	19	10	1.90E+04	4	0.078125	3
103_11	17	10	1.70E+04	8	0.15625	3
103_12	10	10	1.00E+04	16	0.3125	3
103_1	16	10000	1.60E+07	0.0015625	3.05176E-05	4
103_2	15	10000	1.50E+07	0.015625	0.000305176	4
103_3	7	10000	7.00E+06	0.03125	0.000610352	4
103_4	6	10000	6.00E+06	0.0625	0.001220703	4
103_5	16	1000	1.60E+06	0.125	0.002441406	4
103_6	4	1000	4.00E+05	0.25	0.004882813	4
103_7	20	100	2.00E+05	0.5	0.009765625	4
103_8	11	100	1.10E+05	1	0.01953125	4
103_9	11	10	1.10E+04	2	0.0390625	4
103_10	8	10	8.00E+03	4	0.078125	4
103_11	6	10	6.00E+03	8	0.15625	4
103_12	12	1	1.20E+03	16	0.3125	4
103_1	33	10000	3.30E+07	0.0015625	3.05176E-05	5
103_2	16	10000	1.60E+07	0.015625	0.000305176	5
103_3	5	10000	5.00E+06	0.03125	0.000610352	5
103_4	13	1000	1.20E+05	0.0625	0.001220703	5
103_5	12	100	1.30E+05	0.125	0.002441406	5
103_6	13	100	1.40E+05	0.25	0.004882813	5
103_7	14	100	1.40E+05	0.5	0.009765625	5
103_8	14	100	4.00E+04	1	0.01953125	5
103_9	4	100	6.00E+04	2	0.0390625	5
103_10	6	100	6.00E+04	4	0.078125	5
103_11	4	10	4.00E+03	8	0.15625	5
103_12	3	10	3.00E+03	16	0.3125	5
103_1	14	100000	1.40E+08	0.0015625	3.05176E-05	6
103_2	15	100000	1.50E+08	0.015625	0.000305176	6
103_3	9	100000	9.00E+07	0.03125	0.000610352	6
103_4	4	100000	7.00E+05	0.0625	0.001220703	6
103_5	7	1000	1.00E+05	0.125	0.002441406	6
103_6	10	100	4.00E+03	0.25	0.004882813	6
103_7	4	10	2.70E+03	0.5	0.009765625	6
103_8	27	1	1.30E+03	1	0.01953125	6
103_9	13	1	1.40E+03	2	0.0390625	6
103_10	14	1	1.40E+03	4	0.078125	6
103_11	6	1	6.00E+02	8	0.15625	6
103_12	2	1	2.00E+02	16	0.3125	6
