sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	1.52588E-05	-4
103_2	2	1000	2.00E+05	0.015625	0.000152588	-4
103_3	2	1000	2.00E+05	0.03125	0.000305176	-4
103_4	2	1000	2.00E+05	0.0625	0.000610352	-4
103_5	2	1000	2.00E+05	0.125	0.001220703	-4
103_6	2	1000	2.00E+05	0.25	0.002441406	-4
103_7	2	1000	2.00E+05	0.5	0.004882813	-4
103_8	2	1000	2.00E+05	1	0.009765625	-4
103_9	2	1000	2.00E+05	2	0.01953125	-4
103_10	2	1000	2.00E+05	4	0.0390625	-4
103_11	2	1000	2.00E+05	8	0.078125	-4
103_12	2	1000	2.00E+05	16	0.15625	-4
103_1	8	1000	8.00E+05	0.0015625	1.52588E-05	0
103_2	9	1000	9.00E+05	0.015625	0.000152588	0
103_3	13	1000	1.30E+06	0.03125	0.000305176	0
103_4	10	1000	1.00E+06	0.0625	0.000610352	0
103_5	12	1000	1.20E+06	0.125	0.001220703	0
103_6	5	1000	5.00E+05	0.25	0.002441406	0
103_7	7	1000	7.00E+05	0.5	0.004882813	0
103_8	6	1000	6.00E+05	1	0.009765625	0
103_9	14	100	1.40E+05	2	0.01953125	0
103_10	14	100	1.40E+05	4	0.0390625	0
103_11	16	100	1.60E+05	8	0.078125	0
103_12	20	100	2.00E+05	16	0.15625	0
103_1	19	1000	1.90E+06	0.0015625	1.52588E-05	1
103_2	15	1000	1.50E+06	0.015625	0.000152588	1
103_3	16	1000	1.60E+06	0.03125	0.000305176	1
103_4	12	1000	1.20E+06	0.0625	0.000610352	1
103_5	11	1000	1.10E+06	0.125	0.001220703	1
103_6	10	1000	1.00E+06	0.25	0.002441406	1
103_7	26	100	2.60E+05	0.5	0.004882813	1
103_8	18	10	1.80E+04	1	0.009765625	1
103_9	11	1	1.10E+03	2	0.01953125	1
103_10	4	1	4.00E+02	4	0.0390625	1
103_11	2	1	2.00E+02	8	0.078125	1
103_12	1	1	1.00E+02	16	0.15625	1
103_1	3	10000	3.00E+06	0.0015625	1.52588E-05	2
103_2	3	10000	3.00E+06	0.015625	0.000152588	2
103_3	4	10000	4.00E+06	0.03125	0.000305176	2
103_4	5	10000	5.00E+06	0.0625	0.000610352	2
103_5	22	1000	2.20E+06	0.125	0.001220703	2
103_6	9	1000	9.00E+05	0.25	0.002441406	2
103_7	6	100	6.00E+04	0.5	0.004882813	2
103_8	10	1	1.00E+03	1	0.009765625	2
103_9	8	1	8.00E+02	2	0.01953125	2
103_10	0	1	0.00E+00	4	0.0390625	2
103_11	0	1	0.00E+00	8	0.078125	2
103_12	0	1	0.00E+00	16	0.15625	2
103_1	6	10000	6.00E+06	0.0015625	1.52588E-05	3
103_2	5	10000	5.00E+06	0.015625	0.000152588	3
103_3	5	10000	5.00E+06	0.03125	0.000305176	3
103_4	4	10000	4.00E+06	0.0625	0.000610352	3
103_5	6	10000	6.00E+06	0.125	0.001220703	3
103_6	5	10000	5.00E+06	0.25	0.002441406	3
103_7	3	1	3.00E+02	0.5	0.004882813	3
103_8	0	1	0.00E+00	1	0.009765625	3
103_9	0	1	0.00E+00	2	0.01953125	3
103_10	0	1	0.00E+00	4	0.0390625	3
103_11	0	1	0.00E+00	8	0.078125	3
103_12	0	1	0.00E+00	16	0.15625	3
103_1	9	10000	9.00E+06	0.0015625	1.52588E-05	4
103_2	9	10000	9.00E+06	0.015625	0.000152588	4
103_3	8	10000	8.00E+06	0.03125	0.000305176	4
103_4	8	10000	8.00E+06	0.0625	0.000610352	4
103_5	19	1000	1.90E+06	0.125	0.001220703	4
103_6	11	100	1.10E+05	0.25	0.002441406	4
103_7	12	1	1.20E+03	0.5	0.004882813	4
103_8	0	1	0.00E+00	1	0.009765625	4
103_9	0	1	0.00E+00	2	0.01953125	4
103_10	0	1	0.00E+00	4	0.0390625	4
103_11	0	1	0.00E+00	8	0.078125	4
103_12	0	1	0.00E+00	16	0.15625	4
103_1	18	10000	1.80E+07	0.0015625	1.52588E-05	5
103_2	12	10000	1.20E+07	0.015625	0.000152588	5
103_3	15	10000	1.50E+07	0.03125	0.000305176	5
103_4	8	10000	8.00E+06	0.0625	0.000610352	5
103_5	7	1000	7.00E+05	0.125	0.001220703	5
103_6	29	10	2.90E+04	0.25	0.002441406	5
103_7	6	1	6.00E+02	0.5	0.004882813	5
103_8	6	1	6.00E+02	1	0.009765625	5
103_9	0	1	0.00E+00	2	0.01953125	5
103_10	0	1	0.00E+00	4	0.0390625	5
103_11	0	1	0.00E+00	8	0.078125	5
103_12	0	1	0.00E+00	16	0.15625	5
103_1	25	10000	2.50E+07	0.0015625	1.52588E-05	6
103_2	11	10000	1.10E+07	0.015625	0.000152588	6
103_3	10	10000	1.00E+07	0.03125	0.000305176	6
103_4	4	10000	4.00E+06	0.0625	0.000610352	6
103_5	23	1000	2.30E+06	0.125	0.001220703	6
103_6	13	10	1.30E+04	0.25	0.002441406	6
103_7	5	1	5.00E+02	0.5	0.004882813	6
103_8	0	1	0.00E+00	1	0.009765625	6
103_9	0	1	0.00E+00	2	0.01953125	6
103_10	0	1	0.00E+00	4	0.0390625	6
103_11	0	1	0.00E+00	8	0.078125	6
103_12	0	1	0.00E+00	16	0.15625	6
