sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	7	1000	7.00E+05	0.03125	0.0015625	-2
F89_2	7	1000	7.00E+05	0.0625	0.015625	-2
F89_3	7	1000	7.00E+05	0.125	0.03125	-2
F89_4	7	1000	7.00E+05	0.25	0.0625	-2
F89_5	7	1000	7.00E+05	0.5	0.125	-2
F89_6	7	1000	7.00E+05	1	0.25	-2
F89_7	7	1000	7.00E+05	2	0.1	-2
F89_8	7	1000	7.00E+05	4	1	-2
F89_9	7	1000	7.00E+05	8	2	-2
F89_10	7	1000	7.00E+05	16	4	-2
F89_11	7	1000	7.00E+05	32	8	-2
F89_12	7	1000	7.00E+05	64	16	-2
F89_1	14	1000	1.40E+06	0.03125	0.0015625	0
F89_2	9	1000	9.00E+05	0.0625	0.015625	0
F89_3	9	1000	9.00E+05	0.125	0.03125	0
F89_4	11	1000	1.10E+06	0.25	0.0625	0
F89_5	9	1000	9.00E+05	0.5	0.125	0
F89_6	9	1000	9.00E+05	1	0.25	0
F89_7	9	1000	9.00E+05	2	0.1	0
F89_8	9	1000	9.00E+05	4	1	0
F89_9	7	1000	7.29E+05	8	2	0
F89_10	9	1000	9.00E+05	16	4	0
F89_11	8	1000	7.71E+05	32	8	0
F89_12	7	1000	6.86E+05	64	16	0
F89_1	15	1000	1.50E+06	0.03125	0.0015625	1
F89_2	11	1000	1.10E+06	0.0625	0.015625	1
F89_3	12	1000	1.20E+06	0.125	0.03125	1
F89_4	11	1000	1.10E+06	0.25	0.0625	1
F89_5	11	1000	1.10E+06	0.5	0.125	1
F89_6	11	1000	1.10E+06	1	0.25	1
F89_7	12	1000	1.20E+06	2	0.1	1
F89_8	8	1000	8.14E+05	4	1	1
F89_9	7	1000	6.86E+05	8	2	1
F89_10	8	1000	7.71E+05	16	4	1
F89_11	5	1000	5.14E+05	32	8	1
F89_12	5	1000	5.14E+05	64	16	1
F89_1	24	1000	2.40E+06	0.03125	0.0015625	2
F89_2	19	1000	1.90E+06	0.0625	0.015625	2
F89_3	19	1000	1.90E+06	0.125	0.03125	2
F89_4	12	1000	1.20E+06	0.25	0.0625	2
F89_5	12	1000	1.20E+06	0.5	0.125	2
F89_6	12	1000	1.20E+06	1	0.25	2
F89_7	7	1000	6.86E+05	2	0.1	2
F89_8	7	1000	6.86E+05	4	1	2
F89_9	7	1000	7.29E+05	8	2	2
F89_10	8	1000	7.71E+05	16	4	2
F89_11	6	1000	6.43E+05	32	8	2
F89_12	3	1000	3.43E+05	64	16	2
F89_1	8	10000	8.00E+06	0.03125	0.0015625	3
F89_2	9	10000	9.00E+06	0.0625	0.015625	3
F89_3	8	10000	8.00E+06	0.125	0.03125	3
F89_4	24	1000	2.40E+06	0.25	0.0625	3
F89_5	14	1000	1.40E+06	0.5	0.125	3
F89_6	8	1000	8.00E+05	1	0.25	3
F89_7	6	10000	6.43E+06	2	0.1	3
F89_8	6	1000	5.57E+05	4	1	3
F89_9	6	1000	6.43E+05	8	2	3
F89_10	4	1000	3.86E+05	16	4	3
F89_11	3	1000	3.43E+05	32	8	3
F89_12	5	100	5.14E+04	64	16	3
F89_1	16	10000	1.60E+07	0.03125	0.0015625	4
F89_2	12	10000	1.20E+07	0.0625	0.015625	4
F89_3	5	10000	5.00E+06	0.125	0.03125	4
F89_4	16	1000	1.60E+06	0.25	0.0625	4
F89_5	6	1000	6.00E+05	0.5	0.125	4
F89_6	6	1000	6.00E+05	1	0.25	4
F89_7	2	100000	1.71E+07	2	0.1	4
F89_8	8	1000	7.71E+05	4	1	4
F89_9	3	1000	3.00E+05	8	2	4
F89_10	6	100	6.43E+04	16	4	4
F89_11	3	10	3.43E+03	32	8	4
F89_12	1	10	1.29E+03	64	16	4
F89_1	4	100000	4.00E+07	0.03125	0.0015625	5
F89_2	4	100000	4.00E+07	0.0625	0.015625	5
F89_3	4	100000	4.00E+07	0.125	0.03125	5
F89_4	19	10000	1.90E+07	0.25	0.0625	5
F89_5	12	10000	1.20E+07	0.5	0.125	5
F89_6	23	1000	2.30E+06	1	0.25	5
F89_7	3	100000	3.43E+07	2	0.1	5
F89_8	4	1000	4.29E+05	4	1	5
F89_9	3	1000	2.57E+05	8	2	5
F89_10	3	10	3.43E+03	16	4	5
F89_11	0	1	0.00E+00	32	8	5
F89_12	0	1	0.00E+00	64	16	5
F89_1	7	100000	7.00E+07	0.03125	0.0015625	6
F89_2	5	100000	5.00E+07	0.0625	0.015625	6
F89_3	4	100000	4.00E+07	0.125	0.03125	6
F89_4	9	1000	9.00E+05	0.25	0.0625	6
F89_5	3	1000	3.00E+05	0.5	0.125	6
F89_6	16	100	1.60E+05	1	0.25	6
F89_7	5	10000	5.14E+06	2	0.1	6
F89_8	1	1000	1.29E+05	4	1	6
F89_9	4	100	3.86E+04	8	2	6
F89_10	1	10	1.29E+03	16	4	6
F89_11	0	1	0.00E+00	32	8	6
F89_12	0	1	0.00E+00	64	16	6
