sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	5	1000	5.00E+05	0.004882813	1.95313E-07	-2
WHOA_2	5	1000	5.00E+05	0.009765625	1.95313E-06	-2
WHOA_3	5	1000	5.00E+05	0.01953125	3.90625E-06	-2
WHOA_4	5	1000	5.00E+05	0.0390625	7.8125E-06	-2
WHOA_5	5	1000	5.00E+05	0.078125	0.000015625	-2
WHOA_6	5	1000	5.00E+05	0.15625	0.00003125	-2
WHOA_7	5	1000	5.00E+05	0.3125	0.0000625	-2
WHOA_8	5	1000	5.00E+05	0.625	0.000125	-2
WHOA_9	5	1000	5.00E+05	1.25	0.00025	-2
WHOA_10	5	1000	5.00E+05	2.5	0.0005	-2
WHOA_11	5	1000	5.00E+05	5	0.001	-2
WHOA_12	5	1000	5.00E+05	10	0.002	-2
WHOA_1	16	1000	1.60E+06	0.004882813	1.95313E-07	0
WHOA_2	12	1000	1.20E+06	0.009765625	1.95313E-06	0
WHOA_3	8	1000	8.00E+05	0.01953125	3.90625E-06	0
WHOA_4	8	1000	8.00E+05	0.0390625	7.8125E-06	0
WHOA_5	12	1000	1.20E+06	0.078125	0.000015625	0
WHOA_6	11	1000	1.10E+06	0.15625	0.00003125	0
WHOA_7	8	1000	8.00E+05	0.3125	0.0000625	0
WHOA_8	12	1000	1.20E+06	0.625	0.000125	0
WHOA_9	9	1000	9.00E+05	1.25	0.00025	0
WHOA_10	5	1000	5.00E+05	2.5	0.0005	0
WHOA_11	8	1000	8.00E+05	5	0.001	0
WHOA_12	8	1000	8.00E+05	10	0.002	0
WHOA_1	6	1000	6.00E+05	0.004882813	1.95313E-07	1
WHOA_2	7	1000	7.00E+05	0.009765625	1.95313E-06	1
WHOA_3	7	1000	7.00E+05	0.01953125	3.90625E-06	1
WHOA_4	7	1000	7.00E+05	0.0390625	7.8125E-06	1
WHOA_5	9	1000	9.00E+05	0.078125	0.000015625	1
WHOA_6	8	1000	8.00E+05	0.15625	0.00003125	1
WHOA_7	8	1000	8.00E+05	0.3125	0.0000625	1
WHOA_8	6	1000	6.00E+05	0.625	0.000125	1
WHOA_9	7	1000	7.00E+05	1.25	0.00025	1
WHOA_10	4	1000	4.00E+05	2.5	0.0005	1
WHOA_11	7	1000	7.00E+05	5	0.001	1
WHOA_12	7	1000	7.00E+05	10	0.002	1
WHOA_1	16	1000	1.60E+06	0.004882813	1.95313E-07	2
WHOA_2	12	1000	1.20E+06	0.009765625	1.95313E-06	2
WHOA_3	10	1000	1.00E+06	0.01953125	3.90625E-06	2
WHOA_4	15	1000	1.50E+06	0.0390625	7.8125E-06	2
WHOA_5	12	1000	1.20E+06	0.078125	0.000015625	2
WHOA_6	9	1000	9.00E+05	0.15625	0.00003125	2
WHOA_7	8	1000	8.00E+05	0.3125	0.0000625	2
WHOA_8	21	100	2.10E+05	0.625	0.000125	2
WHOA_9	18	100	1.80E+05	1.25	0.00025	2
WHOA_10	18	100	1.80E+05	2.5	0.0005	2
