sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	10	10000	1.00E+07	0.004882813	0.0000625	-2
WHOA_2	10	10000	1.00E+07	0.009765625	0.000625	-2
WHOA_3	10	10000	1.00E+07	0.01953125	0.00125	-2
WHOA_4	10	10000	1.00E+07	0.0390625	0.0025	-2
WHOA_5	10	10000	1.00E+07	0.078125	0.005	-2
WHOA_6	10	10000	1.00E+07	0.15625	0.01	-2
WHOA_7	10	10000	1.00E+07	0.3125	0.02	-2
WHOA_8	10	10000	1.00E+07	0.625	0.04	-2
WHOA_9	10	10000	1.00E+07	1.25	0.08	-2
WHOA_10	10	10000	1.00E+07	2.5	0.16	-2
WHOA_11	10	10000	1.00E+07	5	0.32	-2
WHOA_12	10	10000	1.00E+07	10	0.64	-2
WHOA_1	11	10000	1.10E+07	0.004882813	0.0000625	0
WHOA_2	9	10000	9.00E+06	0.009765625	0.000625	0
WHOA_3	10	10000	1.00E+07	0.01953125	0.00125	0
WHOA_4	10	10000	1.00E+07	0.0390625	0.0025	0
WHOA_5	14	10000	1.40E+07	0.078125	0.005	0
WHOA_6	9	10000	9.00E+06	0.15625	0.01	0
WHOA_7	12	10000	1.20E+07	0.3125	0.02	0
WHOA_8	13	10000	1.30E+07	0.625	0.04	0
WHOA_9	7	10000	7.00E+06	1.25	0.08	0
WHOA_10	9	10000	9.00E+06	2.5	0.16	0
WHOA_11	9	10000	9.00E+06	5	0.32	0
WHOA_12	7	10000	7.00E+06	10	0.64	0
WHOA_1	15	10000	1.50E+07	0.004882813	0.0000625	1
WHOA_2	14	10000	1.40E+07	0.009765625	0.000625	1
WHOA_3	16	10000	1.60E+07	0.01953125	0.00125	1
WHOA_4	12	10000	1.20E+07	0.0390625	0.0025	1
WHOA_5	14	10000	1.40E+07	0.078125	0.005	1
WHOA_6	10	10000	1.00E+07	0.15625	0.01	1
WHOA_7	9	10000	9.00E+06	0.3125	0.02	1
WHOA_8	11	10000	1.10E+07	0.625	0.04	1
WHOA_9	13	10000	1.30E+07	1.25	0.08	1
WHOA_10	11	10000	1.10E+07	2.5	0.16	1
WHOA_11	7	10000	7.00E+06	5	0.32	1
WHOA_12	6	10000	6.00E+06	10	0.64	1
WHOA_1	20	10000	2.00E+07	0.004882813	0.0000625	2
WHOA_2	21	10000	2.10E+07	0.009765625	0.000625	2
WHOA_3	21	10000	2.10E+07	0.01953125	0.00125	2
WHOA_4	17	10000	1.70E+07	0.0390625	0.0025	2
WHOA_5	20	10000	2.00E+07	0.078125	0.005	2
WHOA_6	16	10000	1.60E+07	0.15625	0.01	2
WHOA_7	19	10000	1.90E+07	0.3125	0.02	2
WHOA_8	14	10000	1.40E+07	0.625	0.04	2
WHOA_9	10	10000	1.00E+07	1.25	0.08	2
WHOA_10	9	10000	9.00E+06	2.5	0.16	2
WHOA_11	6	10000	6.00E+06	5	0.32	2
WHOA_12	15	1000	1.50E+06	10	0.64	2
WHOA_1	24	10000	2.40E+07	0.004882813	0.0000625	3
WHOA_2	28	10000	2.80E+07	0.009765625	0.000625	3
WHOA_3	24	10000	2.40E+07	0.01953125	0.00125	3
WHOA_4	20	10000	2.00E+07	0.0390625	0.0025	3
WHOA_5	22	10000	2.20E+07	0.078125	0.005	3
WHOA_6	20	10000	2.00E+07	0.15625	0.01	3
WHOA_7	15	10000	1.50E+07	0.3125	0.02	3
WHOA_8	9	10000	9.00E+06	0.625	0.04	3
WHOA_9	7	10000	7.00E+06	1.25	0.08	3
WHOA_10	5	10000	5.00E+06	2.5	0.16	3
