sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	10	10000	1.00E+07	0.004882813	0.000244141	-2
WHOA_2	10	10000	1.00E+07	0.009765625	0.002441406	-2
WHOA_3	10	10000	1.00E+07	0.01953125	0.004882813	-2
WHOA_4	10	10000	1.00E+07	0.0390625	0.009765625	-2
WHOA_5	10	10000	1.00E+07	0.078125	0.01953125	-2
WHOA_6	10	10000	1.00E+07	0.15625	0.0390625	-2
WHOA_7	10	10000	1.00E+07	0.3125	0.078125	-2
WHOA_8	10	10000	1.00E+07	0.625	0.15625	-2
WHOA_9	10	10000	1.00E+07	1.25	0.3125	-2
WHOA_10	10	10000	1.00E+07	2.5	0.625	-2
WHOA_11	10	10000	1.00E+07	5	1.25	-2
WHOA_12	10	10000	1.00E+07	10	2.5	-2
WHOA_1	9	10000	9.00E+06	0.004882813	0.000244141	0
WHOA_2	7	10000	7.00E+06	0.009765625	0.002441406	0
WHOA_3	11	10000	1.10E+07	0.01953125	0.004882813	0
WHOA_4	7	10000	7.00E+06	0.0390625	0.009765625	0
WHOA_5	8	10000	8.00E+06	0.078125	0.01953125	0
WHOA_6	6	10000	6.00E+06	0.15625	0.0390625	0
WHOA_7	8	10000	8.00E+06	0.3125	0.078125	0
WHOA_8	14	10000	1.40E+07	0.625	0.15625	0
WHOA_9	8	10000	8.00E+06	1.25	0.3125	0
WHOA_10	4	10000	4.00E+06	2.5	0.625	0
WHOA_11	4	10000	4.00E+06	5	1.25	0
WHOA_12	9	10000	9.00E+06	10	2.5	0
WHOA_1	15	10000	1.50E+07	0.004882813	0.000244141	1
WHOA_2	9	10000	9.00E+06	0.009765625	0.002441406	1
WHOA_3	11	10000	1.10E+07	0.01953125	0.004882813	1
WHOA_4	10	10000	1.00E+07	0.0390625	0.009765625	1
WHOA_5	14	10000	1.40E+07	0.078125	0.01953125	1
WHOA_6	8	10000	8.00E+06	0.15625	0.0390625	1
WHOA_7	13	10000	1.30E+07	0.3125	0.078125	1
WHOA_8	9	10000	9.00E+06	0.625	0.15625	1
WHOA_9	5	10000	5.00E+06	1.25	0.3125	1
WHOA_10	8	10000	8.00E+06	2.5	0.625	1
WHOA_11	7	10000	7.00E+06	5	1.25	1
WHOA_12	7	10000	7.00E+06	10	2.5	1
WHOA_1	27	10000	2.70E+07	0.004882813	0.000244141	2
WHOA_2	27	10000	2.70E+07	0.009765625	0.002441406	2
WHOA_3	23	10000	2.30E+07	0.01953125	0.004882813	2
WHOA_4	15	10000	1.50E+07	0.0390625	0.009765625	2
WHOA_5	14	10000	1.40E+07	0.078125	0.01953125	2
WHOA_6	15	10000	1.50E+07	0.15625	0.0390625	2
WHOA_7	15	10000	1.50E+07	0.3125	0.078125	2
WHOA_8	10	10000	1.00E+07	0.625	0.15625	2
WHOA_9	8	10000	8.00E+06	1.25	0.3125	2
WHOA_10	8	10000	8.00E+06	2.5	0.625	2
WHOA_11	8	10000	8.00E+06	5	1.25	2
WHOA_12	6	10000	6.00E+06	10	2.5	2
WHOA_1	22	10000	2.20E+07	0.004882813	0.000244141	3
WHOA_2	18	10000	1.80E+07	0.009765625	0.002441406	3
WHOA_3	16	10000	1.60E+07	0.01953125	0.004882813	3
WHOA_4	15	10000	1.50E+07	0.0390625	0.009765625	3
