sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	15	1000	1.50E+06	0.004882813	3.90625E-06	-2
WHOA_2	15	1000	1.50E+06	0.009765625	3.90625E-05	-2
WHOA_3	15	1000	1.50E+06	0.01953125	0.000078125	-2
WHOA_4	15	1000	1.50E+06	0.0390625	0.00015625	-2
WHOA_5	15	1000	1.50E+06	0.078125	0.0003125	-2
WHOA_6	15	1000	1.50E+06	0.15625	0.000625	-2
WHOA_7	15	1000	1.50E+06	0.3125	0.00125	-2
WHOA_8	15	1000	1.50E+06	0.625	0.0025	-2
WHOA_9	15	1000	1.50E+06	1.25	0.005	-2
WHOA_10	15	1000	1.50E+06	2.5	0.01	-2
WHOA_11	15	1000	1.50E+06	5	0.02	-2
WHOA_12	15	1000	1.50E+06	10	0.04	-2
WHOA_1	5	10000	5.00E+06	0.004882813	3.90625E-06	0
WHOA_2	9	10000	9.00E+06	0.009765625	3.90625E-05	0
WHOA_3	11	10000	1.10E+07	0.01953125	0.000078125	0
WHOA_4	5	10000	5.00E+06	0.0390625	0.00015625	0
WHOA_5	8	10000	8.00E+06	0.078125	0.0003125	0
WHOA_6	4	10000	4.00E+06	0.15625	0.000625	0
WHOA_7	4	10000	4.00E+06	0.3125	0.00125	0
WHOA_8	3	10000	3.00E+06	0.625	0.0025	0
WHOA_9	5	10000	5.00E+06	1.25	0.005	0
WHOA_10	4	10000	4.00E+06	2.5	0.01	0
WHOA_11	3	10000	3.00E+06	5	0.02	0
WHOA_12	3	10000	3.00E+06	10	0.04	0
WHOA_1	11	10000	1.10E+07	0.004882813	3.90625E-06	1
WHOA_2	12	10000	1.20E+07	0.009765625	3.90625E-05	1
WHOA_3	9	10000	9.00E+06	0.01953125	0.000078125	1
WHOA_4	10	10000	1.00E+07	0.0390625	0.00015625	1
WHOA_5	12	10000	1.20E+07	0.078125	0.0003125	1
WHOA_6	6	10000	6.00E+06	0.15625	0.000625	1
WHOA_7	12	1000	1.20E+06	0.3125	0.00125	1
WHOA_8	15	10	1.50E+04	0.625	0.0025	1
WHOA_9	6	10	6.00E+03	1.25	0.005	1
WHOA_10	5	10	5.00E+03	2.5	0.01	1
WHOA_11	0	1	0.00E+00	5	0.02	1
WHOA_12	0	1	0.00E+00	10	0.04	1
WHOA_1	16	10000	1.60E+07	0.004882813	3.90625E-06	2
WHOA_2	17	10000	1.70E+07	0.009765625	3.90625E-05	2
WHOA_3	14	10000	1.40E+07	0.01953125	0.000078125	2
WHOA_4	15	10000	1.50E+07	0.0390625	0.00015625	2
WHOA_5	8	10000	8.00E+06	0.078125	0.0003125	2
WHOA_6	21	1000	2.10E+06	0.15625	0.000625	2
WHOA_7	16	1000	1.60E+06	0.3125	0.00125	2
WHOA_8	11	10	1.10E+04	0.625	0.0025	2
WHOA_9	13	10	1.30E+04	1.25	0.005	2
WHOA_10	4	1	4.00E+02	2.5	0.01	2
WHOA_11	0	1	0.00E+00	5	0.02	2
WHOA_12	0	1	0.00E+00	10	0.04	2
WHOA_1	9	100000	9.00E+07	0.004882813	3.90625E-06	3
WHOA_2	6	100000	6.00E+07	0.009765625	3.90625E-05	3
WHOA_3	4	100000	4.00E+07	0.01953125	0.000078125	3
WHOA_4	5	100000	5.00E+07	0.0390625	0.00015625	3
WHOA_5	17	10000	1.70E+07	0.078125	0.0003125	3
WHOA_6	8	1000	8.00E+05	0.15625	0.000625	3
WHOA_7	7	100	7.00E+04	0.3125	0.00125	3
WHOA_8	3	10	3.00E+03	0.625	0.0025	3
WHOA_9	18	1	1.80E+03	1.25	0.005	3
WHOA_10	4	1	4.00E+02	2.5	0.01	3
WHOA_11	0	1	0.00E+00	5	0.02	3
WHOA_12	0	1	0.00E+00	10	0.04	3
WHOA_1	18	100000	1.80E+08	0.004882813	3.90625E-06	4
WHOA_2	16	100000	1.60E+08	0.009765625	3.90625E-05	4
WHOA_3	8	100000	8.00E+07	0.01953125	0.000078125	4
WHOA_4	8	100000	8.00E+07	0.0390625	0.00015625	4
WHOA_5	19	10000	1.90E+07	0.078125	0.0003125	4
WHOA_6	7	1000	7.00E+05	0.15625	0.000625	4
WHOA_7	21	10	2.10E+04	0.3125	0.00125	4
WHOA_8	4	10	4.00E+03	0.625	0.0025	4
WHOA_9	5	1	5.00E+02	1.25	0.005	4
WHOA_10	6	1	6.00E+02	2.5	0.01	4
WHOA_11	0	1	0.00E+00	5	0.02	4
WHOA_12	0	1	0.00E+00	10	0.04	4
WHOA_1	26	100000	2.60E+08	0.004882813	3.90625E-06	5
WHOA_2	14	100000	1.40E+08	0.009765625	3.90625E-05	5
WHOA_3	12	100000	1.20E+08	0.01953125	0.000078125	5
WHOA_4	6	100000	6.00E+07	0.0390625	0.00015625	5
WHOA_5	13	10000	1.30E+07	0.078125	0.0003125	5
WHOA_6	18	100	1.80E+05	0.15625	0.000625	5
WHOA_7	9	10	9.00E+03	0.3125	0.00125	5
WHOA_8	8	1	8.00E+02	0.625	0.0025	5
WHOA_9	0	1	0.00E+00	1.25	0.005	5
WHOA_10	0	1	0.00E+00	2.5	0.01	5
WHOA_11	0	1	0.00E+00	5	0.02	5
WHOA_12	0	1	0.00E+00	10	0.04	5
WHOA_1	6	1000000	6.00E+08	0.004882813	3.90625E-06	6
WHOA_2	6	1000000	6.00E+08	0.009765625	3.90625E-05	6
WHOA_3	4	1000000	4.00E+08	0.01953125	0.000078125	6
WHOA_4	19	100000	1.90E+08	0.0390625	0.00015625	6
WHOA_5	12	100000	1.20E+08	0.078125	0.0003125	6
WHOA_6	17	100	1.70E+05	0.15625	0.000625	6
WHOA_7	5	1	5.00E+02	0.3125	0.00125	6
WHOA_8	2	1	2.00E+02	0.625	0.0025	6
WHOA_9	0	1	0.00E+00	1.25	0.005	6
WHOA_10	0	1	0.00E+00	2.5	0.01	6
WHOA_11	0	1	0.00E+00	5	0.02	6
WHOA_12	0	1	0.00E+00	10	0.04	6
