sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	5	1000	5.00E+05	0.009765625	0.000125	-2
WHOA_2	5	1000	5.00E+05	0.01953125	0.00125	-2
WHOA_3	5	1000	5.00E+05	0.0390625	0.0025	-2
WHOA_4	5	1000	5.00E+05	0.078125	0.005	-2
WHOA_5	5	1000	5.00E+05	0.15625	0.01	-2
WHOA_6	5	1000	5.00E+05	0.3125	0.02	-2
WHOA_7	5	1000	5.00E+05	0.625	0.04	-2
WHOA_8	5	1000	5.00E+05	1.25	0.08	-2
WHOA_9	5	1000	5.00E+05	2.5	0.16	-2
WHOA_10	5	1000	5.00E+05	5	0.32	-2
WHOA_11	5	1000	5.00E+05	10	0.64	-2
WHOA_12	5	1000	5.00E+05	100	6.4	-2
WHOA_1	16	1000	1.60E+06	0.009765625	0.000125	0
WHOA_2	16	1000	1.60E+06	0.01953125	0.00125	0
WHOA_3	12	1000	1.20E+06	0.0390625	0.0025	0
WHOA_4	10	1000	1.00E+06	0.078125	0.005	0
WHOA_5	12	1000	1.20E+06	0.15625	0.01	0
WHOA_6	6	1000	6.00E+05	0.3125	0.02	0
WHOA_7	11	1000	1.10E+06	0.625	0.04	0
WHOA_8	8	1000	8.00E+05	1.25	0.08	0
WHOA_9	9	1000	9.00E+05	2.5	0.16	0
WHOA_10	8	1000	8.00E+05	5	0.32	0
WHOA_11	8	1000	8.00E+05	10	0.64	0
WHOA_12	7	1000	7.00E+05	100	6.4	0
WHOA_1	12	1000	1.20E+06	0.009765625	0.000125	1
WHOA_2	7	1000	7.00E+05	0.01953125	0.00125	1
WHOA_3	7	1000	7.00E+05	0.0390625	0.0025	1
WHOA_4	6	1000	6.00E+05	0.078125	0.005	1
WHOA_5	9	1000	9.00E+05	0.15625	0.01	1
WHOA_6	9	1000	9.00E+05	0.3125	0.02	1
WHOA_7	28	100	2.80E+05	0.625	0.04	1
WHOA_8	20	1000	2.00E+06	1.25	0.08	1
WHOA_9	9	1000	9.00E+05	2.5	0.16	1
WHOA_10	6	1000	6.00E+05	5	0.32	1
WHOA_11	8	100	8.00E+04	10	0.64	1
WHOA_12	6	100	6.00E+04	100	6.4	1
WHOA_1	13	1000	1.30E+06	0.009765625	0.000125	2
WHOA_2	9	1000	9.00E+05	0.01953125	0.00125	2
WHOA_3	9	1000	9.00E+05	0.0390625	0.0025	2
WHOA_4	8	1000	8.00E+05	0.078125	0.005	2
WHOA_5	9	1000	9.00E+05	0.15625	0.01	2
WHOA_6	8	1000	8.00E+05	0.3125	0.02	2
WHOA_7	12	1000	1.20E+06	0.625	0.04	2
WHOA_8	9	1000	9.00E+05	1.25	0.08	2
