sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	8	1000	8.00E+05	0.004882813	0.002929688	-2
F89_2	8	1000	8.00E+05	0.009765625	0.029296875	-2
F89_3	8	1000	8.00E+05	0.01953125	0.05859375	-2
F89_4	8	1000	8.00E+05	0.0390625	0.1171875	-2
F89_5	8	1000	8.00E+05	0.078125	0.234375	-2
F89_6	8	1000	8.00E+05	0.15625	0.46875	-2
F89_7	8	1000	8.00E+05	0.3125	0.9375	-2
F89_8	8	1000	8.00E+05	0.625	1.875	-2
F89_9	8	1000	8.00E+05	1.25	3.75	-2
F89_10	8	1000	8.00E+05	2.5	7.5	-2
F89_11	8	1000	8.00E+05	5	15	-2
F89_12	8	1000	8.00E+05	10	30	-2
F89_1	7	1000	7.00E+05	0.004882813	0.002929688	0
F89_2	6	1000	6.00E+05	0.009765625	0.029296875	0
F89_3	8	1000	8.00E+05	0.01953125	0.05859375	0
F89_4	8	1000	8.00E+05	0.0390625	0.1171875	0
F89_5	9	1000	9.00E+05	0.078125	0.234375	0
F89_6	3	1000	3.00E+05	0.15625	0.46875	0
F89_7	3	1000	3.00E+05	0.3125	0.9375	0
F89_8	3	1000	3.00E+05	0.625	1.875	0
F89_9	3	1000	3.00E+05	1.25	3.75	0
F89_10	4	1000	4.00E+05	2.5	7.5	0
F89_11	4	1000	4.00E+05	5	15	0
F89_12	4	1000	4.00E+05	10	30	0
F89_1	5	1000	5.00E+05	0.004882813	0.002929688	1
F89_2	8	1000	8.00E+05	0.009765625	0.029296875	1
F89_3	5	1000	5.00E+05	0.01953125	0.05859375	1
F89_4	3	1000	3.00E+05	0.0390625	0.1171875	1
F89_5	3	1000	3.00E+05	0.078125	0.234375	1
F89_6	4	1000	4.00E+05	0.15625	0.46875	1
F89_7	5	1000	5.00E+05	0.3125	0.9375	1
F89_8	8	1000	8.00E+05	0.625	1.875	1
F89_9	7	1000	7.00E+05	1.25	3.75	1
F89_10	3	1000	3.00E+05	2.5	7.5	1
F89_11	4	1000	4.00E+05	5	15	1
F89_12	8	1000	8.00E+05	10	30	1
F89_1	8	1000	8.00E+05	0.004882813	0.002929688	2
F89_2	5	1000	5.00E+05	0.009765625	0.029296875	2
F89_3	8	1000	8.00E+05	0.01953125	0.05859375	2
F89_4	5	1000	5.00E+05	0.0390625	0.1171875	2
F89_5	6	1000	6.00E+05	0.078125	0.234375	2
F89_6	9	1000	9.00E+05	0.15625	0.46875	2
F89_7	30	100	3.00E+05	0.3125	0.9375	2
F89_8	20	100	2.00E+05	0.625	1.875	2
F89_9	22	100	2.20E+05	1.25	3.75	2
F89_10	25	100	2.50E+05	2.5	7.5	2
F89_11	21	100	2.10E+05	5	15	2
F89_12	20	100	2.00E+05	10	30	2
F89_1	8	1000	1.70E+06	0.004882813	0.002929688	3
F89_2	12	1000	2.10E+06	0.009765625	0.029296875	3
F89_3	10	1000	1.50E+06	0.01953125	0.05859375	3
F89_4	9	1000	1.50E+06	0.0390625	0.1171875	3
F89_5	9	1000	1.40E+06	0.078125	0.234375	3
F89_6	6	1000	9.00E+05	0.15625	0.46875	3
F89_7	5	1000	5.00E+05	0.3125	0.9375	3
F89_8	19	100	1.90E+05	0.625	1.875	3
F89_9	10	100	1.00E+05	1.25	3.75	3
F89_10	19	100	1.90E+05	2.5	7.5	3
F89_11	13	100	1.30E+05	5	15	3
F89_12	17	100	1.70E+05	10	30	3
F89_1	17	1000	1.70E+06	0.004882813	0.002929688	4
F89_2	21	1000	2.10E+06	0.009765625	0.029296875	4
F89_3	15	1000	1.50E+06	0.01953125	0.05859375	4
F89_4	15	1000	1.50E+06	0.0390625	0.1171875	4
F89_5	14	1000	1.40E+06	0.078125	0.234375	4
F89_6	9	1000	9.00E+05	0.15625	0.46875	4
F89_7	31	100	3.10E+05	0.3125	0.9375	4
F89_8	10	100	1.00E+05	0.625	1.875	4
F89_9	13	100	1.30E+05	1.25	3.75	4
F89_10	9	100	9.00E+04	2.5	7.5	4
F89_11	10	100	1.00E+05	5	15	4
F89_12	11	100	1.10E+05	10	30	4
F89_1	8	10000	8.00E+06	0.004882813	0.002929688	5
F89_2	7	10000	7.00E+06	0.009765625	0.029296875	5
F89_3	3	10000	3.00E+06	0.01953125	0.05859375	5
F89_4	4	10000	4.00E+06	0.0390625	0.1171875	5
F89_5	6	10000	6.00E+06	0.078125	0.234375	5
F89_6	12	1000	1.20E+06	0.15625	0.46875	5
F89_7	30	100	3.00E+05	0.3125	0.9375	5
F89_8	7	100	7.00E+04	0.625	1.875	5
F89_9	7	100	7.00E+04	1.25	3.75	5
F89_10	6	100	6.00E+04	2.5	7.5	5
F89_11	7	100	7.00E+04	5	15	5
F89_12	7	100	7.00E+04	10	30	5
F89_1	13	10000	1.30E+07	0.004882813	0.002929688	6
F89_2	7	10000	7.00E+06	0.009765625	0.029296875	6
F89_3	10	10000	1.00E+07	0.01953125	0.05859375	6
F89_4	10	10000	1.00E+07	0.0390625	0.1171875	6
F89_5	9	10000	9.00E+06	0.078125	0.234375	6
F89_6	24	1000	2.40E+06	0.15625	0.46875	6
F89_7	33	100	3.30E+05	0.3125	0.9375	6
F89_8	12	100	1.20E+05	0.625	1.875	6
F89_9	8	100	8.00E+04	1.25	3.75	6
F89_10	4	100	4.00E+04	2.5	7.5	6
F89_11	5	100	5.00E+04	5	15	6
F89_12	2	100	2.00E+04	10	30	6
