sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	9	1000	9.00E+05	0.048828125	0.000625	-2
WHOA_2	9	1000	9.00E+05	0.09765625	0.00625	-2
WHOA_3	9	1000	9.00E+05	0.1953125	0.0125	-2
WHOA_4	9	1000	9.00E+05	0.390625	0.025	-2
WHOA_5	9	1000	9.00E+05	0.78125	0.05	-2
WHOA_6	9	1000	9.00E+05	1.5625	0.1	-2
WHOA_7	9	1000	9.00E+05	3.125	0.2	-2
WHOA_8	9	1000	9.00E+05	6.25	0.4	-2
WHOA_9	9	1000	9.00E+05	12.5	0.8	-2
WHOA_10	9	1000	9.00E+05	25	1.6	-2
WHOA_11	9	1000	9.00E+05	50	3.2	-2
WHOA_12	9	1000	9.00E+05	100	6.4	-2
WHOA_1	16	1000	1.60E+06	0.048828125	0.000625	0
WHOA_2	11	1000	1.10E+06	0.09765625	0.00625	0
WHOA_3	12	1000	1.20E+06	0.1953125	0.0125	0
WHOA_4	10	1000	1.00E+06	0.390625	0.025	0
WHOA_5	12	1000	1.20E+06	0.78125	0.05	0
WHOA_6	12	1000	1.20E+06	1.5625	0.1	0
WHOA_7	15	1000	1.50E+06	3.125	0.2	0
WHOA_8	11	1000	1.10E+06	6.25	0.4	0
WHOA_9	10	1000	1.00E+06	12.5	0.8	0
WHOA_10	7	1000	7.00E+05	25	1.6	0
WHOA_11	8	1000	8.00E+05	50	3.2	0
WHOA_12	0	1	0.00E+00	100	6.4	0
WHOA_1	5	10000	5.00E+06	0.048828125	0.000625	1
WHOA_2	7	10000	7.00E+06	0.09765625	0.00625	1
WHOA_3	6	10000	6.00E+06	0.1953125	0.0125	1
WHOA_4	7	10000	7.00E+06	0.390625	0.025	1
WHOA_5	4	10000	4.00E+06	0.78125	0.05	1
WHOA_6	29	1000	2.90E+06	1.5625	0.1	1
WHOA_7	2	10000	2.00E+06	3.125	0.2	1
WHOA_8	14	1000	1.40E+06	6.25	0.4	1
WHOA_9	20	1000	2.00E+06	12.5	0.8	1
WHOA_10	14	1000	1.40E+06	25	1.6	1
WHOA_11	4	1000	4.00E+05	50	3.2	1
WHOA_12	0	1	0.00E+00	100	6.4	1
WHOA_1	3	10000	3.00E+06	0.048828125	0.000625	2
WHOA_2	2	10000	2.00E+06	0.09765625	0.00625	2
WHOA_3	1	10000	1.00E+06	0.1953125	0.0125	2
WHOA_4	3	10000	3.00E+06	0.390625	0.025	2
