sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	10	10000	1.00E+07	0.004882813	3.90625E-06	-2
WHOA_2	10	10000	1.00E+07	0.009765625	3.90625E-05	-2
WHOA_3	10	10000	1.00E+07	0.01953125	0.000078125	-2
WHOA_4	10	10000	1.00E+07	0.0390625	0.00015625	-2
WHOA_5	10	10000	1.00E+07	0.078125	0.0003125	-2
WHOA_6	10	10000	1.00E+07	0.15625	0.000625	-2
WHOA_7	10	10000	1.00E+07	0.3125	0.00125	-2
WHOA_8	10	10000	1.00E+07	0.625	0.0025	-2
WHOA_9	10	10000	1.00E+07	1.25	0.005	-2
WHOA_10	10	10000	1.00E+07	2.5	0.01	-2
WHOA_11	10	10000	1.00E+07	5	0.02	-2
WHOA_12	10	10000	1.00E+07	10	0.04	-2
WHOA_1	8	10000	8.00E+06	0.004882813	3.90625E-06	0
WHOA_2	6	10000	6.00E+06	0.009765625	3.90625E-05	0
WHOA_3	9	10000	9.00E+06	0.01953125	0.000078125	0
WHOA_4	7	10000	7.00E+06	0.0390625	0.00015625	0
WHOA_5	7	10000	7.00E+06	0.078125	0.0003125	0
WHOA_6	7	10000	7.00E+06	0.15625	0.000625	0
WHOA_7	7	10000	7.00E+06	0.3125	0.00125	0
WHOA_8	9	10000	9.00E+06	0.625	0.0025	0
WHOA_9	7	10000	7.00E+06	1.25	0.005	0
WHOA_10	8	10000	8.00E+06	2.5	0.01	0
WHOA_11	4	10000	4.00E+06	5	0.02	0
WHOA_12	12	10000	1.20E+07	10	0.04	0
WHOA_1	11	10000	1.10E+07	0.004882813	3.90625E-06	1
WHOA_2	9	10000	9.00E+06	0.009765625	3.90625E-05	1
WHOA_3	11	10000	1.10E+07	0.01953125	0.000078125	1
WHOA_4	8	10000	8.00E+06	0.0390625	0.00015625	1
WHOA_5	9	10000	9.00E+06	0.078125	0.0003125	1
WHOA_6	6	10000	6.00E+06	0.15625	0.000625	1
WHOA_7	7	10000	7.00E+06	0.3125	0.00125	1
WHOA_8	33	1000	3.30E+06	0.625	0.0025	1
WHOA_9	26	100	2.60E+05	1.25	0.005	1
WHOA_10	9	10	9.00E+03	2.5	0.01	1
WHOA_11	19	1	1.90E+03	5	0.02	1
WHOA_12	11	1	1.10E+03	10	0.04	1
WHOA_1	24	10000	2.40E+07	0.004882813	3.90625E-06	2
WHOA_2	18	10000	1.80E+07	0.009765625	3.90625E-05	2
WHOA_3	18	10000	1.80E+07	0.01953125	0.000078125	2
WHOA_4	15	10000	1.50E+07	0.0390625	0.00015625	2
WHOA_5	12	10000	1.20E+07	0.078125	0.0003125	2
WHOA_6	11	10000	1.10E+07	0.15625	0.000625	2
WHOA_7	5	10000	5.00E+06	0.3125	0.00125	2
WHOA_8	12	1000	1.20E+06	0.625	0.0025	2
WHOA_9	14	10	1.40E+04	1.25	0.005	2
WHOA_10	19	1	1.90E+03	2.5	0.01	2
WHOA_11	6	1	6.00E+02	5	0.02	2
WHOA_12	5	1	5.00E+02	10	0.04	2
WHOA_1	25	10000	2.50E+07	0.004882813	3.90625E-06	3
WHOA_2	26	10000	2.60E+07	0.009765625	3.90625E-05	3
WHOA_3	17	10000	1.70E+07	0.01953125	0.000078125	3
WHOA_4	16	10000	1.60E+07	0.0390625	0.00015625	3
WHOA_5	16	10000	1.60E+07	0.078125	0.0003125	3
WHOA_6	13	10000	1.30E+07	0.15625	0.000625	3
WHOA_7	7	10000	7.00E+06	0.3125	0.00125	3
WHOA_8	23	100	2.30E+05	0.625	0.0025	3
WHOA_9	18	10	1.80E+04	1.25	0.005	3
WHOA_10	19	1	1.90E+03	2.5	0.01	3
WHOA_11	5	1	5.00E+02	5	0.02	3
WHOA_12	3	1	3.00E+02	10	0.04	3
WHOA_1	6	100000	6.00E+07	0.004882813	3.90625E-06	4
WHOA_2	10	100000	1.00E+08	0.009765625	3.90625E-05	4
WHOA_3	8	100000	8.00E+07	0.01953125	0.000078125	4
WHOA_4	7	100000	7.00E+07	0.0390625	0.00015625	4
WHOA_5	4	100000	4.00E+07	0.078125	0.0003125	4
WHOA_6	5	100000	5.00E+07	0.15625	0.000625	4
WHOA_7	12	1000	1.20E+06	0.3125	0.00125	4
WHOA_8	9	100	9.00E+04	0.625	0.0025	4
WHOA_9	7	10	7.00E+03	1.25	0.005	4
WHOA_10	15	1	1.50E+03	2.5	0.01	4
WHOA_11	0	1	0.00E+00	5	0.02	4
WHOA_12	0	1	0.00E+00	10	0.04	4
WHOA_1	9	100000	9.00E+07	0.004882813	3.90625E-06	5
WHOA_2	8	100000	8.00E+07	0.009765625	3.90625E-05	5
WHOA_3	4	100000	4.00E+07	0.01953125	0.000078125	5
WHOA_4	8	100000	8.00E+07	0.0390625	0.00015625	5
WHOA_5	4	100000	4.00E+07	0.078125	0.0003125	5
WHOA_6	3	100000	3.00E+07	0.15625	0.000625	5
WHOA_7	11	1000	1.10E+06	0.3125	0.00125	5
WHOA_8	5	100	5.00E+04	0.625	0.0025	5
WHOA_9	19	1	1.90E+03	1.25	0.005	5
WHOA_10	3	1	3.00E+02	2.5	0.01	5
WHOA_11	0	1	0.00E+00	5	0.02	5
WHOA_12	0	1	0.00E+00	10	0.04	5
WHOA_1	14	100000	1.40E+08	0.004882813	3.90625E-06	6
WHOA_2	10	100000	1.00E+08	0.009765625	3.90625E-05	6
WHOA_3	4	100000	4.00E+07	0.01953125	0.000078125	6
WHOA_4	11	100000	1.10E+08	0.0390625	0.00015625	6
WHOA_5	5	100000	5.00E+07	0.078125	0.0003125	6
WHOA_6	18	10000	1.80E+07	0.15625	0.000625	6
WHOA_7	4	1000	4.00E+05	0.3125	0.00125	6
WHOA_8	23	10	2.30E+04	0.625	0.0025	6
WHOA_9	4	1	4.00E+02	1.25	0.005	6
WHOA_10	0	1	0.00E+00	2.5	0.01	6
WHOA_11	0	1	0.00E+00	5	0.02	6
WHOA_12	0	1	0.00E+00	10	0.04	6
