sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOA_1	22	1000	2.20E+06	0.048828125	1.95313E-06	-2
WHOA_2	22	1000	2.20E+06	0.09765625	1.95313E-05	-2
WHOA_3	22	1000	2.20E+06	0.1953125	3.90625E-05	-2
WHOA_4	22	1000	2.20E+06	0.390625	0.000078125	-2
WHOA_5	22	1000	2.20E+06	0.78125	0.00015625	-2
WHOA_6	22	1000	2.20E+06	1.5625	0.0003125	-2
WHOA_7	22	1000	2.20E+06	3.125	0.000625	-2
WHOA_8	22	1000	2.20E+06	6.25	0.00125	-2
WHOA_9	22	1000	2.20E+06	12.5	0.0025	-2
WHOA_10	22	1000	2.20E+06	25	0.005	-2
WHOA_11	22	1000	2.20E+06	50	0.01	-2
WHOA_12	22	1000	2.20E+06	100	0.02	-2
WHOA_1	24	1000	2.40E+06	0.048828125	1.95313E-06	0
WHOA_2	23	1000	2.30E+06	0.09765625	1.95313E-05	0
WHOA_3	19	1000	1.90E+06	0.1953125	3.90625E-05	0
WHOA_4	17	1000	1.70E+06	0.390625	0.000078125	0
WHOA_5	16	1000	1.60E+06	0.78125	0.00015625	0
WHOA_6	16	1000	1.60E+06	1.5625	0.0003125	0
WHOA_7	27	1000	2.70E+06	3.125	0.000625	0
WHOA_8	18	1000	1.80E+06	6.25	0.00125	0
WHOA_9	22	1000	2.20E+06	12.5	0.0025	0
WHOA_10	18	1000	1.80E+06	25	0.005	0
WHOA_11	13	1000	1.30E+06	50	0.01	0
WHOA_12	15	1000	1.50E+06	100	0.02	0
WHOA_1	5	10000	5.00E+06	0.048828125	1.95313E-06	1
WHOA_2	4	10000	4.00E+06	0.09765625	1.95313E-05	1
WHOA_3	5	10000	5.00E+06	0.1953125	3.90625E-05	1
WHOA_4	6	10000	6.00E+06	0.390625	0.000078125	1
WHOA_5	5	10000	5.00E+06	0.78125	0.00015625	1
WHOA_6	4	10000	4.00E+06	1.5625	0.0003125	1
WHOA_7	4	1000	4.00E+05	3.125	0.000625	1
WHOA_8	6	1000	6.00E+05	6.25	0.00125	1
WHOA_9	6	1000	6.00E+05	12.5	0.0025	1
WHOA_10	4	1000	4.00E+05	25	0.005	1
WHOA_11	4	1000	4.00E+05	50	0.01	1
WHOA_12	6	1000	6.00E+05	100	0.02	1
WHOA_1	9	10000	9.00E+06	0.048828125	1.95313E-06	2
WHOA_2	9	10000	9.00E+06	0.09765625	1.95313E-05	2
WHOA_3	9	10000	9.00E+06	0.1953125	3.90625E-05	2
WHOA_4	6	10000	6.00E+06	0.390625	0.000078125	2
WHOA_5	8	10000	8.00E+06	0.78125	0.00015625	2
WHOA_6	8	10000	8.00E+06	1.5625	0.0003125	2
WHOA_7	6	10000	6.00E+06	3.125	0.000625	2
WHOA_8	11	1000	1.10E+06	6.25	0.00125	2
WHOA_9	14	1000	1.40E+06	12.5	0.0025	2
WHOA_10	11	1000	1.10E+06	25	0.005	2
WHOA_11	6	1000	6.00E+05	50	0.01	2
WHOA_12	5	1000	5.00E+05	100	0.02	2
WHOA_1	9	10000	9.00E+06	0.048828125	1.95313E-06	3
WHOA_2	13	10000	1.30E+07	0.09765625	1.95313E-05	3
WHOA_3	9	10000	9.00E+06	0.1953125	3.90625E-05	3
WHOA_4	11	10000	1.10E+07	0.390625	0.000078125	3
WHOA_5	15	10000	1.50E+07	0.78125	0.00015625	3
WHOA_6	2	10000	2.00E+06	1.5625	0.0003125	3
WHOA_7	2	10000	2.00E+06	3.125	0.000625	3
WHOA_8	9	100	9.00E+04	6.25	0.00125	3
WHOA_9	7	100	7.00E+04	12.5	0.0025	3
WHOA_10	7	100	7.00E+04	25	0.005	3
WHOA_11	10	100	1.00E+05	50	0.01	3
WHOA_12	7	100	7.00E+04	100	0.02	3
WHOA_1	21	10000	2.10E+07	0.048828125	1.95313E-06	4
