sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	11	100	1.70E+05	0.048828125	0.002441406	-2
F89_2	11	100	1.40E+05	0.09765625	0.024414063	-2
F89_3	11	100	1.10E+05	0.1953125	0.048828125	-2
F89_4	11	100	1.10E+05	0.390625	0.09765625	-2
F89_5	11	100	1.10E+05	0.78125	0.1953125	-2
F89_6	11	100	1.10E+05	1.5625	0.390625	-2
F89_7	11	100	1.10E+05	3.125	0.78125	-2
F89_8	11	100	1.10E+05	6.25	1.5625	-2
F89_9	11	100	1.10E+05	12.5	3.125	-2
F89_10	11	100	1.10E+05	25	6.25	-2
F89_11	11	100	1.10E+05	50	12.5	-2
F89_12	11	100	1.10E+05	100	25	-2
F89_1	17	100	1.70E+05	0.048828125	0.002441406	0
F89_2	14	100	1.40E+05	0.09765625	0.024414063	0
F89_3	19	100	1.90E+05	0.1953125	0.048828125	0
F89_4	12	100	1.20E+05	0.390625	0.09765625	0
F89_5	19	100	1.90E+05	0.78125	0.1953125	0
F89_6	20	100	2.00E+05	1.5625	0.390625	0
F89_7	19	100	1.90E+05	3.125	0.78125	0
F89_8	19	100	1.90E+05	6.25	1.5625	0
F89_9	16	100	1.60E+05	12.5	3.125	0
F89_10	14	100	1.40E+05	25	6.25	0
F89_11	5	1000	5.00E+05	50	12.5	0
F89_12	7	1000	7.00E+05	100	25	0
F89_1	7	1000	7.00E+05	0.048828125	0.002441406	1
F89_2	4	1000	4.00E+05	0.09765625	0.024414063	1
F89_3	4	1000	4.00E+05	0.1953125	0.048828125	1
F89_4	3	1000	3.00E+05	0.390625	0.09765625	1
F89_5	5	1000	5.00E+05	0.78125	0.1953125	1
F89_6	4	1000	4.00E+05	1.5625	0.390625	1
F89_7	19	100	1.90E+05	3.125	0.78125	1
F89_8	15	100	1.50E+05	6.25	1.5625	1
F89_9	19	100	1.90E+05	12.5	3.125	1
F89_10	18	100	1.80E+05	25	6.25	1
F89_11	19	100	1.90E+05	50	12.5	1
F89_12	19	100	1.90E+05	100	25	1
F89_1	11	1000	1.10E+06	0.048828125	0.002441406	2
F89_2	6	1000	6.00E+05	0.09765625	0.024414063	2
F89_3	6	1000	6.00E+05	0.1953125	0.048828125	2
F89_4	4	1000	4.00E+05	0.390625	0.09765625	2
F89_5	4	1000	4.00E+05	0.78125	0.1953125	2
F89_6	21	100	2.10E+05	1.5625	0.390625	2
F89_7	18	100	1.80E+05	3.125	0.78125	2
F89_8	15	100	1.50E+05	6.25	1.5625	2
F89_9	17	100	1.70E+05	12.5	3.125	2
F89_10	16	100	1.60E+05	25	6.25	2
F89_11	16	100	1.60E+05	50	12.5	2
F89_12	14	100	1.40E+05	100	25	2
F89_1	16	1000	1.60E+06	0.048828125	0.002441406	3
F89_2	22	1000	2.20E+06	0.09765625	0.024414063	3
F89_3	9	1000	9.00E+05	0.1953125	0.048828125	3
F89_4	6	1000	6.00E+05	0.390625	0.09765625	3
F89_5	10	1000	1.00E+06	0.78125	0.1953125	3
F89_6	6	1000	6.00E+05	1.5625	0.390625	3
F89_7	19	100	1.90E+05	3.125	0.78125	3
F89_8	12	100	1.20E+05	6.25	1.5625	3
F89_9	11	100	1.10E+05	12.5	3.125	3
F89_10	7	100	7.00E+04	25	6.25	3
F89_11	5	100	5.00E+04	50	12.5	3
F89_12	3	100	3.00E+04	100	25	3
F89_1	17	10000	1.70E+07	0.048828125	0.002441406	4
F89_2	4	10000	4.00E+06	0.09765625	0.024414063	4
F89_3	5	10000	5.00E+06	0.1953125	0.048828125	4
F89_4	4	1000	4.00E+05	0.390625	0.09765625	4
F89_5	8	1000	8.00E+05	0.78125	0.1953125	4
F89_6	5	1000	5.00E+05	1.5625	0.390625	4
F89_7	12	100	1.20E+05	3.125	0.78125	4
F89_8	8	100	8.00E+04	6.25	1.5625	4
F89_9	7	10	7.00E+03	12.5	3.125	4
F89_10	0	1	0.00E+00	25	6.25	4
F89_11	0	1	0.00E+00	50	12.5	4
F89_12	0	1	0.00E+00	100	25	4
F89_1	21	10000	2.10E+07	0.048828125	0.002441406	5
F89_2	11	10000	1.10E+07	0.09765625	0.024414063	5
F89_3	5	10000	5.00E+06	0.1953125	0.048828125	5
F89_4	16	1000	1.60E+06	0.390625	0.09765625	5
F89_5	6	1000	6.00E+05	0.78125	0.1953125	5
F89_6	4	1000	4.00E+05	1.5625	0.390625	5
F89_7	12	100	1.20E+05	3.125	0.78125	5
F89_8	7	100	7.00E+04	6.25	1.5625	5
F89_9	7	10	7.00E+03	12.5	3.125	5
F89_10	0	1	0.00E+00	25	6.25	5
F89_11	0	1	0.00E+00	50	12.5	5
F89_12	0	1	0.00E+00	100	25	5
F89_1	24	10000	2.40E+07	0.048828125	0.002441406	6
F89_2	16	10000	1.60E+07	0.09765625	0.024414063	6
F89_3	9	10000	9.00E+06	0.1953125	0.048828125	6
F89_4	12	1000	1.20E+06	0.390625	0.09765625	6
F89_5	13	100	1.30E+05	0.78125	0.1953125	6
F89_6	13	100	1.30E+05	1.5625	0.390625	6
F89_7	12	10	1.20E+04	3.125	0.78125	6
F89_8	0	1	0.00E+00	6.25	1.5625	6
F89_9	0	1	0.00E+00	12.5	3.125	6
F89_10	0	1	0.00E+00	25	6.25	6
F89_11	0	1	0.00E+00	50	12.5	6
F89_12	0	1	0.00E+00	100	25	6
